,0
0,-466.29678
1,-457.5356
2,-464.4635
3,-309.19983
4,-189.33751
5,-109.302956
6,-85.94114
7,-112.335976
8,-205.8144
9,-240.52779
10,-132.10176
11,-66.140175
12,-56.40564
13,-106.985916
14,-180.6604
15,-132.04312
16,-93.01119
17,-75.30289
18,-82.01689
19,-120.653854
20,-214.28464
21,-277.45184
22,-270.05963
23,-237.48561
24,-221.53946
25,-230.74406
26,-182.60619
27,-104.09879
28,-92.07392
29,-113.831154
30,-137.34576
31,-178.51688
32,-252.8141
33,-238.20888
34,-207.3345
35,-197.81253
36,-192.89842
37,-215.15204
38,-246.85541
39,-244.41989
40,-245.43745
41,-251.8989
42,-239.49461
43,-251.664
44,-233.78925
45,-220.21378
46,-228.51575
47,-165.78531
48,-108.240456
49,-95.00897
50,-102.778946
51,-120.20306
52,-127.64807
53,-120.570145
54,-147.9223
55,-219.97603
56,-246.28146
57,-286.61618
58,-289.42633
59,-311.27634
60,-349.34225
61,-376.9065
62,-402.50507
63,-476.6314
64,-548.68445
65,53.312912
66,59.228096
67,66.59567
68,74.47551
69,112.18891
70,133.95908
71,137.09769
72,129.01866
73,109.27002
74,71.904816
75,112.64128
76,139.89578
77,141.15483
78,147.40282
79,129.95348
80,117.66785
81,107.68982
82,99.664185
83,106.70308
84,131.39545
85,151.02838
86,133.87146
87,115.94226
88,135.802
89,117.245285
90,89.36647
91,43.57396
92,68.2611
93,104.06734
94,118.94011
95,112.18416
96,125.41176
97,126.57318
98,67.03616
99,52.00815
100,48.796177
101,25.45515
102,-2.9847815
103,-21.523312
104,-8.773111
105,8.625143
106,31.9466
107,104.4402
108,141.91367
109,113.46937
110,72.82286
111,22.197012
112,32.684883
113,83.51961
114,116.449905
115,120.28569
116,109.74182
117,96.970795
118,106.53595
119,120.80422
120,123.07708
121,135.24997
122,147.28702
123,140.39813
124,115.24873
125,83.56708
126,65.04224
127,63.075237
128,53.63784
129,24.513676
130,-21.182137
131,-21.81126
132,-21.29406
133,-77.90395
134,-67.04454
135,-65.43161
136,-71.49007
137,-66.61366
138,-43.033615
139,-27.992813
140,-50.6931
141,-86.64384
142,-115.0052
143,-108.85928
144,-70.35798
145,-95.3882
146,-112.28663
147,-113.127975
148,-92.66719
149,-55.830063
150,-25.700764
151,-25.751545
152,-53.51101
153,-34.991554
154,-10.486279
155,-18.107597
156,-86.77933
157,-82.33963
158,-70.64523
159,-81.17184
160,-80.69791
161,-60.22638
162,-10.503991
163,-17.963957
164,-39.131203
165,-45.335426
166,-27.71634
167,-28.30217
168,-44.733475
169,-30.96447
170,-11.295347
171,-22.880022
172,-40.017365
173,-21.876003
174,2.2561355
175,0.5751417
176,-24.449234
177,-40.990234
178,-55.628937
179,-78.293
180,-89.008026
181,-94.57893
182,-101.74968
183,-92.61408
184,-61.718307
185,-32.88254
186,-23.582972
187,-18.975754
188,-18.749863
189,-5.8912487
190,-9.589598
191,-29.843536
192,-39.435688
193,-13.218465
194,20.05566
195,-10.202717
196,-8.3129
197,-13.537386
198,-3.2487416
199,28.61706
200,30.450943
201,32.419025
202,59.458256
203,80.93381
204,75.03785
205,64.25185
206,29.373755
207,0.36998224
208,-12.393745
209,-12.362799
210,7.3695784
211,14.965024
212,21.381159
213,34.839066
214,41.202812
215,22.481201
216,22.744526
217,18.5648
218,25.326965
219,46.06208
220,54.07781
221,80.532074
222,97.17679
223,87.632545
224,61.368507
225,48.960564
226,42.340332
227,42.389843
228,72.752
229,93.01842
230,104.738464
231,112.70061
232,101.053795
233,77.723175
234,84.32115
235,98.285614
236,103.36562
237,79.9169
238,48.507973
239,61.501404
240,76.74472
241,69.738144
242,75.46748
243,50.724174
244,23.724796
245,18.610195
246,22.957726
247,24.643614
248,24.207754
249,29.895594
250,36.800117
251,37.08533
252,15.167566
253,9.69729
254,28.643513
255,42.84028
256,32.060463
257,16.276714
258,7.9312162
259,19.685135
260,-5.9535856
261,-4.667465
262,1.398252
263,-31.843616
264,-37.378445
265,-53.55645
266,-48.84272
267,-15.688053
268,13.971688
269,-18.437206
270,-38.403824
271,-65.76703
272,-88.372696
273,-77.64261
274,-73.41513
275,-67.07057
276,-72.33893
277,-76.71361
278,-72.41252
279,-59.51434
280,-42.193474
281,-18.798649
282,-18.365416
283,-26.474411
284,-36.695267
285,-32.700966
286,-25.378984
287,-30.88653
288,-27.961376
289,-27.021502
290,-32.196198
291,-29.574345
292,-21.107409
293,-26.27826
294,-19.235657
295,-21.550716
296,-41.494164
297,-51.485985
298,-54.71823
299,-48.108147
300,-42.629013
301,-26.347462
302,-17.818077
303,-21.022802
304,-48.621605
305,-49.9979
306,-49.62709
307,-59.927658
308,-71.71596
309,-76.705765
310,-75.98836
311,-62.263412
312,-52.03005
313,-45.250275
314,-26.595078
315,-13.535824
316,-12.314688
317,-5.41066
318,-12.222475
319,-18.408056
320,-6.927746
321,3.5880198
322,5.153988
323,20.074724
324,20.255116
325,11.940826
326,12.446983
327,4.444982
328,-2.2708647
329,9.100001
330,24.547482
331,34.40045
332,41.4757
333,31.911068
334,30.167702
335,28.43155
336,22.40049
337,14.239573
338,17.996387
339,32.662132
340,36.963997
341,33.769028
342,34.856445
343,35.649033
344,34.797752
345,21.660084
346,11.653212
347,11.809079
348,16.65271
349,33.88127
350,41.907997
351,27.627678
352,26.806885
353,23.670227
354,24.669336
355,17.14175
356,12.767769
357,16.887678
358,37.83387
359,31.72192
360,26.611223
361,36.591995
362,47.517124
363,48.408623
364,46.635273
365,40.065468
366,21.149849
367,-15.1877575
368,-16.100132
369,29.157299
370,51.05339
371,60.90908
372,54.367256
373,40.454052
374,28.370619
375,31.265667
376,34.89514
377,39.932476
378,42.048176
379,45.97854
380,30.24591
381,11.943481
382,6.3506217
383,12.944836
384,24.373175
385,35.86285
386,34.627777
387,21.001663
388,20.370117
389,16.314617
390,6.711002
391,10.938538
392,11.032592
393,1.3792925
394,-21.179611
395,-36.297264
396,-49.36959
397,-43.38307
398,-36.997894
399,-28.785
400,-49.580482
401,-58.442764
402,-59.292053
403,-36.970932
404,-14.313859
405,-15.809689
406,-28.764698
407,-41.126526
408,-48.21337
409,-46.35174
410,-22.518566
411,-10.060791
412,1.687508
413,-6.532901
414,-21.214031
415,-23.754856
416,-25.357445
417,-47.346916
418,-59.249435
419,-53.944927
420,-57.296005
421,-36.664955
422,-23.443834
423,-31.786335
424,-42.918053
425,-42.531048
426,-46.573193
427,-41.53299
428,-34.39039
429,-37.37087
430,-44.126545
431,-36.53944
432,-16.400742
433,-10.648359
434,-12.649395
435,-22.970112
436,-35.732506
437,-54.098682
438,-59.06839
439,-51.399956
440,-34.39863
441,-25.516407
442,-28.199448
443,-36.546486
444,-46.15771
445,-41.334057
446,-22.586807
447,-1.8598695
448,2.2440534
449,7.5178165
450,14.826754
451,6.1332436
452,-5.5362725
453,-4.1479034
454,10.619846
455,-2.7736485
456,-0.6231341
457,9.809051
458,20.394112
459,8.702195
460,-3.422775
461,-15.46809
462,-16.022694
463,-14.075844
464,12.210909
465,-7.1269293
466,-13.960759
467,-15.607001
468,-8.593573
469,-1.5946715
470,-4.9855447
471,-1.4880095
472,1.7854664
473,-2.4021306
474,-15.156656
475,-17.39998
476,-3.8121867
477,5.572606
478,7.9843955
479,13.739651
480,12.597283
481,12.768446
482,4.388113
483,-5.7676096
484,-13.41478
485,-12.192663
486,1.6865892
487,9.797598
488,11.78001
489,13.769174
490,11.747723
491,21.104425
492,32.526943
493,35.505188
494,33.51725
495,21.763004
496,9.402692
497,3.579069
498,3.8930144
499,-1.5960319
500,4.355835
501,28.109426
502,16.692856
503,4.490106
504,-5.7192984
505,-4.397314
506,7.591978
507,10.900219
508,13.692373
509,8.999332
510,-1.0459473
511,10.483993
512,22.013718
513,14.96566
514,2.9621205
515,1.1189032
516,-6.34721
517,-12.863359
518,-12.143139
519,9.447288
520,-8.410295
521,-8.458651
522,3.4289525
523,-7.871126
524,-29.604229
525,-34.93119
526,-32.375847
527,-26.426361
528,-20.708706
529,-24.688911
530,-30.155294
531,-23.691608
532,-18.818443
533,-3.4700723
534,3.550939
535,-14.657804
536,-22.076473
537,-24.10704
538,-19.052893
539,-17.595829
540,-20.370857
541,-22.54757
542,-13.55718
543,-3.9867072
544,-7.245852
545,-11.645723
546,-18.56958
547,-27.871141
548,-16.48011
549,-10.264593
550,-23.406738
551,-13.100369
552,-6.5956535
553,-11.624951
554,-18.089462
555,-23.440535
556,-30.052622
557,-24.13821
558,-17.040493
559,-21.107965
560,-28.677166
561,-38.006065
562,-27.167225
563,-22.661963
564,-0.70500827
565,-0.5495793
566,0.9603244
567,-15.789103
568,-22.171612
569,-26.360817
570,-18.829489
571,-8.905861
572,-12.805871
573,-14.727191
574,-11.414366
575,-8.125574
576,-8.459518
577,-21.305721
578,-27.407911
579,-27.115334
580,-20.139503
581,-5.96955
582,10.194967
583,12.143749
584,11.324156
585,4.318161
586,4.10924
587,7.295639
588,14.463766
589,-0.99937296
590,1.6297181
591,3.2902856
592,2.8299346
593,-12.085867
594,-17.265957
595,-8.708478
596,-2.930401
597,-5.5014987
598,-6.2021847
599,-11.62473
600,-13.745445
601,-15.15885
602,-11.117945
603,-8.352926
604,-11.900482
605,-24.023865
606,-47.581585
607,-44.94388
608,-26.862053
609,-7.220769
610,1.4577222
611,-5.6225104
612,-8.046536
613,-0.42934722
614,-6.1251173
615,-22.986141
616,-30.61974
617,-24.580826
618,-12.829109
619,-21.029697
620,-29.15216
621,-26.360931
622,-13.214187
623,-2.1881094
624,-8.471575
625,-19.079138
626,-26.476837
627,-18.85897
628,-12.156174
629,-0.39147097
630,12.012917
631,6.822045
632,-11.203217
633,-2.628852
634,-3.536804
635,-7.745486
636,-9.255974
637,-9.5061455
638,-3.183968
639,2.1813993
640,4.065316
641,-10.334333
642,-28.127567
643,-31.159986
644,-30.799911
645,-28.249975
646,-14.991095
647,-8.336284
648,-1.4394633
649,9.824692
650,25.396042
651,25.378445
652,15.086858
653,19.961252
654,6.3626647
655,5.418113
656,-3.166082
657,-3.3118205
658,-5.619033
659,2.0713892
660,4.0947843
661,16.349564
662,25.54665
663,29.382143
664,9.004408
665,4.849805
666,6.077671
667,6.21749
668,2.9403288
669,0.26454675
670,-10.134104
671,-20.631453
672,-34.858826
673,-29.206272
674,-11.342932
675,-0.06453426
676,-1.5786066
677,-7.6161385
678,-8.642445
679,-6.684264
680,-11.020391
681,-20.813034
682,-20.987556
683,-22.56875
684,-19.37384
685,-12.708024
686,-7.3087144
687,1.003442
688,6.540313
689,-6.669201
690,-12.898818
691,-7.593006
692,-3.5198617
693,-5.9559603
694,-10.8057785
695,-3.576645
696,7.8467875
697,-1.6482902
698,6.0217915
699,15.919874
700,19.55548
701,17.132309
702,12.39998
703,12.4652605
704,8.040323
705,1.6756871
706,-8.869866
707,-10.860035
708,-17.083803
709,-17.188414
710,-9.772081
711,-8.044355
712,-7.4916635
713,-8.630405
714,5.3027244
715,10.960032
716,13.001029
717,16.431757
718,10.559534
719,-8.48326
720,-12.82284
721,-19.50636
722,-20.279842
723,-16.70462
724,-24.733633
725,-22.867928
726,-18.65336
727,-16.65275
728,-10.415365
729,-0.6178635
730,-4.9378757
731,-8.191919
732,-15.159688
733,-18.193546
734,-17.526115
735,-11.810629
736,-7.501342
737,-6.0621223
738,-13.125214
739,-22.321495
740,-17.20898
741,-4.193328
742,-9.316028
743,-19.634872
744,-29.118254
745,-39.38266
746,-38.420418
747,-20.988775
748,-16.95671
749,-11.911192
750,-15.5442295
751,-20.7174
752,-15.385382
753,-3.6165895
754,-10.530758
755,-12.2423935
756,-17.648575
757,-21.509453
758,-20.994175
759,-14.450737
760,-9.2549
761,-0.39939642
762,-8.239977
763,-15.536309
764,-19.059547
765,-14.691242
766,-10.06958
767,-15.674637
768,-16.872675
769,-19.69847
770,-17.85727
771,-22.287682
772,-19.147285
773,-13.3467865
774,-9.45425
775,-7.6157393
776,-2.455299
777,4.9108915
778,7.3633432
779,4.1806955
780,4.003721
781,3.3331017
782,10.008598
783,18.350986
784,-1.004292
785,-6.8248997
786,-2.4453511
787,0.011793211
788,2.922338
789,2.6691132
790,2.2392998
791,-7.896507
792,-12.394907
793,-18.518654
794,-23.508884
795,-14.108948
796,-9.635821
797,-8.553316
798,-2.2281973
799,0.94194907
800,1.8221928
801,-5.028416
802,-12.03096
803,-11.428947
804,-1.4056363
805,6.6099596
806,6.440537
807,2.1657615
808,-2.2469978
809,-2.1377523
810,-5.409315
811,-8.349791
812,-9.86478
813,4.683384
814,6.3983164
815,3.0514355
816,1.6907853
817,3.6536455
818,12.753704
819,4.2646093
820,5.3394947
821,-0.5244941
822,-9.188017
823,-10.724431
824,-3.9213896
825,-4.8216925
826,3.9873796
827,4.519312
828,-4.070671
829,-10.606189
830,-12.720886
831,-16.349663
832,-12.613404
833,-4.1752567
834,0.75648344
835,8.891371
836,2.2614644
837,-3.1082563
838,-5.8976846
839,-8.74258
840,-5.7263927
841,9.040134
842,8.583459
843,6.2272215
844,7.2437677
845,6.0339203
846,4.51833
847,5.592968
848,-2.395405
849,-25.05334
850,-27.245153
851,-26.01551
852,-13.175907
853,5.9976263
854,-2.2562232
855,-5.443692
856,-13.977123
857,-21.155445
858,-19.900879
859,-11.134104
860,-9.987381
861,-21.343864
862,-33.73189
863,-33.614845
864,-27.638885
865,-14.9838
866,-3.44623
867,-4.742224
868,-12.964517
869,-20.242155
870,-18.728073
871,-15.946836
872,-21.981224
873,-18.318901
