,0
0,-497.5159
1,-500.00363
2,-503.3049
3,-373.41537
4,-251.40305
5,-224.88278
6,-242.72955
7,-273.59875
8,-306.402
9,-252.89558
10,-188.54909
11,-167.15836
12,-173.93561
13,-193.90733
14,-193.32758
15,-203.35083
16,-246.9457
17,-283.4712
18,-289.63162
19,-271.13605
20,-280.97736
21,-354.67072
22,-359.97424
23,-300.7546
24,-247.15117
25,-169.60788
26,-103.96267
27,-74.3436
28,-69.76666
29,-79.54028
30,-110.122406
31,-187.36293
32,-175.02338
33,-132.44925
34,-143.4108
35,-150.94162
36,-166.30998
37,-221.46971
38,-296.79214
39,-365.36734
40,-445.1458
41,-418.69846
42,-340.81738
43,-297.08743
44,-282.60425
45,-258.07498
46,-181.5939
47,-122.32306
48,-99.3901
49,-119.36059
50,-203.79189
51,-283.94354
52,-169.37627
53,-137.37553
54,-146.42894
55,-141.32208
56,-135.9545
57,-166.36348
58,-168.40973
59,-118.40623
60,-114.07666
61,-157.63986
62,-185.87357
63,-175.3503
64,-142.21953
65,-123.71604
66,-118.66772
67,-121.835915
68,-137.60391
69,-199.1628
70,-326.24655
71,-248.39352
72,-202.27899
73,-136.23087
74,-84.110344
75,-70.245346
76,-79.322174
77,-86.49585
78,-96.50205
79,-113.91226
80,-139.3762
81,-166.59659
82,-207.32253
83,-243.17422
84,-286.66434
85,-322.04385
86,-327.49374
87,-335.86487
88,-354.1689
89,-387.19495
90,-430.42957
91,-477.38528
92,51.491978
93,52.173134
94,44.99438
95,67.76941
96,99.8611
97,104.88294
98,108.690704
99,117.54683
100,116.366196
101,106.4971
102,74.92731
103,45.765583
104,13.841315
105,-11.9962225
106,-5.3796544
107,20.74178
108,40.093506
109,51.269012
110,59.518646
111,81.46149
112,106.50545
113,119.875435
114,126.048996
115,153.52666
116,159.9815
117,141.56262
118,103.94507
119,69.91374
120,45.378433
121,22.127487
122,8.635546
123,18.061544
124,128.22354
125,143.75287
126,128.91954
127,120.547165
128,123.97257
129,117.8121
130,121.887436
131,118.24835
132,83.609665
133,113.49402
134,159.77634
135,166.37193
136,145.3651
137,120.63887
138,128.0212
139,132.89188
140,122.96207
141,126.09694
142,131.90714
143,70.768875
144,121.19682
145,131.48227
146,112.773186
147,79.5354
148,41.22267
149,-2.4514632
150,-12.930611
151,43.579506
152,90.41986
153,140.03232
154,141.60513
155,142.44186
156,140.3577
157,121.32615
158,110.92581
159,115.682846
160,120.92009
161,112.59758
162,74.976234
163,19.022625
164,5.041714
165,59.495457
166,115.99276
167,130.03452
168,110.6496
169,94.55903
170,81.990005
171,89.07564
172,101.22494
173,115.304474
174,119.66887
175,120.07279
176,107.5432
177,90.3762
178,84.13497
179,79.947075
180,74.11759
181,72.45949
182,72.10442
183,60.812103
184,29.296677
185,30.762749
186,25.266335
187,14.98868
188,6.8869457
189,7.5103393
190,3.2367187
191,8.758159
192,10.159264
193,-9.2010765
194,-12.526133
195,-24.682076
196,-39.412544
197,-45.961563
198,-48.422737
199,-45.76967
200,-36.267914
201,-18.96468
202,-4.6145854
203,-12.21099
204,-17.061316
205,13.570066
206,23.54219
207,0.7187836
208,-14.270177
209,-48.940723
210,-89.686966
211,-116.65761
212,-130.06624
213,-136.02411
214,-128.37186
215,-89.43765
216,-35.134567
217,-43.615265
218,-51.418526
219,-50.694862
220,-39.30471
221,-24.549198
222,-1.5816224
223,19.719402
224,23.523531
225,39.448715
226,36.85071
227,25.518549
228,2.5530362
229,-14.45254
230,-24.396084
231,-45.277607
232,-55.207455
233,-37.636925
234,-13.957391
235,-43.068398
236,-38.477673
237,-41.419163
238,-46.382454
239,-38.81566
240,-23.725096
241,-23.376204
242,-36.314674
243,-24.9305
244,-29.097298
245,-41.770203
246,-32.982243
247,-47.691425
248,-68.867386
249,-91.23451
250,-100.662254
251,-91.87662
252,-57.55064
253,-22.705406
254,14.64678
255,-15.104918
256,-16.601562
257,-7.5388393
258,-39.304527
259,-83.25913
260,-106.7081
261,-110.14604
262,-114.38049
263,-104.66272
264,-81.91231
265,-53.79084
266,-34.38649
267,-24.073322
268,-14.415554
269,-9.68985
270,-9.787058
271,-9.338146
272,-12.626404
273,-11.796862
274,2.2703977
275,17.211563
276,28.542084
277,23.81922
278,24.512041
279,79.89227
280,102.25305
281,110.37927
282,90.58397
283,62.880455
284,36.2698
285,38.347706
286,51.85027
287,51.316086
288,50.865868
289,70.8523
290,89.97354
291,102.68534
292,101.54053
293,91.81612
294,97.180115
295,103.42354
296,83.92791
297,45.390617
298,35.457
299,27.862545
300,31.210419
301,35.040512
302,59.86376
303,79.5117
304,80.800644
305,82.696785
306,89.13996
307,96.90915
308,72.04468
309,54.84529
310,38.65011
311,40.44661
312,42.52915
313,46.724663
314,48.93238
315,35.538475
316,14.891733
317,24.428001
318,24.275269
319,31.630108
320,42.443596
321,40.402733
322,61.181595
323,61.923637
324,57.472557
325,59.534027
326,43.62236
327,36.104027
328,56.854237
329,60.585907
330,59.71216
331,71.73027
332,90.21635
333,86.308395
334,74.511826
335,92.21425
336,79.95694
337,26.86596
338,9.912718
339,2.052383
340,-1.7796938
341,4.734338
342,22.299383
343,45.929874
344,72.45871
345,78.736664
346,41.45713
347,25.9275
348,46.084927
349,57.25663
350,36.51084
351,24.838573
352,11.774246
353,20.35886
354,26.758041
355,34.801643
356,49.629303
357,65.99808
358,79.33917
359,73.09183
360,61.173355
361,36.899075
362,36.979603
363,38.422577
364,34.285194
365,20.807785
366,8.9896755
367,8.4075775
368,17.693819
369,15.753397
370,17.728502
371,18.884758
372,6.9425488
373,-1.6700187
374,-17.646675
375,-14.382261
376,-9.7345295
377,-14.277485
378,-33.325745
379,-52.15201
380,-60.345184
381,-50.907616
382,-39.06871
383,-25.863756
384,-12.738351
385,-23.448048
386,-31.615366
387,-12.503959
388,4.1276703
389,11.190447
390,-6.2148104
391,-17.569933
392,-26.379417
393,-18.141161
394,-1.9641573
395,-0.6739826
396,-17.33026
397,-30.856628
398,-28.498123
399,-7.5617733
400,-8.39512
401,-20.189491
402,-34.494873
403,-45.538506
404,-41.712418
405,-40.447624
406,-23.734596
407,-9.80715
408,-5.0188956
409,-2.5865908
410,-15.459794
411,-17.82265
412,-12.125742
413,-16.618631
414,-17.689743
415,-29.917986
416,-38.923958
417,-33.862823
418,-20.793869
419,-20.59916
420,-20.526497
421,-18.938473
422,-21.61758
423,-42.107933
424,-59.814575
425,-69.367
426,-79.62398
427,-66.148834
428,-57.63169
429,-39.302845
430,-51.612335
431,-58.096733
432,-62.19573
433,-59.82304
434,-47.45363
435,-33.02227
436,-14.347614
437,-5.472145
438,-3.2256782
439,-57.43131
440,-66.78923
441,-60.20726
442,-57.340576
443,-65.59039
444,-76.28362
445,-73.27765
446,-62.833508
447,-53.824875
448,-39.914234
449,-22.162376
450,-3.261442
451,4.5077295
452,3.2968497
453,-5.3802614
454,-7.5026693
455,-8.394235
456,-2.4274378
457,4.2842607
458,5.6366444
459,13.485872
460,-2.2355835
461,3.2201862
462,9.235222
463,-8.498894
464,-4.30696
465,-4.635558
466,-9.446021
467,9.384405
468,37.647278
469,35.580536
470,44.423317
471,49.721165
472,48.29518
473,48.117203
474,48.932
475,36.29808
476,20.380512
477,10.442839
478,4.30112
479,6.864643
480,7.6239367
481,6.8584905
482,-5.9412365
483,-12.846604
484,-6.8562574
485,29.56663
486,49.76007
487,49.672955
488,38.873894
489,33.430794
490,33.733047
491,29.210068
492,29.522785
493,38.569717
494,35.06189
495,30.601486
496,34.5045
497,26.735697
498,12.147474
499,11.736366
500,0.19407018
501,-6.872488
502,-7.519446
503,-2.210648
504,3.5405474
505,21.414867
506,29.586258
507,33.95796
508,41.832527
509,48.666077
510,39.278866
511,25.39898
512,29.85946
513,37.559074
514,43.129757
515,50.050354
516,71.304825
517,85.19764
518,70.77022
519,67.535164
520,60.71819
521,24.572878
522,9.743168
523,11.313004
524,20.685526
525,25.974459
526,22.381382
527,10.173628
528,11.411955
529,12.742075
530,29.617123
531,45.77616
532,52.169785
533,52.91559
534,40.861748
535,36.557907
536,41.10412
537,38.58052
538,34.269695
539,13.601576
540,-8.2825985
541,-15.944841
542,-28.035017
543,-19.52144
544,13.1323185
545,44.25936
546,42.980392
547,39.03415
548,43.24721
549,43.618645
550,35.366745
551,29.731174
552,-1.7491353
553,2.4568496
554,14.909704
555,-3.3509274
556,-10.625113
557,-16.22385
558,-6.417267
559,6.1383677
560,12.370466
561,-7.01537
562,-34.10217
563,-43.862274
564,-49.14788
565,-48.78437
566,-41.442543
567,-35.366352
568,-20.12926
569,-4.771407
570,2.4099073
571,13.031138
572,19.630436
573,9.938465
574,-3.221263
575,4.9003515
576,5.317458
577,-13.90064
578,-30.055428
579,-41.455566
580,-48.983353
581,-50.065964
582,-41.580925
583,-30.654709
584,-27.18568
585,-33.19069
586,-35.46853
587,-35.24248
588,-34.5023
589,-16.144283
590,2.8054962
591,9.114368
592,3.6447794
593,2.3844817
594,1.5816985
595,-0.98548424
596,4.2706795
597,-7.0946198
598,-31.857685
599,-46.634308
600,-51.898865
601,-36.901066
602,-21.787586
603,-1.3480575
604,-31.361889
605,-46.953796
606,-55.0793
607,-55.76947
608,-52.798058
609,-50.991627
610,-57.207684
611,-50.391914
612,-34.795242
613,-16.431847
614,-17.897614
615,-14.801281
616,-23.184332
617,-36.041046
618,-43.798332
619,-51.27852
620,-49.399506
621,-39.21075
622,-17.592957
623,-49.846046
624,-60.295
625,-64.54315
626,-58.576534
627,-46.842834
628,-36.007183
629,-26.765108
630,-34.817867
631,-41.799385
