,0
0,-547.61304
1,-509.2455
2,-427.01593
3,-309.237
4,-248.60806
5,-212.7195
6,-167.69319
7,-148.33751
8,-168.2125
9,-146.67041
10,-98.50498
11,-80.6974
12,-76.473724
13,-78.04608
14,-93.98631
15,-113.00205
16,-172.49367
17,-247.57379
18,-231.55653
19,-236.68102
20,-175.88914
21,-136.42915
22,-107.15059
23,-106.41342
24,-145.35342
25,-198.76921
26,-269.16046
27,-174.40788
28,-135.29245
29,-122.25619
30,-132.70386
31,-104.7407
32,-72.82693
33,-73.9342
34,-128.33485
35,-149.77353
36,-115.22724
37,-119.6346
38,-168.00406
39,-206.24927
40,-220.08525
41,-224.19824
42,-231.55257
43,-220.08543
44,-183.85048
45,-181.90369
46,-237.5148
47,-289.09326
48,-169.45667
49,-125.18978
50,-147.88147
51,-235.37363
52,-251.34555
53,-149.91263
54,-113.782
55,-92.02667
56,-85.2473
57,-100.55264
58,-109.08664
59,-88.11912
60,-67.536
61,-79.098564
62,-153.72377
63,-257.21484
64,-234.19986
65,-233.15253
66,-248.21808
67,-287.47955
68,-284.9732
69,-215.59592
70,-200.73094
71,-207.71669
72,-207.48553
73,-196.59894
74,-193.27734
75,-242.2586
76,-276.63223
77,-188.8149
78,-177.3925
79,-221.72676
80,-198.30331
81,-156.87453
82,-118.55369
83,-98.65135
84,-90.194115
85,-106.63895
86,-189.28893
87,-222.42345
88,-174.55952
89,-135.63863
90,-159.51349
91,-189.65709
92,-138.0679
93,-143.0452
94,-158.5467
95,-168.0184
96,-206.72157
97,-192.05708
98,-126.02064
99,-110.1291
100,-111.3199
101,-133.72108
102,-179.07951
103,-186.76483
104,-158.1468
105,-178.7602
106,-186.27173
107,-119.61895
108,-103.55763
109,-125.31031
110,-161.28786
111,-197.56882
112,-212.767
113,-210.96602
114,-200.86938
115,-186.91972
116,-197.43112
117,-217.40991
118,-229.6391
119,-166.69287
120,-100.44262
121,-79.38336
122,-88.93328
123,-94.77782
124,-114.59079
125,-138.41063
126,-165.75647
127,-207.4714
128,-260.92966
129,-333.61093
130,-434.74884
131,-524.48724
132,-505.0326
133,30.247044
134,61.27262
135,65.40944
136,16.94276
137,-4.7370167
138,-2.7128172
139,16.485634
140,31.629726
141,52.04373
142,92.31438
143,116.0045
144,122.83032
145,129.83398
146,154.93556
147,162.76453
148,165.72282
149,173.92712
150,167.62686
151,163.54385
152,155.7938
153,153.27979
154,135.59082
155,98.20877
156,60.51561
157,20.086601
158,14.253817
159,59.67342
160,85.24563
161,100.25387
162,124.062775
163,127.87158
164,141.11255
165,155.97646
166,164.83463
167,149.27481
168,124.99184
169,143.62485
170,141.80307
171,132.18759
172,144.85495
173,157.70836
174,150.75562
175,127.62828
176,128.47778
177,133.47107
178,125.89642
179,117.95534
180,117.92236
181,130.2457
182,134.67911
183,127.09012
184,113.888405
185,64.90019
186,89.24272
187,108.63237
188,121.33395
189,143.7688
190,138.1076
191,120.07178
192,129.3524
193,129.49806
194,139.64026
195,146.18672
196,166.3178
197,162.24268
198,165.13158
199,169.45572
200,158.35455
201,132.29688
202,109.95979
203,97.331215
204,90.048225
205,97.45068
206,116.15305
207,146.98843
208,165.0189
209,182.94482
210,174.90877
211,168.63196
212,167.48544
213,91.19328
214,61.405205
215,82.06769
216,96.399536
217,99.37685
218,105.34961
219,94.01469
220,7.654129
221,-1.2341968
222,18.348574
223,30.210693
224,56.842735
225,91.77872
226,92.63672
227,93.350174
228,102.66702
229,116.2697
230,124.75632
231,79.52049
232,43.5112
233,39.731617
234,56.219975
235,84.44383
236,81.99109
237,85.1422
238,96.85094
239,105.47481
240,145.08185
241,164.0304
242,157.69312
243,159.6618
244,153.27097
245,145.17697
246,150.76437
247,161.33987
248,140.95299
249,104.007965
250,107.587006
251,136.74722
252,70.37883
253,49.26175
254,73.321396
255,112.716064
256,116.11
257,107.174866
258,107.96268
259,100.93776
260,89.29724
261,89.33377
262,92.010864
263,87.25554
264,50.978172
265,68.70807
266,22.280424
267,20.197317
268,-21.68692
269,-38.971954
270,-39.766678
271,-40.903435
272,-40.58544
273,-34.567146
274,-32.88797
275,-30.35986
276,-56.28767
277,-90.95562
278,-102.63884
279,-92.81331
280,-86.70274
281,-64.15812
282,-32.75657
283,-5.380625
284,-26.374367
285,-48.923286
286,-51.797726
287,-47.207886
288,-30.700043
289,-34.38039
290,-55.504593
291,-57.861195
292,-68.54787
293,-81.07254
294,-74.233475
295,-79.38841
296,-90.18721
297,-90.80469
298,-88.90788
299,-72.7762
300,-41.503746
301,-33.94567
302,-41.3926
303,-40.25829
304,-29.811863
305,1.1044198
306,37.172295
307,44.193497
308,34.301796
309,35.272305
310,21.460705
311,1.1269275
312,-6.2970405
313,-48.757988
314,-60.27998
315,-48.820705
316,-28.898098
317,-6.8951693
318,-21.755646
319,-43.430946
320,-48.787834
321,-50.161835
322,-55.846603
323,-78.725815
324,-108.75293
325,-116.223816
326,-110.56666
327,-81.81759
328,-47.14698
329,1.4954326
330,-12.998037
331,-18.00352
332,-4.417924
333,14.844788
334,-27.311977
335,-66.8205
336,-69.95729
337,-66.06389
338,-64.12567
339,-54.64739
340,-34.474808
341,-9.918027
342,34.369556
343,7.021778
344,-2.299043
345,9.271778
346,-23.700714
347,-63.9451
348,-52.3397
349,-59.85062
350,-74.82034
351,-61.92933
352,-38.706795
353,-72.67191
354,-80.49199
355,-62.377617
356,-45.029633
357,-65.78119
358,-70.526184
359,-53.46318
360,-38.46402
361,-32.188667
362,-25.40519
363,-13.630319
364,-29.652496
365,-47.749397
366,-52.513153
367,-52.651836
368,-40.395134
369,-54.596893
370,-61.781116
371,-42.165253
372,-43.215122
373,-39.481728
374,-33.384193
375,-19.624163
376,16.372717
377,31.665758
378,26.60529
379,25.771969
380,10.385653
381,-18.294731
382,-32.736374
383,-30.552803
384,-7.3156395
385,-37.007206
386,-79.11895
387,-80.26179
388,-86.98819
389,-88.84929
390,-91.970955
391,-83.6788
392,-79.3568
393,-80.50398
394,-71.65701
395,-50.747
396,-16.149597
397,21.81068
398,23.749565
399,13.325483
400,10.903767
401,24.25822
402,59.574715
403,70.428635
404,69.73044
405,89.2693
406,117.50925
407,126.80182
408,117.50207
409,99.39707
410,83.826225
411,54.890648
412,17.859688
413,-4.794059
414,3.9430077
415,7.7721066
416,28.145363
417,22.19359
418,3.957944
419,16.674797
420,51.252556
421,87.495865
422,90.78495
423,74.17653
424,68.71109
425,44.349663
426,56.73716
427,53.76015
428,26.914146
429,9.919633
430,-1.5720515
431,7.6447296
432,28.699684
433,51.15532
434,73.257416
435,63.582054
436,55.432793
437,50.299694
438,55.94687
439,60.88784
440,59.045197
441,57.784508
442,60.864098
443,46.677307
444,24.014484
445,0.09826
446,-18.932766
447,34.07184
448,62.429237
449,83.927475
450,83.70436
451,76.05583
452,67.38943
453,53.36438
454,52.175297
455,47.291595
456,36.907623
457,25.295218
458,25.321918
459,26.314993
460,43.932198
461,49.95803
462,30.483
463,24.787111
464,20.434181
465,30.3987
466,35.272285
467,32.309505
468,35.392906
469,53.557915
470,59.721764
471,52.22872
472,47.160667
473,38.64969
474,24.3287
475,8.141263
476,16.870617
477,27.933876
478,43.509132
479,84.159836
480,87.61619
481,111.89002
482,99.05591
483,81.981384
484,87.81373
485,81.91324
486,50.224106
487,50.029663
488,78.03499
489,79.57856
490,85.79108
491,100.25516
492,105.12326
493,94.50963
494,77.62604
495,47.57482
496,51.43782
497,76.958786
498,88.40464
499,107.233505
500,117.05554
501,104.44357
502,88.79684
503,95.50497
504,90.98563
505,75.41095
506,64.2028
507,41.181892
508,36.39361
509,54.993073
510,59.480957
511,58.284386
512,44.420322
513,21.228334
514,34.518684
515,59.50737
516,56.678722
517,42.422253
518,68.95245
519,73.30366
520,84.43948
521,66.78819
522,45.586147
523,33.044003
524,35.465233
525,40.34403
526,35.640526
527,20.349815
528,5.824792
529,-6.220621
530,6.2411833
531,2.7877393
532,6.9240546
533,16.037498
534,11.986855
535,-34.49482
536,-57.339394
537,-68.92608
538,-61.574615
539,-43.787117
540,-26.209658
541,-18.477644
542,-18.53539
543,-17.24036
544,-32.444054
545,-61.62458
546,-76.197235
547,-63.618977
548,-51.787872
549,-19.137423
550,-15.611872
551,-10.757373
552,-15.370459
553,-24.470757
554,-42.713097
555,-55.997105
556,-53.952236
557,-36.15028
558,-16.240704
559,-20.958117
560,-28.890423
561,-45.185677
562,-59.403526
563,-76.76307
564,-69.744675
565,-52.21618
566,-39.742188
567,-27.758648
568,-29.937893
569,-31.129436
570,-32.76271
571,-44.516483
572,-64.89662
573,-74.52885
574,-80.6982
575,-79.396286
576,-79.1983
577,-85.24867
578,-83.45715
579,-25.651827
580,-17.700336
581,-19.483133
582,-5.0185137
583,15.573593
584,-20.041918
585,-31.62802
586,-36.221916
587,-42.177345
588,-43.43229
589,-47.48425
590,-54.052635
591,-57.674614
592,-55.390343
593,-39.643646
594,-17.70076
595,-1.8719141
596,-16.521189
597,-17.126524
598,-7.5063643
599,-4.901745
600,6.0570774
601,-20.961857
602,-15.148033
603,-19.975716
604,-27.106546
605,-23.97905
606,-21.858528
607,-17.334187
608,-36.491608
609,-55.135826
610,-44.846283
611,-26.578701
612,-35.828964
613,-44.70534
614,-39.727104
615,-35.089302
616,-36.988968
617,-26.968765
618,-17.364237
619,-43.380657
620,-58.393944
621,-46.872696
