,0
0,-536.8316
1,-520.6894
2,-423.72427
3,-362.4548
4,-339.10068
5,-295.63507
6,-256.08832
7,-219.462
8,-200.47293
9,-177.26237
10,-140.33513
11,-122.45874
12,-96.90202
13,-77.24939
14,-75.01994
15,-64.63682
16,-81.25747
17,-155.46661
18,-242.64299
19,-213.9251
20,-202.24799
21,-173.20946
22,-146.43413
23,-140.00417
24,-163.18196
25,-196.85129
26,-272.13956
27,-292.72357
28,-244.21246
29,-192.33568
30,-144.75429
31,-119.8724
32,-116.84208
33,-119.711044
34,-125.98146
35,-163.23174
36,-258.312
37,-206.24911
38,-159.78587
39,-169.0013
40,-216.269
41,-264.80005
42,-269.31982
43,-249.21297
44,-224.2747
45,-210.94658
46,-213.15596
47,-225.01932
48,-250.06412
49,-292.06512
50,-316.29175
51,-367.5802
52,-372.2437
53,-276.13928
54,-204.48131
55,-163.11832
56,-175.69019
57,-276.26877
58,-409.05798
59,-213.63364
60,-174.43301
61,-207.2012
62,-234.62039
63,-203.4686
64,-163.20796
65,-131.73648
66,-122.31445
67,-123.64714
68,-112.21001
69,-113.94683
70,-122.26445
71,-141.76726
72,-160.70018
73,-189.78023
74,-268.08835
75,-311.94125
76,-262.33652
77,-253.6655
78,-260.28833
79,-246.75864
80,-245.13205
81,-260.60764
82,-305.83487
83,-361.0531
84,-277.30576
85,-222.23935
86,-194.36859
87,-185.93715
88,-192.8747
89,-239.04257
90,-344.69696
91,-290.78156
92,-257.4813
93,-243.55988
94,-254.67433
95,-305.4953
96,-366.70383
97,-306.29956
98,-285.05936
99,-243.35905
100,-208.71886
101,-220.14781
102,-271.10925
103,-306.47162
104,-265.84302
105,-218.65051
106,-222.9767
107,-243.20952
108,-249.71497
109,-289.6019
110,-327.7701
111,-308.0468
112,-301.84387
113,-278.7818
114,-224.33534
115,-225.04005
116,-223.62688
117,-235.78925
118,-271.59146
119,-291.16965
120,-304.35617
121,-325.2931
122,-331.55978
123,-308.69696
124,-287.2465
125,-282.01233
126,-290.98004
127,-318.4744
128,-341.08118
129,-365.84485
130,-337.06302
131,-228.1136
132,-214.9264
133,-261.27292
134,-279.46387
135,-270.67227
136,-267.143
137,-295.71405
138,-327.04788
139,-349.34488
140,-349.5537
141,-365.7766
142,-399.87198
143,-440.94757
144,-468.12817
145,-480.7814
146,-489.04733
147,-504.11823
148,-511.12158
149,-526.25
150,60.34865
151,67.687904
152,46.327145
153,12.228411
154,-4.920501
155,-5.9190745
156,4.338944
157,61.598927
158,122.94191
159,172.37656
160,177.08202
161,185.36761
162,188.82477
163,194.46909
164,205.07292
165,210.81526
166,217.2085
167,209.51218
168,174.92416
169,201.08508
170,200.8829
171,196.13477
172,170.69843
173,107.236725
174,42.529274
175,1.8214879
176,2.2116065
177,97.207825
178,115.00934
179,166.5877
180,193.60059
181,204.66037
182,211.6142
183,209.60742
184,212.52148
185,215.17036
186,176.4826
187,162.81335
188,186.62045
189,193.6355
190,191.44087
191,176.65942
192,184.64359
193,185.07309
194,191.36954
195,190.18236
196,180.99731
197,163.67403
198,155.6441
199,145.997
200,122.61194
201,105.06183
202,109.66623
203,133.89954
204,173.8078
205,183.51837
206,177.16803
207,149.27797
208,78.18891
209,86.36619
210,94.9787
211,116.24396
212,145.88074
213,161.37804
214,176.45291
215,179.83713
216,176.36217
217,169.97665
218,181.20276
219,181.61209
220,180.53682
221,177.02182
222,180.67374
223,187.27713
224,176.60779
225,183.63875
226,210.17955
227,200.66476
228,188.45674
229,198.33868
230,190.92761
231,180.32935
232,174.82214
233,162.69128
234,90.00893
235,105.96327
236,145.00758
237,174.78632
238,169.31781
239,160.41705
240,106.701996
241,33.166878
242,9.462485
243,-5.8734255
244,-15.486565
245,-7.845583
246,51.95363
247,54.50347
248,80.130264
249,134.43314
250,155.156
251,170.31445
252,190.54913
253,187.3034
254,137.23415
255,74.144806
256,27.794937
257,26.110788
258,86.132614
259,140.3569
260,140.85904
261,139.92554
262,113.56666
263,115.37895
264,164.66559
265,182.74939
266,205.85388
267,211.19942
268,199.98349
269,196.19257
270,190.99835
271,188.57623
272,183.32559
273,180.59804
274,180.71964
275,173.69203
276,161.79933
277,164.56596
278,167.63637
279,162.68306
280,131.62462
281,109.648224
282,110.62471
283,135.0781
284,173.07191
285,182.73753
286,188.28725
287,176.1388
288,156.38681
289,147.45627
290,163.79614
291,164.67496
292,151.09332
293,129.01215
294,117.93737
295,110.82068
296,105.511154
297,91.86577
298,85.68074
299,71.46878
300,37.951626
301,33.327538
302,1.1023432
303,-2.5915728
304,-5.873958
305,-20.640167
306,-23.504967
307,7.37012
308,-7.641157
309,-40.850914
310,-57.930393
311,-72.83975
312,-89.8638
313,-103.53689
314,-104.76204
315,-100.97695
316,-84.89765
317,-50.35509
318,-0.00545907
319,-21.125551
320,-36.13265
321,-33.56659
322,-15.356583
323,9.387936
324,-6.893341
325,-48.286015
326,-46.60303
327,-69.7215
328,-47.858475
329,-28.194141
330,-49.723633
331,-67.68578
332,-74.69426
333,-79.01154
334,-66.61589
335,-43.528008
336,-11.884114
337,-23.303955
338,-30.716484
339,-30.79882
340,-6.9218664
341,9.348406
342,16.934988
343,26.854286
344,32.560425
345,28.16634
346,19.078342
347,19.513237
348,28.14347
349,33.966286
350,11.888024
351,-0.2562244
352,-27.256657
353,-36.053444
354,-27.010195
355,-40.224197
356,-38.358562
357,-9.170436
358,-11.873081
359,-45.6001
360,-43.421005
361,-26.959562
362,-17.741707
363,-34.378723
364,-56.589302
365,-69.120544
366,-72.357
367,-75.33073
368,-82.752045
369,-78.65349
370,-73.98362
371,-67.55505
372,-60.305054
373,-42.608345
374,-11.693994
375,32.426327
376,12.510784
377,-3.0129251
378,-4.6074314
379,2.5108137
380,1.1628544
381,5.6441283
382,22.209427
383,39.437347
384,-30.160011
385,-19.281471
386,-20.298779
387,-32.761337
388,-30.222893
389,-13.377613
390,11.4923
391,-20.43635
392,-19.611828
393,-25.906929
394,-36.05419
395,-33.202747
396,-37.519188
397,-43.894753
398,-9.419986
399,-6.321064
400,-14.310574
401,-10.442783
402,8.235683
403,10.910251
404,24.946648
405,24.0927
406,1.4114484
407,-9.803105
408,7.1211805
409,6.1964564
410,13.184521
411,1.8103975
412,2.1049294
413,-6.0065947
414,-9.965857
415,-5.4684973
416,-1.6166021
417,5.793812
418,28.63483
419,47.514736
420,58.745003
421,78.30612
422,84.08142
423,64.11469
424,47.152157
425,34.61725
426,23.06903
427,27.830559
428,38.05699
429,51.86958
430,1.6615075
431,-44.92798
432,-39.43577
433,-3.8799362
434,0.3071342
435,3.8696628
436,7.3378744
437,7.379056
438,6.0868506
439,5.034288
440,19.356739
441,21.02909
442,19.821718
443,23.508427
444,32.982376
445,37.427155
446,42.28952
447,42.265663
448,41.650776
449,39.38333
450,22.699913
451,21.51929
452,50.13312
453,69.13107
454,74.33093
455,70.04999
456,88.15668
457,124.6647
458,118.62282
459,105.60778
460,91.78079
461,62.81053
462,47.34941
463,38.12641
464,27.62257
465,27.11905
466,30.828499
467,24.012081
468,37.38537
469,41.58873
470,40.220528
471,43.7564
472,54.854134
473,86.4792
474,106.26786
475,89.89171
476,79.22958
477,32.118095
478,53.892227
479,48.558685
480,36.398167
481,29.666119
482,16.985352
483,14.781536
484,27.889832
485,33.524418
486,42.96973
487,63.04903
488,61.370155
489,50.647354
490,45.06152
491,43.98976
492,39.2446
493,54.290886
494,63.561905
495,68.86931
496,71.446014
497,78.65062
498,76.73697
499,65.29087
500,53.31552
501,27.440447
502,-18.067379
503,-3.4162402
504,49.312805
505,76.014824
506,76.6557
507,71.71292
508,39.753696
509,62.563007
510,71.110725
511,64.5149
512,50.42106
513,35.731323
514,30.607716
515,28.010498
516,30.46611
517,33.520042
518,22.860657
519,23.07409
520,24.26197
521,30.96263
522,33.577877
523,39.710236
524,39.144943
525,35.060898
526,33.61132
527,39.818554
528,37.547882
529,35.41094
530,35.29895
531,44.200474
532,52.695503
533,51.81105
534,67.16706
535,96.867584
536,103.56889
537,87.880646
538,79.32476
539,75.60675
540,80.26959
541,63.81626
542,69.10977
543,81.755585
544,89.458405
545,86.452805
546,69.01192
547,92.676636
548,132.90076
549,122.05125
550,109.38681
551,87.50467
552,46.562035
553,28.554657
554,63.004784
555,101.66136
556,114.1554
557,109.49785
558,120.846054
559,102.41777
560,85.47131
561,96.452194
562,121.81211
563,103.669266
564,76.15368
565,54.31662
566,36.600796
567,31.493727
568,38.0136
569,45.320694
570,50.93643
571,60.748016
572,61.782677
573,58.82605
574,54.376877
575,57.420784
576,68.94825
577,61.047417
578,52.452816
579,58.208996
580,60.992577
581,57.566483
582,66.375824
583,71.07358
584,44.94617
585,39.442337
586,40.95944
587,31.476082
588,14.197848
589,-5.356757
590,-0.62988603
591,-5.692959
592,-14.625832
593,-13.487759
594,-9.524263
595,-4.509511
596,2.4065535
597,9.148758
598,10.673197
599,14.227744
600,16.43391
601,13.678783
602,-23.842766
603,-50.378254
604,-54.77059
605,-66.69841
606,-60.90291
607,-26.07671
608,3.309924
609,20.460764
610,3.584519
611,-15.926943
612,-29.82262
613,-40.70246
614,-41.163673
615,-44.375866
616,-38.041306
617,-22.48684
618,-8.953234
619,12.845396
620,9.309265
621,-8.470348
622,-34.242455
623,-60.1492
624,-63.87729
625,-59.39416
626,-35.236115
627,-6.604495
628,-13.202628
629,-31.775146
630,-47.14116
631,-56.05685
632,-50.537224
633,-46.066788
634,-35.81695
635,-22.518822
636,-10.54188
637,-26.318684
638,-29.832857
639,-30.933544
640,-30.931992
641,-22.089605
642,-23.226612
643,-47.290573
644,-59.42025
645,-62.74389
646,-63.391693
647,-62.842266
648,-60.444878
649,-51.98265
