,0
0,-514.2943
1,-527.15265
2,-541.2162
3,-541.53204
4,-483.17844
5,-294.9989
6,-203.80592
7,-150.25859
8,-153.70393
9,-217.18408
10,-204.98846
11,-182.3377
12,-191.00122
13,-201.93492
14,-243.47278
15,-253.55595
16,-235.45586
17,-183.16296
18,-111.6884
19,-92.141304
20,-119.44807
21,-174.78156
22,-220.09583
23,-247.94662
24,-250.38956
25,-243.67834
26,-248.91855
27,-219.62047
28,-205.6895
29,-223.11794
30,-210.28079
31,-198.77287
32,-201.66881
33,-226.07268
34,-289.24033
35,-291.1049
36,-305.34747
37,-374.6084
38,-461.28445
39,-339.4844
40,-283.89975
41,-276.4686
42,-293.33072
43,-319.12415
44,-307.13928
45,-245.85704
46,-224.94778
47,-234.4736
48,-268.58493
49,-265.04852
50,-246.09154
51,-226.93906
52,-222.58203
53,-228.56786
54,-205.61475
55,-226.6742
56,-293.15118
57,-367.65634
58,-331.2799
59,-326.44147
60,-273.611
61,-216.59727
62,-200.07686
63,-237.38805
64,-270.9763
65,-270.27466
66,-229.55887
67,-215.51015
68,-225.68436
69,-254.21632
70,-208.84384
71,-188.0806
72,-193.20517
73,-215.37965
74,-235.46185
75,-229.00826
76,-224.29695
77,-217.46812
78,-215.0091
79,-208.29532
80,-199.41266
81,-189.34735
82,-209.88242
83,-219.28873
84,-203.47028
85,-220.97375
86,-310.6554
87,-338.35785
88,-263.01486
89,-244.00041
90,-221.92328
91,-203.20338
92,-205.64964
93,-206.18437
94,-209.6745
95,-211.22186
96,-199.04002
97,-201.9016
98,-191.25592
99,-188.5583
100,-189.38998
101,-188.76648
102,-190.1454
103,-211.27548
104,-259.75034
105,-317.46307
106,-335.36093
107,-352.7878
108,-370.5191
109,-395.178
110,-418.30435
111,-441.0459
112,-460.02954
113,-479.86655
114,-501.1785
115,-522.5349
116,-537.5194
117,-542.4518
118,-544.92944
119,-547.5993
120,-549.20386
121,-547.18756
122,-541.71844
123,-475.95978
124,-459.39667
125,-507.60107
126,-525.69904
127,-518.6775
128,-516.32874
129,-522.2271
130,-523.2981
131,-524.7961
132,-527.63153
133,-529.1
134,-523.343
135,-518.06024
136,-517.0994
137,-513.20996
138,-512.26733
139,-515.23773
140,-516.1704
141,-517.171
142,-517.9284
143,-520.9808
144,-527.44617
145,-522.29926
146,-517.3495
147,-511.36777
148,-498.4476
149,-501.41284
150,-519.34955
151,-538.52496
152,-546.9336
153,-548.9612
154,-549.0357
155,-547.342
156,-547.8493
157,-544.0414
158,-543.6341
159,-547.29846
160,-546.7915
161,-542.4842
162,-525.8763
163,-500.83496
164,-499.3329
165,-523.2691
166,-543.87177
167,-538.44086
168,-487.0474
169,-423.42044
170,-395.4724
171,-360.269
172,-243.50394
173,-221.39624
174,-214.70595
175,-171.9146
176,-159.24167
177,-187.30725
178,-285.89957
179,-212.9769
180,-143.24622
181,-150.20717
182,-187.19232
183,-178.77115
184,-159.61957
185,-157.8295
186,-158.41116
187,-174.15382
188,-235.47873
189,-385.92285
190,-433.5441
191,-311.00055
192,-257.3005
193,-218.01547
194,-190.08354
195,-204.37193
196,-253.13753
197,-335.56345
198,-466.03265
199,-288.4791
200,-233.26192
201,-213.20827
202,-211.27208
203,-239.95073
204,-256.52582
205,-222.65361
206,-208.56494
207,-246.6855
208,-288.4097
209,-316.30106
210,-332.64392
211,-322.49255
212,-293.58032
213,-265.30728
214,-281.50543
215,-387.11627
216,-501.74228
217,-321.69302
218,-254.5278
219,-267.1992
220,-308.85532
221,-360.24075
222,-394.86993
223,-445.04352
224,-498.17426
225,-533.62537
226,-546.13666
227,-546.27435
228,-554.19104
229,78.8932
230,66.745224
231,51.663944
232,53.208824
233,93.381134
234,157.92139
235,189.67706
236,195.32568
237,193.64114
238,188.59796
239,176.55655
240,175.79834
241,172.12994
242,186.42918
243,195.71487
244,195.59242
245,178.31949
246,183.84842
247,208.6351
248,216.52402
249,203.5594
250,168.24857
251,137.59933
252,138.82127
