,0
0,-504.43015
1,-503.62308
2,-504.9545
3,-505.05682
4,-503.77332
5,-497.91513
6,-310.28586
7,-221.40916
8,-189.87955
9,-181.32759
10,-179.4294
11,-174.44899
12,-170.61232
13,-164.60187
14,-126.78692
15,-88.36839
16,-86.6586
17,-110.54782
18,-113.6888
19,-156.45259
20,-315.90268
21,-459.84183
22,-353.2307
23,-280.86865
24,-259.81958
25,-276.5533
26,-235.59595
27,-225.30518
28,-200.73576
29,-191.94917
30,-223.43251
31,-227.32649
32,-255.60464
33,-304.97504
34,-249.42009
35,-174.64014
36,-171.26118
37,-179.44139
38,-193.53996
39,-195.2717
40,-228.87582
41,-224.30164
42,-207.61333
43,-234.82915
44,-276.86685
45,-322.7404
46,-296.63965
47,-245.02214
48,-214.88963
49,-216.19328
50,-223.08366
51,-224.08232
52,-218.36856
53,-221.20224
54,-242.97693
55,-243.03917
56,-231.31224
57,-243.95602
58,-249.15096
59,-236.07437
60,-227.99124
61,-224.90514
62,-231.80794
63,-267.8998
64,-263.3638
65,-255.90442
66,-250.52939
67,-265.57068
68,-282.33673
69,-298.4578
70,-329.31262
71,-362.7967
72,-376.6641
73,-392.97934
74,-409.17883
75,-423.0147
76,-322.9841
77,-298.67746
78,-348.4608
79,-400.50623
80,-429.06894
81,-462.25095
82,-487.16885
83,-501.99573
84,-505.68948
85,-506.21515
86,-505.28912
87,17.77744
88,18.755117
89,17.160044
90,17.024475
91,18.818056
92,21.325153
93,69.66939
94,108.802475
95,120.332184
96,107.864685
97,102.62082
98,121.08133
99,135.80687
100,135.35193
101,129.6234
102,112.51813
103,86.05776
104,84.08848
105,130.51855
106,160.67325
107,156.26184
108,67.91578
109,142.36069
110,168.16608
111,154.87836
112,116.78862
113,119.93702
114,112.22084
115,118.25302
116,107.02619
117,72.07494
118,84.3403
119,108.31903
120,91.12034
121,82.245285
122,120.342834
123,134.84659
124,141.15968
125,164.82935
126,136.90646
127,57.279324
128,54.966904
129,93.59137
130,133.27817
131,156.95312
132,150.99402
133,169.31448
134,188.59666
135,186.39517
136,163.87447
137,151.76387
138,142.71751
139,142.17883
140,140.28394
141,133.35672
142,118.499115
143,61.8263
144,7.220027
145,-31.143185
146,-27.882086
147,-21.06695
148,-1.2112534
149,70.21529
150,125.348434
151,155.77278
152,162.33856
153,142.9359
154,138.35657
155,142.45862
156,147.38025
157,138.62706
158,119.392456
159,117.07431
160,113.79149
161,109.4008
162,97.36607
163,128.64151
164,130.60349
165,103.340576
166,74.78723
167,67.915146
168,51.943485
169,33.70981
170,20.498585
171,16.088755
172,15.422165
173,16.72844
174,17.012005
175,17.727497
176,16.760178
177,16.640049
178,18.370867
