,0
0,-511.55835
1,-507.16913
2,-508.13864
3,-514.4773
4,-430.49243
5,-273.92032
6,-177.5732
7,-134.79439
8,-96.936165
9,-82.1029
10,-88.10188
11,-128.78133
12,-231.30573
13,-228.41881
14,-161.7233
15,-116.21945
16,-70.6105
17,-49.410023
18,-63.690044
19,-104.35731
20,-122.14704
21,-120.15755
22,-127.918564
23,-181.28316
24,-259.04785
25,-311.01117
26,-334.93182
27,-358.09595
28,-352.0433
29,-368.4147
30,-321.15543
31,-257.75372
32,-232.48094
33,-219.65741
34,-229.63025
35,-274.9295
36,-275.84705
37,-210.5269
38,-209.72089
39,-229.86475
40,-259.13846
41,-222.52223
42,-217.8738
43,-220.01404
44,-207.05026
45,-243.5474
46,-288.10562
47,-263.24744
48,-262.94904
49,-273.3106
50,-305.9645
51,-330.94656
52,-311.18985
53,-267.89868
54,-249.66943
55,-252.11174
56,-205.45586
57,-150.53725
58,-131.03592
59,-157.48315
60,-153.93025
61,-158.56178
62,-183.50784
63,-220.37209
64,-247.52397
65,-277.05673
66,-352.32666
67,-435.54688
68,-444.8468
69,-452.54794
70,-453.1015
71,-453.36502
72,-460.9177
73,-482.14575
74,-505.1186
75,-516.6997
76,-518.33234
77,-519.23956
78,22.715008
79,23.56641
80,23.139479
81,18.67288
82,61.63495
83,86.31789
84,105.180405
85,107.11276
86,141.99771
87,150.0877
88,133.91174
89,131.44589
90,131.73236
91,75.594055
92,88.51697
93,130.07736
94,153.33047
95,152.82663
96,150.45317
97,134.27475
98,128.20618
99,135.62874
100,149.87994
101,158.11078
102,150.86633
103,146.10641
104,132.9993
105,125.91345
106,140.68907
107,128.85843
108,107.70616
109,149.81915
110,164.31451
111,146.29384
112,134.25763
113,138.55656
114,117.96033
115,109.0581
116,94.627335
117,78.49675
118,54.289562
119,68.82008
120,70.96447
121,79.221825
122,84.811844
123,59.763412
124,16.200123
125,27.164127
126,43.161636
127,86.85837
128,119.1021
129,119.98015
130,134.33191
131,97.31056
132,47.95318
133,28.096584
134,84.249435
135,136.32011
136,142.85675
137,127.106155
138,135.7716
139,133.5953
140,127.59703
141,122.89975
142,126.96892
143,116.02649
144,89.11044
145,85.08815
146,101.73354
147,92.78726
