,0
0,-467.3499
1,-489.80936
2,-446.5861
3,-360.5136
4,-326.7877
5,-259.58817
6,-171.55411
7,-128.05263
8,-116.306335
9,-143.85086
10,-199.48718
11,-166.51868
12,-153.59036
13,-108.558014
14,-72.07117
15,-80.362045
16,-92.670815
17,-124.0732
18,-135.51746
19,-162.19086
20,-212.86032
21,-219.43594
22,-228.42348
23,-303.67435
24,-208.42343
25,-149.68007
26,-176.23262
27,-205.21657
28,-187.82213
29,-210.41478
30,-242.84839
31,-182.41443
32,-185.80843
33,-231.50095
34,-243.08133
35,-246.9551
36,-223.4125
37,-209.28716
38,-187.43837
39,-227.26228
40,-279.75775
41,-257.93335
42,-218.09332
43,-216.7911
44,-230.30219
45,-220.45584
46,-213.88219
47,-204.19055
48,-212.70155
49,-213.78186
50,-219.93623
51,-214.07343
52,-210.25833
53,-224.4272
54,-242.99026
55,-275.3315
56,-328.78278
57,-313.34424
58,-301.42545
59,-313.62637
60,-336.5621
61,-361.3386
62,-387.57297
63,-414.3302
64,-445.65347
65,-466.62518
66,88.10042
67,72.900116
68,86.3297
69,106.47806
70,114.42497
71,157.13254
72,172.28229
73,179.19205
74,178.2679
75,178.99152
76,189.1796
77,192.26059
78,199.07565
79,203.85132
80,206.33066
81,190.69386
82,165.20111
83,148.91544
84,156.82965
85,165.85832
86,155.43616
87,155.94229
88,161.35378
89,144.34973
90,144.00375
91,148.40768
92,149.91379
93,166.64542
94,167.60919
95,160.06015
96,146.12083
97,110.84242
98,80.762505
99,32.18691
100,10.175633
101,4.6522245
102,18.14214
103,48.815998
104,113.24312
105,157.65878
106,154.75946
107,144.43643
108,118.95411
109,86.7385
110,80.78641
111,110.441345
112,150.77045
113,170.17365
114,175.1999
115,176.96921
116,172.02963
117,172.24588
118,167.33772
119,171.87515
120,182.9625
121,180.89694
122,170.57181
123,185.9138
124,178.99805
125,157.95535
126,136.65176
127,121.44896
128,107.8653
129,95.53003
130,85.30217
131,79.79255
132,31.780533
133,35.513985
134,11.506292
135,-18.009727
136,-32.484024
137,-43.804604
138,-77.955215
139,-92.35094
140,-99.95224
141,-88.22958
142,-46.99305
143,-60.282715
144,-69.77247
145,-80.56733
146,-104.59275
147,-125.24399
148,-133.67639
149,-120.73169
150,-98.60599
151,-67.48196
152,-38.199127
153,-35.140663
154,-33.90844
155,-19.289246
156,-63.71365
157,-67.408226
158,-41.990517
159,-32.767754
160,-51.963287
161,-47.94827
162,-11.936364
163,-13.096706
164,-8.79496
165,8.656328
166,12.410246
167,-1.1908096
168,-4.358136
169,5.572715
170,-5.956667
171,-22.10919
172,-4.963649
173,-6.578907
174,-19.546665
175,-17.318636
176,-2.0594058
177,-5.887085
178,-25.055794
179,-40.700302
180,-52.85781
181,-56.815697
182,-55.93332
183,-57.251183
184,-62.180748
185,-60.082718
186,-44.637794
187,-16.84526
188,23.053959
189,24.119545
190,16.849743
191,10.068388
192,0.18682125
193,-1.3891114
194,-5.349665
195,-6.6480675
196,5.774393
197,20.35704
198,22.632954
199,26.395103
200,19.248447
201,26.713024
202,18.807095
203,3.9865446
204,11.532927
205,20.225449
206,33.743378
207,46.829865
208,46.80353
209,47.611526
210,35.823265
211,32.229637
212,33.339275
213,34.68493
214,36.126984
215,36.44404
216,43.295444
217,47.119873
218,45.580353
219,34.09156
220,22.582426
221,26.34337
222,26.544258
223,37.15115
224,54.200226
225,70.72708
226,78.448166
227,77.2637
228,77.11823
229,99.429886
230,116.06514
231,142.76993
232,131.99911
233,104.633804
234,100.53122
235,115.32141
236,109.79846
237,92.71649
238,66.71205
239,80.5317
240,102.04242
241,107.862366
242,91.56949
243,68.44011
244,47.94953
245,27.810326
246,19.260899
247,20.375961
248,19.180399
249,24.610323
250,28.09911
251,21.447746
252,17.311455
253,19.779797
254,27.987934
255,31.158056
256,42.17221
257,48.143806
258,50.310818
259,45.091385
260,31.842224
261,17.544994
262,17.224815
263,21.135406
264,19.741673
265,23.781145
266,18.873507
267,3.3391047
268,-8.686966
269,-36.367252
270,-56.56501
271,-57.027344
272,-45.944435
273,-25.190285
274,7.909676
275,10.006088
276,-7.333469
277,-35.124546
278,-44.05582
279,-42.324455
280,-41.83076
281,-41.700935
282,-42.45965
283,-35.564953
284,-21.014181
285,-20.341808
286,-19.575003
287,-0.19651127
288,-0.93073577
289,-9.32942
290,0.17501304
291,4.156651
292,4.2748747
293,6.984922
294,-6.976947
295,-43.91605
296,-51.645546
297,-41.189552
298,-51.18617
299,-59.15398
300,-63.39158
301,-46.3016
302,-21.143734
303,14.218168
304,19.918913
305,14.514756
306,-6.44114
307,-27.060244
308,-42.815033
309,-46.085125
310,-31.207706
311,-22.72093
312,-19.461548
313,-21.852814
314,-23.41877
315,-20.27165
316,-19.382206
317,-12.049555
318,-1.3895006
319,2.4444342
320,10.774229
321,18.919682
322,19.885303
323,22.567516
324,36.263737
325,34.234226
326,24.871826
327,18.770714
328,21.041882
329,21.471592
330,13.525295
331,18.338905
332,17.305828
333,10.180277
334,16.513882
335,4.955331
336,-3.3047333
337,-5.239912
338,-12.836581
339,-15.909968
340,-7.669853
341,-6.976156
342,-6.8979397
343,-1.1036618
344,-7.878625
345,-5.109937
346,7.1690845
347,14.947529
348,5.7410526
349,4.3083444
350,23.322393
351,33.776985
352,28.390034
353,18.354464
354,22.794048
355,30.677723
356,32.533607
357,6.866152
358,-5.2979956
359,-6.6186233
360,-0.06537509
361,20.837736
362,30.55583
363,44.62229
364,59.603138
365,63.577976
366,59.156593
367,52.477646
368,25.008156
369,-2.2673054
370,6.449607
371,0.8950369
372,9.440263
373,39.614475
374,58.80307
375,47.89287
376,17.631626
377,7.8016977
378,3.7729871
379,1.7894118
380,6.405035
381,0.33120435
382,-0.98754716
383,3.2167528
384,7.3248076
385,13.093923
386,19.863787
387,17.782808
388,22.508244
389,29.834011
390,36.24659
391,30.418407
392,23.171162
393,17.338333
394,16.735641
395,17.049713
396,10.905554
397,12.167734
398,11.849088
399,10.018543
400,12.207275
401,14.895006
402,14.173859
403,10.840868
404,6.094617
405,4.158024
406,-5.051223
407,-14.715764
408,-4.2591853
409,12.273367
410,13.494669
411,21.80088
412,25.007278
413,26.172699
414,18.721943
415,7.990131
416,-3.7060585
417,5.3524637
418,13.43036
419,30.220562
420,-12.487204
421,-23.818312
422,-19.665512
423,-5.1489873
424,2.5114694
425,2.7789176
426,-3.584376
427,5.097907
428,0.2941627
429,-11.756027
430,-13.474391
431,-16.840427
432,-23.010809
433,-20.967035
434,-18.250519
435,3.865212
436,-5.9077907
