,0
0,-550.75507
1,-556.58325
2,-520.5967
3,-427.66968
4,-370.88177
5,-312.34506
6,-245.44427
7,-209.35593
8,-200.81856
9,-199.87039
10,-215.8049
11,-235.55429
12,-236.35184
13,-279.39487
14,-365.02902
15,-352.14584
16,-316.95013
17,-311.56293
18,-318.1665
19,-330.095
20,-334.4639
21,-385.19348
22,-279.77548
23,-195.52618
24,-169.86295
25,-132.12914
26,-108.67347
27,-143.51373
28,-141.06007
29,-113.8969
30,-116.75459
31,-141.80798
32,-196.2786
33,-234.60918
34,-223.97755
35,-229.64265
36,-244.75113
37,-255.16797
38,-276.6213
39,-294.84372
40,-315.83347
41,-318.37003
42,-271.53082
43,-278.2921
44,-331.93353
45,-318.04968
46,-258.53564
47,-230.05603
48,-258.7937
49,-389.42368
50,-346.28198
51,-267.0745
52,-225.3722
53,-177.56741
54,-168.58786
55,-192.1737
56,-176.1785
57,-171.735
58,-199.34796
59,-248.07864
60,-324.09387
61,-338.29605
62,-285.40265
63,-280.73117
64,-320.6836
65,-327.593
66,-286.8009
67,-249.701
68,-249.05838
69,-329.63205
70,-394.84705
71,-382.93707
72,-356.41687
73,-290.2316
74,-269.4579
75,-250.42839
76,-249.54799
77,-302.05182
78,-329.5899
79,-314.36108
80,-306.84988
81,-311.68414
82,-336.47363
83,-331.27097
84,-298.54214
85,-277.6266
86,-227.82362
87,-176.37465
88,-163.79535
89,-169.8759
90,-195.38799
91,-258.69455
92,-268.83594
93,-225.17094
94,-222.24792
95,-223.75117
96,-236.16219
97,-289.99496
98,-313.18872
99,-285.10892
100,-222.3752
101,-178.78041
102,-186.84882
103,-212.97125
104,-258.69485
105,-309.91193
106,-334.15073
107,-383.99753
108,-466.9571
109,-580.80316
110,-605.0098
111,-603.136
112,-603.62695
113,16.633638
114,20.79958
115,-6.248272
116,25.413002
117,41.86512
118,70.812775
119,122.90927
120,138.33542
121,123.30803
122,127.54113
123,135.29059
124,136.339
125,158.15143
126,165.58707
127,128.07764
128,110.72922
129,103.94368
130,93.8041
131,93.083626
132,70.89804
133,50.58271
134,44.727783
135,49.688164
136,74.6558
137,99.45254
138,118.82775
139,117.12752
140,97.22136
141,96.109344
142,90.90744
143,77.10712
144,98.43994
145,120.460815
146,99.40628
147,99.85766
148,136.61948
149,160.93922
150,159.93771
151,145.44809
152,133.18427
153,119.47678
154,120.54231
155,140.06012
156,137.53088
157,126.49899
158,121.631096
159,141.1694
160,164.03049
161,156.49501
162,115.56802
163,68.25156
164,96.23628
165,119.506744
166,132.23041
167,116.32643
168,79.989586
169,85.56805
170,105.7014
171,124.71556
172,151.41074
173,143.0521
174,131.65334
175,141.78165
176,144.72247
177,130.25294
178,91.5197
179,84.77141
180,97.76239
181,111.77266
182,106.999954
183,59.907043
184,44.867332
185,40.480717
186,59.121933
187,55.978333
188,55.46225
189,59.24839
190,64.799866
191,100.40985
192,73.31505
193,36.452904
194,36.083824
195,69.287224
196,79.66489
197,72.287
198,77.40375
199,110.24742
200,127.11101
201,139.1205
202,156.29672
203,163.05914
204,148.30539
205,167.85321
206,171.34254
207,147.41682
208,123.66173
209,124.85945
210,128.23476
211,139.79567
212,97.43843
213,106.2755
214,130.68044
215,143.6188
216,145.17532
217,154.39993
218,141.04475
219,123.985245
220,95.762634
221,71.17668
222,26.035702
223,11.456724
224,13.783824
225,13.414165
226,-1.5415281
227,6.845881
228,9.853653
229,19.847305
230,24.226986
231,13.327825
232,-16.075287
233,-51.039703
234,-85.4943
235,-101.85861
236,-123.5847
237,-146.0111
238,-116.079575
239,-77.52701
240,-37.32254
241,-41.607353
242,-38.213295
243,-25.028614
244,-5.69938
245,-15.980936
246,-38.88644
247,-34.669586
248,-75.48218
249,-82.293015
250,-84.29669
251,-109.630554
252,-150.86298
253,-183.68207
254,-210.72693
255,-216.92567
256,-212.46573
257,-170.01843
258,-131.65567
259,-134.79108
260,-148.39236
261,-111.151306
262,-73.14725
263,-70.23517
264,-68.46737
265,-74.44273
266,-63.400726
267,-48.753307
268,-34.07621
269,-17.439848
270,-16.474117
271,-48.611217
272,-52.73726
273,-52.60932
274,-27.372395
275,22.85803
276,-22.496708
277,-33.92876
278,-49.444134
279,-97.49122
280,-151.07028
281,-175.10895
282,-188.24843
283,-192.47604
284,-167.94662
285,-124.61105
286,-77.582855
287,-46.3303
288,-73.60645
289,-65.31349
290,-33.85667
291,-11.237686
292,-34.944237
293,-54.99034
294,-43.827827
295,-11.607065
296,-5.153938
297,-29.854496
298,-46.114647
299,-40.93583
300,-38.0099
301,-51.196667
302,-55.538857
303,-43.31192
304,-15.713316
305,0.9978676
306,-3.6590772
307,-14.952507
308,-21.77166
309,-27.440952
