,0
0,-559.20404
1,-506.39676
2,-366.02576
3,-286.0178
4,-229.44063
5,-217.83105
6,-227.31752
7,-214.14589
8,-204.37077
9,-210.33896
10,-245.48888
11,-271.7985
12,-265.38757
13,-249.5308
14,-162.06732
15,-120.90255
16,-115.64646
17,-143.72623
18,-189.94034
19,-261.61075
20,-347.42523
21,-453.27405
22,-314.51782
23,-272.8002
24,-270.62668
25,-259.60925
26,-222.5552
27,-214.67296
28,-226.68547
29,-219.04053
30,-168.6447
31,-150.92627
32,-161.80501
33,-183.63542
34,-259.70947
35,-271.45053
36,-268.1823
37,-190.38828
38,-96.41458
39,-92.31169
40,-147.0518
41,-169.19746
42,-189.84131
43,-233.95808
44,-238.78188
45,-163.19902
46,-123.73115
47,-145.28102
48,-222.91273
49,-342.36484
50,-403.2243
51,-418.9421
52,-241.6852
53,-145.89561
54,-94.50874
55,-81.119896
56,-85.314476
57,-72.00147
58,-73.387886
59,-121.01659
60,-160.94756
61,-174.97571
62,-179.23938
63,-183.46861
64,-175.76474
65,-137.4628
66,-115.24006
67,-121.82096
68,-115.26216
69,-115.67123
70,-111.06777
71,-110.768166
72,-101.26482
73,-105.87616
74,-146.59859
75,-198.44923
76,-226.60701
77,-261.72385
78,-299.59546
79,-362.11566
80,-284.65622
81,-168.95866
82,-102.13741
83,-98.8112
84,-175.38966
85,-333.2211
86,-418.2758
87,-432.52716
88,-437.32025
89,-484.48026
90,-556.33887
91,-633.5142
92,-654.40717
93,-656.6246
94,37.58619
95,51.580772
96,32.82231
97,43.586517
98,85.01652
99,130.16528
100,163.51683
101,148.18939
102,137.80602
103,138.87529
104,122.15022
105,93.76625
106,87.79784
107,85.800095
108,130.7886
109,149.26666
110,149.89624
111,152.33685
112,147.354
113,119.88899
114,92.72075
115,94.88925
116,135.57852
117,137.99777
118,138.88136
119,149.07707
120,153.25653
121,143.53674
122,115.25832
123,100.151566
124,106.341415
125,104.433556
126,97.890656
127,113.71945
128,108.94837
129,16.393536
130,1.3228118
131,77.99379
132,132.25519
133,159.77449
134,183.54478
135,153.5691
136,108.202286
137,60.14778
138,64.45078
139,103.37248
140,133.73758
141,166.55472
142,174.73425
143,160.186
144,142.32892
145,139.44305
146,156.73041
147,163.0644
148,176.97963
149,186.02994
150,187.42749
151,143.84668
152,93.65831
153,45.504433
154,16.248663
155,-5.1953793
156,-21.574722
157,-21.821556
158,-2.322358
159,49.470943
160,98.93082
161,129.72488
162,136.46066
163,136.29044
164,143.48245
165,146.39018
166,142.58456
167,150.14798
168,164.33414
169,168.96332
170,170.85092
171,171.12732
172,164.10147
173,142.22513
174,96.31034
175,71.2229
176,62.58928
177,63.6634
178,69.46629
179,89.58576
180,72.113785
181,52.374603
182,48.064926
183,43.147614
184,48.00714
185,34.442947
186,22.94369
187,22.28706
188,2.7921276
189,-10.149546
190,-34.949593
191,-37.224365
192,-39.03341
193,-58.827896
194,-92.51159
195,-108.94682
196,-103.81958
197,-73.68793
198,-47.48709
199,-56.05188
200,-66.00817
201,-68.94219
202,-117.43212
203,-148.54684
204,-143.72858
205,-125.957275
206,-94.30901
207,-57.75634
208,-44.597603
209,-31.596478
210,-53.920685
211,-51.097237
212,-62.38519
213,-84.5626
214,-99.12131
215,-96.14256
216,-81.92786
217,-67.82486
218,-79.871155
219,-107.35593
220,-113.51622
221,-88.22766
222,-60.25913
223,-82.44591
224,-87.85742
225,-64.563156
226,-82.77594
227,-98.58362
228,-116.32616
229,-88.54358
230,-63.764923
231,-58.413216
232,-47.25429
233,-67.333015
234,-104.72222
235,-131.05112
236,-123.3272
237,-97.219795
238,-81.32472
239,-59.500393
240,-131.87283
241,-153.29079
242,-156.58456
243,-156.34369
244,-155.3103
245,-132.64676
246,-101.40561
247,-86.824554
248,-95.96738
249,-113.74323
250,-124.12868
251,-127.82747
252,-113.84113
253,-92.829895
254,-94.273506
255,-108.26988
256,-106.37561
257,-99.750565
258,-108.48999
259,-122.21977
260,-136.37355
261,-139.61542
262,-134.85727
263,-114.622696
264,-87.85466
265,-53.955063
266,-33.26633
267,-21.268196
268,-88.385796
269,-114.969025
270,-129.16328
271,-130.78928
272,-112.17737
273,-88.145226
274,-55.111305
275,-39.79519
276,-41.322594
277,-36.50437
278,-16.52715
279,8.656715
280,18.925346
281,20.361889
282,36.51081
283,41.685776
284,65.76481
285,95.47858
286,105.021614
287,79.699684
288,45.997337
289,44.994614
290,50.916428
291,57.720646
292,56.50978
293,56.247757
294,58.903625
295,64.178566
296,27.759556
297,10.307848
298,4.078662
299,12.869377
300,31.880295
301,51.02579
302,43.09862
303,16.645355
304,40.967514
305,47.565178
306,39.374725
307,28.790688
308,23.383759
309,25.058289
310,51.928604
311,80.63471
312,95.617836
313,102.74312
314,113.04891
315,113.8314
316,99.15549
317,85.61811
318,79.1584
319,59.729507
320,26.643295
321,6.644086
322,-6.992527
323,-3.1119978
324,37.404587
325,69.66363
326,71.32617
327,54.025383
328,45.51599
329,43.877274
330,33.56978
331,3.7904828
