,0
0,-523.4871
1,-522.03986
2,-497.79013
3,-442.69965
4,-242.61314
5,-153.69994
6,-152.94284
7,-233.45238
8,-314.32333
9,-225.03302
10,-143.61592
11,-130.17967
12,-136.82707
13,-154.10637
14,-176.73528
15,-165.94456
16,-145.09659
17,-152.37123
18,-157.34918
19,-153.88535
20,-211.55518
21,-165.67519
22,-113.92015
23,-120.44569
24,-171.39072
25,-223.15385
26,-253.61841
27,-229.84949
28,-153.83405
29,-132.34018
30,-167.29086
31,-245.84848
32,-305.19937
33,-250.6814
34,-166.46544
35,-137.78151
36,-100.33978
37,-76.79723
38,-78.93572
39,-95.61732
40,-136.03761
41,-250.58102
42,-363.54404
43,-293.94727
44,-227.51704
45,-128.28366
46,-75.32186
47,-79.47406
48,-92.92136
49,-123.28026
50,-186.43361
51,-280.61823
52,-300.45828
53,-258.78824
54,-235.83263
55,-256.55228
56,-273.68033
57,-273.8123
58,-233.6469
59,-178.52985
60,-157.3103
61,-197.71222
62,-168.14247
63,-136.9863
64,-160.34947
65,-188.03136
66,-181.05951
67,-181.5833
68,-231.9431
69,-305.6478
70,-270.73965
71,-211.4289
72,-193.13966
73,-185.97133
74,-193.4068
75,-223.99689
76,-221.27138
77,-215.23122
78,-265.69806
79,-292.1858
80,-274.61777
81,-274.89383
82,-256.5726
83,-220.94044
84,-211.00243
85,-205.77182
86,-219.49484
87,-250.30829
88,-304.02716
89,-365.6177
90,-370.12006
91,-374.6513
92,-425.0867
93,-507.4048
94,-517.8508
95,-516.204
96,11.367424
97,13.278109
98,-3.8001995
99,5.6408386
100,65.11456
101,71.016205
102,66.761765
103,52.776623
104,43.79863
105,101.12607
106,120.71187
107,120.15427
108,138.00583
109,139.47032
110,114.19672
111,127.97689
112,167.8852
113,175.8655
114,160.04028
115,154.92068
116,134.41637
117,139.62009
118,148.45663
119,146.63544
120,156.01927
121,153.70056
122,120.67012
123,130.29218
124,136.94164
125,150.1059
126,166.62947
127,175.04819
128,149.21103
129,104.28929
130,115.508316
131,140.13058
132,177.58533
133,177.12494
134,165.23419
135,163.87354
136,166.0874
137,143.9739
138,28.769512
139,-5.0633755
140,-12.749059
141,61.436398
142,119.6897
143,162.26358
144,155.0867
145,150.58403
146,155.18558
147,137.53537
148,135.97581
149,151.85838
