,0
0,-617.6773
1,-584.9849
2,-569.66425
3,-534.0934
4,-380.5158
5,-291.7076
6,-229.69835
7,-182.3095
8,-178.37173
9,-187.3009
10,-246.79385
11,-300.64508
12,-300.87854
13,-259.7744
14,-247.50424
15,-243.8176
16,-240.68712
17,-230.47406
18,-258.69162
19,-284.71896
20,-251.32816
21,-208.31204
22,-186.00145
23,-165.70547
24,-167.66626
25,-208.42473
26,-292.72067
27,-361.09985
28,-292.55884
29,-269.3421
30,-290.50128
31,-279.0252
32,-260.45746
33,-250.51161
34,-222.91248
35,-204.4744
36,-223.31169
37,-261.32
38,-276.618
39,-215.91118
40,-182.61287
41,-150.49905
42,-112.56925
43,-137.09875
44,-280.62302
45,-368.63596
46,-320.89233
47,-374.827
48,-306.5934
49,-253.99606
50,-246.69597
51,-239.65585
52,-255.01216
53,-286.7515
54,-338.27267
55,-386.77628
56,-396.63968
57,-410.03644
58,-439.80927
59,-473.54745
60,-501.63458
61,-528.9247
62,-541.32385
63,-547.33264
64,-563.98755
65,-572.49536
66,-597.9125
67,42.9047
68,58.03568
69,63.329002
70,55.23717
71,36.037804
72,85.40286
73,153.01141
74,191.75238
75,203.00787
76,148.69705
77,63.391266
78,0.46681076
79,7.8442507
80,83.350494
81,147.92424
82,169.6929
83,154.03085
84,120.21117
85,85.433716
86,19.900082
87,21.938946
88,84.01013
89,163.27399
90,199.98946
91,216.30493
92,223.70134
93,210.70665
94,179.02698
95,188.94016
96,189.64015
97,178.08952
98,109.8224
99,60.45135
100,109.42912
101,205.9993
102,232.06168
103,223.63455
104,183.02502
105,132.6295
106,177.31152
107,199.5798
108,203.37732
109,215.0841
110,220.21165
111,213.68976
112,93.122635
113,92.70431
114,88.07035
115,112.59508
116,145.25035
117,156.12076
118,155.6589
119,160.86758
120,174.5051
121,184.68825
122,181.99277
123,176.77673
124,172.33191
125,150.1875
126,126.797676
127,117.10419
128,99.6053
129,86.931244
130,86.18087
131,74.71756
132,63.11905
133,48.393272
134,31.803642
135,25.25785
136,18.439419
137,-20.92509
138,-91.662834
139,-63.92698
140,-35.65944
141,-57.562958
142,-56.39466
143,-10.445446
144,14.857514
145,-14.907877
146,-41.18681
147,-26.775074
148,-19.381931
149,-46.60507
150,-58.384163
151,-24.701445
152,13.538105
153,19.02536
154,-6.171857
155,-34.10791
156,-57.454895
157,-72.46236
158,-71.04516
159,-60.66337
160,-27.32032
161,23.084488
162,-0.1162948
163,-7.5263376
164,7.991843
165,-26.621063
166,-63.079666
167,-20.860426
168,-16.85349
169,-38.02372
170,-26.980846
171,4.496881
172,-23.080193
173,-27.357664
174,-47.600746
175,-64.024994
176,-84.28321
177,-72.89256
178,-19.24567
179,-33.60591
180,-54.57627
181,-48.667038
182,-71.421295
183,-49.75322
184,-38.539185
185,-49.402016
186,-39.501015
187,-12.741307
188,7.358853
189,27.332226
190,28.016087
191,20.074085
192,21.151005
193,24.344479
194,28.014694
195,29.329765
196,19.663837
197,25.627544
198,32.218227
199,29.91822
200,24.531536
201,26.012346
202,22.757214
203,21.864689
204,35.476665
205,54.779934
206,76.087555
207,79.65944
208,69.13004
209,61.95623
210,64.91673
211,112.81905
212,101.1404
213,76.3477
214,85.61706
215,70.998634
216,65.46643
217,65.12827
218,64.58418
219,76.545555
220,128.81367
221,141.49144
222,120.377426
223,96.64926
224,81.83253
225,61.641647
226,42.46245
227,33.797295
228,56.912064
229,62.960133
230,69.932144
231,83.18333
232,95.20582
233,76.18434
234,77.05945
235,41.08078
236,30.218975
237,25.321152
238,36.386307
239,30.519798
240,38.972397
241,37.08899
242,35.135555
243,28.821556
244,25.539183
245,20.100283
246,29.819426
247,25.625965
248,20.11824
249,59.340473
250,92.739426
251,112.15807
252,105.5356
253,99.35275
254,96.82448
255,72.170456
256,41.700916
257,43.78559
258,40.262066
259,44.77285
260,42.540184
261,35.57181
262,36.268997
263,24.484121
264,26.972126
265,33.37322
266,34.88343
267,29.304577
268,21.574905
269,13.953737
270,11.919512
271,28.510826
272,-7.4699764
273,-30.051422
274,-30.145283
275,-28.960844
276,-36.368523
277,-60.158
278,-65.64356
279,-79.894585
280,-85.16558
281,-46.602425
282,-22.68394
283,1.8559253
284,-3.4307106
285,-31.669752
286,-53.943615
287,-61.722603
288,-60.779083
289,-42.636284
290,-8.3223505
291,-5.403079
292,-16.227215
293,-10.885155
294,6.1797924
295,8.182148
296,-6.19763
297,-11.854501
298,-13.208321
299,-19.849272
300,-48.134533
301,-47.5885
302,-43.416855
303,-46.92188
304,-54.64757
305,-65.81889
306,-64.985634
307,-70.31317
308,-73.46451
309,-71.28337
310,-62.07835
311,-54.610954
312,-34.12314
313,-26.665659
314,-41.310623
315,-30.14154
316,3.4868994
317,17.086649
318,26.834404
319,27.067974
320,23.613552
321,25.930168
322,27.696617
323,30.02369
324,45.684105
325,51.49624
326,52.544796
327,50.386078
328,47.114677
329,39.560654
330,23.583858
331,20.631882
332,19.009958
333,20.944172
334,25.065304
335,16.938906
336,17.495495
337,15.06699
338,5.8437414
339,15.238411
340,15.788662
341,22.295918
342,12.330176
343,12.0790205
344,52.341797
345,73.47417
346,74.001495
347,65.8508
348,66.8051
349,52.334084
350,40.008366
351,45.786198
352,74.07251
353,82.62676
354,86.202354
355,70.88274
356,47.641598
357,11.944445
358,-10.598482
359,-4.606649
360,0.92074335
361,8.379833
362,11.517323
363,-0.5920797
364,-4.2889657
365,3.8187723
366,27.775301
367,37.416443
368,39.92248
369,6.1726236
370,-20.982792
371,-26.396637
372,-10.800242
373,20.07832
374,-3.6129682
375,-10.405331
376,-9.324322
377,-15.148125
378,-16.956015
379,-19.10469
380,28.407692
381,26.458378
382,18.460361
383,11.255092
384,15.13505
385,0.95466447
386,-1.7617389
387,-6.7481546
388,-5.8042054
389,3.0285554
390,36.87234
391,54.231117
392,51.86711
393,54.096024
394,61.19448
395,57.41989
396,43.789886
397,25.126133
398,19.709967
399,17.430944
400,23.961124
401,23.768353
402,13.472673
403,16.63188
404,16.338964
405,14.743927
406,6.831991
407,1.2967212
408,2.4500399
409,4.9457183
410,3.0710635
411,-20.127083
412,-15.284722
413,-4.3327174
414,2.2978
415,17.303423
416,12.572281
417,6.9531803
418,-2.9624734
419,-23.380009
420,-28.69382
421,-23.223314
422,-22.222565
423,-28.834486
424,-22.362862
425,-8.595506
426,9.461838
427,24.045254
428,25.19028
429,6.3580313
430,-1.9822615
431,1.2774342
432,8.042756
433,8.136709
434,-0.9522555
435,-4.72606
436,11.040373
437,22.106571
438,18.033367
439,11.289652
440,24.03688
441,16.66503
442,23.138172
443,20.30658
444,12.658169
445,12.9333515
446,25.626812
447,-1.8726727
448,-10.898056
449,-3.0716448
450,7.7742524
451,8.106779
452,4.93128
453,-4.205576
454,-9.87749
455,-7.269704
456,2.1292663
457,10.922619
458,12.31389
459,21.178707
460,29.54876
461,36.18662
462,38.56331
463,35.887405
464,22.968687
465,17.791586
466,15.958609
467,18.353794
468,17.71236
469,8.395977
470,11.260661
471,13.0869255
472,17.649069
473,13.979897
474,5.8887134
475,-11.990784
476,-20.286636
477,-27.659647
478,-11.783725
479,-6.8312445
480,10.299007
481,-1.5799824
482,4.1539307
483,-8.153949
484,-24.36848
485,-30.03001
486,-11.6845665
487,7.427833
488,8.111849
489,7.836935
490,-1.3493094
491,-9.0534725
492,-17.724018
493,-20.303383
494,-17.949593
495,-8.270021
496,-0.22910243
497,-0.66662216
498,-3.1847444
499,-4.7292995
500,12.321226
501,18.896973
502,2.9784184
503,6.3967247
504,3.858346
505,16.413746
506,31.863125
507,32.599148
508,26.49312
509,21.173712
510,25.701813
511,28.592327
512,26.790745
513,18.546352
514,15.881536
515,14.44108
516,14.587889
517,15.302664
518,16.419168
519,23.67212
520,22.783157
521,17.989136
522,6.954591
523,2.1740313
524,9.900152
525,8.2421665
526,6.998055
527,9.113159
528,12.266638
529,16.989794
530,19.480927
531,15.061519
532,11.037621
533,10.493383
534,8.519247
535,7.759659
536,4.486389
537,4.8240166
538,9.59692
539,4.943376
540,0.57808053
541,-7.6289515
542,-25.783665
543,-29.198257
544,-27.062445
