,0
0,-549.4479
1,-537.0619
2,-549.13293
3,-418.52856
4,-269.27087
5,-196.31364
6,-163.22856
7,-164.58092
8,-200.50072
9,-242.73209
10,-316.16547
11,-327.71854
12,-320.54932
13,-331.83267
14,-347.44165
15,-268.03894
16,-203.20535
17,-201.76234
18,-232.36522
19,-275.0272
20,-279.16858
21,-235.5894
22,-244.45985
23,-325.22534
24,-386.98694
25,-390.36105
26,-385.3163
27,-307.85287
28,-248.46698
29,-230.88844
30,-216.13309
31,-233.14148
32,-300.71268
33,-269.96432
34,-184.07027
35,-158.7201
36,-155.9259
37,-161.42625
38,-209.44016
39,-296.5595
40,-408.4922
41,-448.56793
42,-493.88016
43,-486.1997
44,-450.5047
45,-425.0444
46,-414.82956
47,-417.97235
48,-236.15532
49,-138.13173
50,-101.68895
51,-106.066055
52,-139.61073
53,-164.15672
54,-182.65086
55,-288.13193
56,-371.3961
57,-247.1545
58,-195.76357
59,-152.18611
60,-133.97237
61,-191.80492
62,-298.07855
63,-214.16898
64,-187.38974
65,-216.4965
66,-205.20442
67,-183.16623
68,-213.21835
69,-210.82567
70,-172.88449
71,-185.91954
72,-190.04332
73,-164.99107
74,-168.23872
75,-225.86674
76,-381.3085
77,-344.7549
78,-194.4384
79,-126.151276
80,-107.66214
81,-108.13575
82,-112.8739
83,-125.05688
84,-144.88867
85,-190.15324
86,-259.22644
87,-336.12613
88,-425.5412
89,-463.30487
90,-486.7626
91,-509.79315
92,-526.67896
93,-548.3764
94,-559.50305
95,-560.65247
96,-560.92175
97,16.527826
98,32.08372
99,17.494007
100,69.70356
101,102.788864
102,115.254814
103,122.202446
104,108.48222
105,80.75607
106,90.16522
107,112.454025
108,114.57076
109,80.788635
110,31.440815
111,-21.283142
112,19.402859
113,58.85413
114,68.055725
115,29.510498
116,11.2410755
117,12.413782
118,71.66257
119,109.19113
120,112.4872
121,114.98625
122,115.50311
123,102.32762
124,82.68028
125,64.2081
126,40.78341
127,26.585716
128,7.6841726
129,-8.283817
130,82.662865
131,120.30605
132,146.50769
133,143.94855
134,150.20203
135,171.37143
136,160.64862
137,131.55466
138,120.5661
139,83.66695
140,91.78643
141,119.38156
142,126.77182
143,134.35732
144,93.68912
145,136.63907
146,136.70721
147,125.372986
148,109.47345
149,96.17742
150,103.177345
151,126.55501
152,128.53539
153,69.04312
154,98.07898
155,117.92412
156,139.21272
157,120.00253
158,81.259346
159,4.4061117
160,67.50413
161,100.03485
162,96.40858
163,93.26052
164,128.56732
165,135.3337
166,139.20233
167,137.47006
168,109.607376
169,96.28562
170,118.48392
171,145.26352
172,142.01881
173,92.93807
174,30.923061
175,91.53096
176,112.917625
177,119.581436
178,117.93175
179,126.653366
180,141.86545
181,149.32135
182,141.96838
183,134.76038
184,118.740204
185,99.28984
186,94.82639
187,80.133766
188,68.12537
189,46.419228
190,17.937363
191,4.0434027
192,2.4206965
193,2.039762
194,12.74124
195,24.158035
196,14.136328
197,-26.387928
198,-65.37305
199,-85.13106
200,-100.15202
201,-107.51172
202,-101.99803
203,-83.01404
204,-43.98859
205,-12.442421
206,18.698242
207,24.995346
208,1.8126014
209,-8.318644
210,-52.14181
211,-85.64688
212,-95.71979
213,-71.14073
214,-65.72865
215,-63.684113
216,-50.458954
217,-13.621281
218,16.90524
219,8.131431
220,-18.48399
221,-29.414642
222,-40.6128
223,-65.68713
224,-81.211
225,-83.5875
226,-65.218
227,-36.359283
228,-54.390022
229,-64.94145
230,-81.90909
231,-92.29911
232,-83.520164
233,-48.194595
234,15.89366
235,50.584045
236,56.62972
237,59.073586
238,52.19361
239,37.447964
240,40.94709
241,41.80008
242,-45.469093
243,-100.97206
244,-129.98125
245,-143.87321
246,-133.10686
247,-104.477325
248,-85.57591
249,-48.406708
250,-11.999652
251,-64.923355
252,-92.741905
253,-97.39444
254,-69.74896
255,-29.482246
256,-20.11155
257,-42.912727
258,-62.76561
259,-77.44089
260,-99.97489
261,-86.54499
262,-65.09403
263,-64.246735
264,-93.69928
265,-122.16136
266,-136.55383
267,-139.7147
268,-106.292
269,-66.65381
270,-0.25157806
271,-19.081799
272,-72.61017
273,-119.58369
274,-149.9745
275,-160.83696
276,-155.26239
277,-134.21439
278,-114.08282
279,-97.30063
280,-76.5099
281,-41.04304
282,12.773409
283,34.33641
284,41.2482
285,53.107372
286,38.146873
287,15.041249
288,4.0343843
289,2.4199722
290,2.0389957
291,8.527122
292,15.6695175
293,9.448662
294,39.244522
295,49.330193
296,54.426445
297,55.93579
298,67.48949
299,82.62225
300,64.66443
301,21.994442
302,20.533298
303,40.199364
304,61.48783
305,69.329056
306,76.245224
307,77.65961
308,81.32539
309,92.32387
310,98.816956
311,91.6868
312,70.39783
313,43.876377
314,19.42344
315,20.801125
316,17.815222
317,4.453354
318,31.316578
319,58.607433
320,64.445694
321,60.53441
322,54.81024
323,57.129017
324,31.32164
325,33.477974
326,34.25535
327,25.727318
328,17.417496
329,0.65465057
330,-4.550721
331,5.5371833
332,19.612602
333,36.10589
334,34.46048
335,22.317257
336,28.040337
337,33.4032
338,52.587154
339,30.202206
340,38.16607
341,29.319199
342,11.233902
343,10.358367
344,31.011616
345,27.697048
346,13.695919
347,22.903027
348,1.4581578
349,-0.8487257
350,-0.45987335
351,14.112598
352,32.587868
353,76.223145
354,41.12412
355,27.678524
356,14.857943
357,-0.5780525
358,-4.7450414
359,-6.952916
360,-6.682624
361,-11.232811
362,-22.099064
363,-16.298298
364,-11.051983
365,6.9581866
366,9.319524
367,5.3565326
368,24.244347
369,0.08543427
370,3.034286
371,-7.9340096
372,-29.373589
373,-39.11879
374,-31.290623
375,-4.9364614
376,28.216831
377,48.035038
378,57.222248
379,45.163406
380,28.612642
381,32.964333
382,36.752335
383,31.299965
384,14.537559
385,4.0193877
386,2.418768
387,2.0377178
388,3.6271825
389,6.0101757
390,4.5405517
391,16.416935
392,5.1226826
393,-0.012757629
394,-8.663082
395,-18.88609
396,-15.231495
397,-13.7855015
398,-12.014397
399,-4.8700285
400,-19.03804
401,-27.55809
402,-23.131853
403,-33.375957
404,-20.947657
405,-18.212196
406,-28.720098
407,-40.204063
408,-49.097298
409,-41.3432
410,-31.804758
411,-27.634819
412,-15.817264
413,-16.894821
414,-20.837881
415,-40.314556
416,-49.58145
417,-38.007637
418,-42.423748
419,-55.72177
420,-53.653587
421,-43.152626
422,-52.589695
423,-53.919617
424,-50.076874
425,-32.481625
426,-4.2413397
427,13.004473
428,23.620712
429,17.33592
430,25.404388
431,23.059336
432,20.465038
433,31.618309
434,32.880196
435,18.936161
436,-3.8336606
437,-18.802095
438,-40.821198
439,-66.71306
440,-75.89617
441,-61.16077
442,-42.111973
443,-22.374979
444,-18.922419
445,-41.11875
446,-42.49948
447,-46.108696
448,-52.088203
449,-62.964317
450,-41.81753
451,-62.425518
452,-57.151184
453,-62.926125
454,-69.66597
455,-62.277443
456,-50.120525
457,-58.108585
458,-63.530228
459,-67.0215
460,-56.011536
461,-46.820656
462,-23.1772
463,-9.265279
464,-8.683966
465,-29.676552
466,-51.79274
467,-64.01565
468,-73.52362
469,-80.597374
470,-75.93475
471,-58.175823
472,-40.065983
473,-13.785816
474,16.951702
475,30.73697
476,30.963154
477,27.442629
478,29.037483
479,24.208559
480,25.543179
481,15.06366
482,3.9984558
483,2.417081
484,2.035931
485,-1.2750721
486,-3.6904507
487,0.53096175
488,-42.68302
489,-38.485085
490,-38.884468
491,-49.43287
492,-55.486584
493,-46.864914
494,-42.555073
495,-23.955105
496,-5.9667964
497,15.3184595
498,33.30332
499,59.258118
500,42.418602
501,12.803017
502,-14.650121
503,-18.822527
504,-18.758734
505,-12.173281
