,0
0,-530.805
1,-517.55536
2,-493.77356
3,-477.7858
4,-386.37894
5,-245.62103
6,-185.9555
7,-177.35298
8,-198.15547
9,-217.88802
10,-251.39108
11,-266.7474
12,-221.77692
13,-199.79677
14,-232.90105
15,-276.72592
16,-299.70825
17,-287.6347
18,-211.48323
19,-171.15642
20,-176.78241
21,-196.86899
22,-259.52338
23,-270.1383
24,-197.71602
25,-171.74612
26,-160.15639
27,-155.3087
28,-179.64198
29,-203.36098
30,-202.15489
31,-202.92426
32,-187.40202
33,-187.06346
34,-191.13031
35,-220.38637
36,-341.5035
37,-399.19803
38,-364.2008
39,-232.31177
40,-170.08261
41,-151.92804
42,-190.9685
43,-264.61517
44,-287.31586
45,-275.63004
46,-323.81244
47,-465.41446
48,-407.48422
49,-354.4738
50,-351.73035
51,-364.47134
52,-370.96692
53,-345.50604
54,-375.6002
55,-453.4464
56,-394.42773
57,-396.4643
58,-471.1073
59,-516.8968
60,-515.95154
61,-494.85217
62,-501.9731
63,-516.3077
64,-520.7882
65,-523.09753
66,-520.5204
67,-524.2563
68,-523.3613
69,-523.2072
70,-525.88776
71,-526.1455
72,-521.73285
73,-390.349
74,-295.8067
75,-287.3197
76,-237.84738
77,-181.10925
78,-187.5038
79,-208.73396
80,-162.71588
81,-141.68459
82,-83.753296
83,-67.22147
84,-86.61285
85,-122.16355
86,-141.4189
87,-168.10474
88,-200.59015
89,-139.17377
90,-100.858406
91,-111.49896
92,-153.1704
93,-163.30574
94,-167.37099
95,-177.62767
96,-220.87822
97,-271.81668
98,-305.9018
99,-286.80466
100,-181.70749
101,-124.80614
102,-110.01176
103,-128.72511
104,-164.8733
105,-134.42192
106,-98.38915
107,-98.96104
108,-107.291435
109,-112.19198
110,-127.11483
111,-192.8449
112,-330.23544
113,-214.77596
114,-160.6839
115,-171.76279
116,-187.85219
117,-196.52571
118,-224.42606
119,-247.41556
120,-285.68378
121,-348.53067
122,-385.80185
123,-358.1908
124,-319.66602
125,-359.50552
126,-426.86807
127,-455.80756
128,-458.9085
129,-463.21286
130,-493.29712
131,-514.4845
132,17.500713
133,28.285736
134,56.919823
135,74.908844
136,74.75694
137,115.32695
138,152.09918
139,166.61566
