,0
0,-487.75882
1,-492.26602
2,-497.2007
3,-443.6495
4,-391.28027
5,-355.25174
6,-283.1797
7,-219.69753
8,-145.74785
9,-100.40063
10,-96.56347
11,-116.62113
12,-137.57918
13,-134.34067
14,-154.41518
15,-212.16695
16,-292.31583
17,-289.27832
18,-228.62479
19,-202.26764
20,-176.03163
21,-192.69423
22,-201.80786
23,-139.17935
24,-106.970985
25,-104.446884
26,-90.6
27,-100.57075
28,-161.39093
29,-184.5318
30,-178.94754
31,-205.0884
32,-255.38777
33,-279.10236
34,-264.07388
35,-253.72285
36,-275.99304
37,-263.50378
38,-246.11821
39,-260.2721
40,-316.0773
41,-200.76392
42,-142.93654
43,-133.14218
44,-152.35823
45,-261.8544
46,-212.40431
47,-136.3118
48,-127.489716
49,-131.67166
50,-123.26124
51,-130.84055
52,-129.99774
53,-142.6495
54,-208.28131
55,-278.9643
56,-253.60852
57,-217.14238
58,-213.4146
59,-212.73631
60,-149.63112
61,-103.711945
62,-96.4488
63,-103.47233
64,-153.56581
65,-208.15857
66,-177.84384
67,-197.12396
68,-198.21945
69,-126.91887
70,-117.60861
71,-141.89569
72,-157.12485
73,-205.87666
74,-192.17189
75,-160.35779
76,-139.40637
77,-141.56346
78,-167.27534
79,-203.73862
80,-213.52924
81,-187.35176
82,-198.52791
83,-132.20175
84,-87.73498
85,-88.48951
86,-100.06056
87,-135.8091
88,-183.8891
89,-169.56445
90,-157.12582
91,-173.0963
92,-222.35313
93,-280.3291
94,-279.55753
95,-176.07709
96,-121.01209
97,-131.6007
98,-171.65524
99,-221.43095
100,-270.6624
101,-307.57928
102,-357.22253
103,-420.27692
104,-478.48444
105,-523.37134
106,-524.1542
107,-520.95135
108,56.501152
109,52.11168
110,43.07544
111,10.459669
112,-22.337202
113,-54.480904
114,-41.18641
115,-11.292171
116,69.38505
117,137.95566
118,161.36972
119,162.03583
120,156.1738
121,173.35951
122,181.62622
123,176.75067
124,142.61053
125,119.15596
126,84.39543
127,49.648197
128,35.39126
129,45.982674
130,94.24379
131,128.63858
132,150.91098
133,161.35207
134,182.39523
135,196.11205
136,176.22629
137,151.82361
138,159.55441
139,162.32234
140,147.45074
141,144.7544
142,172.23291
143,170.29773
144,151.88657
145,141.787
146,121.47194
147,109.70065
148,95.81969
149,104.676346
150,132.99402
151,148.69601
152,143.53912
153,101.50665
154,43.435966
155,82.1263
156,95.7038
157,107.04256
158,143.89165
159,167.93335
160,177.35239
161,177.79126
162,160.34677
163,146.58762
164,165.9021
165,183.1799
166,194.11264
167,127.4014
168,108.189285
169,133.41173
170,146.51755
171,150.17459
172,107.35547
173,-10.236326
174,-20.59299
175,3.4331377
176,73.12634
177,105.77165
178,118.37543
179,117.80893
180,126.77225
181,129.52989
182,71.94951
183,27.130356
184,29.649914
185,55.014755
186,84.49319
187,81.923546
188,73.47896
189,93.27517
190,95.67844
191,124.9086
192,149.03893
193,163.60759
194,176.55215
195,168.27582
196,152.9324
197,176.52966
198,177.59586
199,161.79391
200,146.45644
201,135.61044
202,113.66516
203,95.8077
204,135.02237
205,157.18646
206,151.43301
207,138.06807
208,118.21493
209,107.23516
210,103.29506
211,93.01713
212,56.392826
213,14.733208
214,14.091311
215,17.879446
216,37.506737
217,35.62957
218,29.143782
219,11.612236
220,-0.5245999
221,-3.201896
222,2.260856
223,-11.75794
224,-27.081928
225,-55.699356
226,-63.879314
227,-61.975708
228,-62.37422
229,-52.472115
230,-46.673004
231,-24.215897
232,12.832618
233,2.9519238
234,12.163633
235,15.383068
236,-14.8412895
237,-24.112919
238,-61.514427
239,-57.833195
240,-67.57442
241,-96.28134
242,-99.057495
243,-85.71393
244,-47.742004
245,-21.79776
246,-9.865751
247,11.223293
248,21.76997
249,34.6786
250,42.134422
251,27.149702
252,31.047693
253,34.52234
254,8.641818
255,-10.949854
256,-27.729214
257,-62.19179
258,-52.422417
259,-40.608818
260,-24.847712
261,2.970415
262,-48.95936
263,-48.587296
264,-44.54837
265,-40.892143
266,-59.161324
267,-83.04092
268,-88.75459
269,-64.325
270,-26.028883
271,29.43127
272,16.818962
273,-7.709155
274,-5.4863153
275,-10.352234
276,-45.21868
277,-72.79703
278,-83.44498
279,-62.469173
280,-11.833385
281,-13.690925
282,-35.128647
283,-25.656366
284,-63.424698
285,-70.27338
286,-73.305214
287,-69.59128
288,-43.725998
289,-5.296319
290,29.06158
291,8.869595
292,-4.8286924
293,-20.914196
294,-26.632225
295,-18.3984
296,-25.33289
297,-27.585085
298,-18.579765
299,-28.88329
300,-55.410843
301,-73.80824
302,-54.273064
303,-20.718002
304,13.524644
305,16.227282
306,-17.71016
307,-28.493122
308,-13.527498
309,26.418825
310,10.755774
311,-25.568295
312,-17.291693
313,-17.323797
314,-24.787373
315,-33.711166
316,-44.591248
317,-41.51615
318,-27.09956
319,-3.3370876
320,12.867503
321,13.192539
322,13.557625
323,15.695167
324,23.224564
325,20.56805
326,20.924091
327,41.40531
328,55.512123
329,65.43699
330,97.160255
331,123.81691
332,121.68259
333,94.47438
334,74.70004
335,54.992092
336,40.3144
337,26.596466
338,19.714634
339,25.54646
340,34.227142
341,46.083954
342,64.54286
343,84.83475
344,81.08638
345,66.893486
346,38.06183
347,50.79787
348,38.88231
349,14.096664
350,10.862545
351,21.575232
352,32.18992
353,46.549225
354,43.26291
355,42.748154
356,38.043648
357,40.162216
358,41.45459
359,45.670334
360,47.79203
361,46.42446
362,32.85376
363,6.203066
364,-2.219789
365,39.152306
366,58.53357
367,67.08688
368,66.22278
369,71.124954
370,59.98652
371,56.222477
372,52.47616
373,50.199535
374,27.877705
375,16.62523
376,16.66116
377,31.990177
378,35.26909
379,38.471004
380,27.07639
381,15.439459
382,18.886772
383,70.00846
384,98.09399
385,81.08609
386,64.469284
387,68.543144
388,58.358727
389,71.34823
390,76.102005
391,77.401306
392,75.2111
393,84.322235
394,96.41504
395,106.66762
396,90.18779
397,69.01323
398,77.148415
399,93.8322
400,104.88606
401,116.966354
402,119.20554
403,107.245636
404,92.45836
405,98.43094
406,109.435165
407,92.872955
408,72.39932
409,35.655655
410,26.146484
411,35.525932
412,42.660778
413,38.80229
414,26.340256
415,28.54053
416,37.577545
417,58.330063
418,63.899952
