,0
0,-552.68274
1,-513.5405
2,-443.9517
3,-336.88882
4,-186.55374
5,-128.33136
6,-146.02164
7,-223.47983
8,-302.97842
9,-281.72827
10,-229.31076
11,-212.93564
12,-231.65947
13,-279.9732
14,-242.0224
15,-238.80064
16,-170.15918
17,-126.108376
18,-124.91239
19,-147.05179
20,-195.335
21,-222.21538
22,-233.27881
23,-284.2335
24,-283.09058
25,-219.81448
26,-208.66078
27,-212.42624
28,-158.04897
29,-143.38705
30,-185.30028
31,-254.16086
32,-319.07632
33,-363.71088
34,-431.26724
35,-472.97726
36,-380.68515
37,-324.99393
38,-324.80957
39,-355.61865
40,-369.22397
41,-237.3379
42,-170.99156
43,-174.06769
44,-237.23773
45,-261.38596
46,-238.46864
47,-251.61359
48,-271.77542
49,-267.52927
50,-199.70676
51,-154.4549
52,-141.86581
53,-158.40393
54,-241.82758
55,-303.88092
56,-285.6721
57,-334.12997
58,-421.14288
59,-334.86084
60,-260.01193
61,-201.7243
62,-197.84491
63,-250.6589
64,-301.562
65,-236.51312
66,-207.36421
67,-210.16019
68,-244.56352
69,-195.17511
70,-154.63474
71,-171.62236
72,-213.91754
73,-232.98892
74,-222.30264
75,-196.35065
76,-187.12215
77,-178.32172
78,-185.57915
79,-195.16771
80,-199.29744
81,-220.83107
82,-251.07895
83,-238.17744
84,-243.31097
85,-322.16202
86,-288.1211
87,-238.57469
88,-224.3903
89,-219.72357
90,-248.66296
91,-263.65405
92,-213.2739
93,-194.54073
94,-182.65065
95,-176.24814
96,-183.01886
97,-208.18701
98,-238.4882
99,-251.32632
100,-248.50517
101,-263.1438
102,-261.71252
103,-237.96053
104,-251.43004
105,-220.6605
106,-241.74953
107,-276.91293
108,-242.56451
109,-231.87517
110,-218.25243
111,-207.0302
112,-205.38873
113,-262.8683
114,-304.00983
115,-174.38274
116,-125.37706
117,-152.30574
118,-220.62929
119,-189.43573
120,-145.09518
121,-170.14967
122,-283.17258
123,-379.30032
124,-357.61108
125,-310.6619
126,-297.88464
127,-287.987
128,-303.2823
129,-328.18002
130,-365.47162
131,-468.66144
132,-391.48053
133,-294.08774
134,-257.64966
135,-279.6306
136,-356.0117
137,-315.5895
138,-284.31796
139,-281.81018
140,-297.77283
141,-355.40152
142,-389.02664
143,-381.03033
144,-337.93347
145,-373.12476
146,-457.83127
147,-310.18927
148,-286.0671
149,-322.50314
150,-355.33832
151,-441.3609
152,-507.06763
153,-543.8017
154,-556.25824
155,-559.941
156,46.56451
157,82.08569
158,108.218506
159,134.63287
160,186.90318
161,195.89127
162,190.38504
163,186.58997
164,181.16841
165,163.6582
166,161.57253
167,164.77322
168,178.03006
169,179.47968
170,147.93623
171,133.95694
172,187.06741
173,211.14064
174,213.61902
175,198.44553
176,151.2169
177,119.85339
178,158.63577
179,183.24542
180,195.0531
181,189.04095
182,170.02066
183,165.63324
184,178.95406
185,177.83337
186,171.9425
187,181.35245
188,192.00513
189,170.93634
190,127.235756
191,117.02056
192,185.75388
193,201.7027
194,195.21277
195,193.60686
196,157.76718
197,143.36192
198,149.52179
199,152.64832
200,161.43639
201,153.78922
202,145.00073
203,122.18729
204,82.15753
205,69.307655
206,117.31019
207,152.45375
208,167.87646
209,166.37917
210,137.27681
211,29.658947
212,-20.617855
213,-50.319923
214,-49.343727
215,69.94562
216,112.69745
217,165.51808
218,193.57674
219,194.9128
220,204.65887
221,220.32205
222,220.53464
223,220.21541
224,219.83806
225,210.59845
226,210.4291
227,206.5159
228,163.45708
229,113.94471
230,134.98672
231,198.93607
232,233.89111
233,239.3988
234,236.443
235,225.01152
236,182.38023
237,120.73208
238,63.337166
239,70.066864
240,110.204544
241,146.39551
242,177.44012
243,188.45514
244,186.05603
245,135.23587
246,61.940002
247,29.069725
248,99.65938
249,181.45807
250,210.35562
251,196.59027
252,194.65204
253,203.86476
254,200.21219
255,205.78781
256,215.8302
257,223.26602
258,218.15222
259,215.74925
260,206.82394
261,197.77988
262,198.2847
263,156.58145
264,136.78427
265,166.62953
266,198.13748
267,209.25323
268,228.07639
269,231.63434
270,223.82996
271,236.04462
272,230.6394
273,216.14151
274,202.6884
275,183.97427
276,194.8761
277,212.8678
278,200.33029
279,190.73904
280,190.84338
281,170.4613
282,159.15106
283,99.82909
284,43.91324
285,1.5429424
286,-3.1674056
287,11.129342
288,142.34648
289,174.13544
290,151.74777
291,107.36546
292,49.60853
293,93.22983
294,156.06139
295,190.27527
296,196.45927
297,181.98914
298,137.14444
299,83.31085
300,82.613754
301,68.90028
302,59.961426
303,63.752316
304,47.65737
305,33.94072
306,66.70616
307,86.84938
308,72.12325
309,56.65081
310,46.799885
311,43.991325
312,22.264725
313,24.966434
314,13.74727
315,-27.342773
316,-76.91515
317,-90.344246
318,-80.541275
319,-28.766953
320,20.510298
321,-12.630812
322,-44.606792
323,-53.282303
324,-40.793213
325,-12.49343
326,-22.305275
327,-15.333534
328,-29.76084
329,-53.896255
330,-61.710773
331,-38.481476
332,-13.166229
333,-31.485344
334,-7.257408
335,13.419536
336,1.0192275
337,-42.07955
338,-52.172203
339,-55.9252
340,-80.30141
