,0
0,-509.03592
1,-498.59213
2,-505.12595
3,-402.27725
4,-241.61606
5,-187.31279
6,-199.33598
7,-229.68178
8,-234.19603
9,-235.05344
10,-236.56438
11,-233.15724
12,-224.78421
13,-229.2338
14,-229.75658
15,-229.10886
16,-206.30066
17,-159.86836
18,-150.57347
19,-159.63365
20,-156.29422
21,-189.1819
22,-233.90402
23,-205.95207
24,-164.07018
25,-114.908165
26,-110.35481
27,-181.99506
28,-229.76758
29,-136.48775
30,-102.70042
31,-145.9358
32,-222.92572
33,-263.4588
34,-206.65906
35,-144.49712
36,-101.60825
37,-94.38926
38,-109.35164
39,-119.94677
40,-178.90852
41,-278.56818
42,-242.7703
43,-209.68495
44,-126.300735
45,-90.403824
46,-103.14755
47,-139.74281
48,-190.33746
49,-229.70912
50,-262.92642
51,-315.57327
52,-278.447
53,-268.63354
54,-297.80338
55,-320.07346
56,-352.85236
57,-410.93692
58,-475.10168
59,-504.51752
60,-490.5054
61,-454.16827
62,-434.6681
63,-432.92715
64,-436.61996
65,-447.23282
66,-457.0612
67,-463.80914
68,-472.2925
69,-465.1561
70,-469.33142
71,-485.80905
72,-493.29388
73,-493.38443
74,-491.1712
75,-490.92468
76,-493.08984
77,-489.86765
78,-491.53635
79,-494.99948
80,-495.76556
81,-480.0912
82,-320.34613
83,-179.2197
84,-137.37737
85,-127.19422
86,-150.30162
87,-181.27643
88,-153.69043
89,-144.27924
90,-107.04664
91,-74.388535
92,-110.40596
93,-144.40495
94,-98.41139
95,-90.63787
96,-127.14756
97,-174.02913
98,-207.88602
99,-257.5432
100,-196.56273
101,-146.09258
102,-117.239555
103,-106.20505
104,-115.119316
105,-131.60579
106,-153.32161
107,-190.03537
108,-240.50893
109,-233.27222
110,-225.6186
111,-220.95932
112,-190.49518
113,-184.82428
114,-209.8198
115,-238.5472
116,-265.31183
117,-311.1644
118,-355.0162
119,-362.68042
120,-315.95135
121,-319.32114
122,-395.30148
123,-415.14142
124,-437.4803
125,-485.30087
126,-508.4456
127,43.885162
128,38.96151
129,31.94973
130,28.794476
131,46.162033
132,67.33806
133,79.35694
134,79.036644
135,79.22712
136,79.50581
137,87.91228
138,100.71913
139,115.39016
140,113.159645
141,89.591995
142,57.834206
143,61.38363
144,100.299774
145,133.3394
146,142.39374
147,137.28604
148,129.69682
149,87.18535
150,97.58252
151,175.86653
152,171.7403
153,116.65071
154,35.73752
155,49.13112
156,119.43897
157,153.77588
158,186.10074
159,181.35187
160,143.67996
161,100.34738
162,121.823944
163,156.42972
164,158.01996
165,137.84052
166,131.07806
167,114.29417
168,38.249283
169,-11.151634
170,-38.498665
171,28.321087
172,93.36601
173,156.36688
174,185.31042
175,167.36105
176,147.57422
177,143.259
178,133.29146
179,124.50983
180,115.27057
181,104.985916
182,96.56389
183,96.98256
184,85.848
185,57.530396
186,34.182056
187,45.73165
188,66.17939
189,72.40358
190,70.30763
191,68.61731
192,62.13897
193,61.725407
194,57.790497
195,49.137405
196,56.84072
197,57.326958
198,52.83038
199,47.56845
200,47.12419
201,46.300316
202,47.094723
203,48.2433
204,48.388092
205,47.101646
206,42.47992
207,42.798477
208,55.547432
209,68.6646
210,155.14215
211,184.97296
212,194.58527
213,187.17278
214,137.27255
215,142.45581
216,159.31079
217,133.9201
218,101.82649
219,54.44645
220,-5.2421455
221,34.501568
222,81.9661
223,128.65273
224,160.12753
225,170.81616
226,177.28993
227,184.30591
228,162.73672
229,153.14868
230,154.09993
231,142.12897
232,129.92651
233,129.91333
234,137.8887
235,142.39383
236,120.9471
237,108.393234
238,91.56723
239,100.53258
240,120.65491
241,128.51358
242,123.24629
243,127.8365
244,123.84947
245,119.74329
246,114.44571
247,122.956436
248,118.58569
249,94.61185
250,69.02755
251,50.51831
252,37.583424
253,34.35856
254,23.726078
255,20.271605
256,18.19461
257,0.7871813
258,-17.666615
259,-21.553267
260,-29.030697
261,-29.821857
262,-23.533014
263,-20.292686
264,-23.082258
265,-31.181953
266,-24.074917
267,-16.821129
268,-21.960758
269,-34.14776
270,-22.894075
271,-14.390198
272,-20.560646
273,-23.345287
274,-10.144541
275,6.147195
276,-24.372149
277,-37.616913
278,-24.497135
279,-18.728561
