,0
0,-583.34174
1,-540.2586
2,-570.491
3,-449.44247
4,-271.9663
5,-176.83887
6,-117.96609
7,-95.18443
8,-90.41992
9,-96.355515
10,-142.06201
11,-165.31033
12,-141.69902
13,-120.39647
14,-123.816956
15,-110.173325
16,-123.967804
17,-193.36496
18,-342.3446
19,-548.18805
20,-476.2583
21,-409.8666
22,-383.94888
23,-337.15643
24,-267.35788
25,-250.94206
26,-272.50067
27,-266.76282
28,-252.8482
29,-266.46106
30,-276.16296
31,-354.81158
32,-507.60596
33,-362.0641
34,-193.30246
35,-133.83533
36,-130.49356
37,-150.65297
38,-199.74446
39,-289.2137
40,-407.76065
41,-334.90976
42,-243.46104
43,-208.62161
44,-193.01598
45,-220.1526
46,-294.85788
47,-247.0552
48,-251.4815
49,-258.09674
50,-192.21098
51,-154.04941
52,-128.12904
53,-132.17055
54,-172.66264
55,-222.35237
56,-250.79332
57,-258.47418
58,-284.25494
59,-289.9942
60,-271.08624
61,-270.64075
62,-322.7382
63,-349.87744
64,-289.06058
65,-209.41594
66,-181.77863
67,-204.80942
68,-249.0718
69,-276.86768
70,-323.4079
71,-397.69775
72,-474.1313
73,-520.841
74,-419.19186
75,-372.30786
76,-404.78607
77,-492.80414
78,-577.17114
79,-598.16
80,-594.1669
81,30.264133
82,44.161163
83,45.280422
84,88.020065
85,130.94687
86,145.96783
87,146.88583
88,132.94145
89,117.37736
90,132.1583
91,140.56891
92,139.71625
93,158.45502
94,169.7214
95,161.39948
96,163.01775
97,170.74109
98,176.97746
99,168.14488
100,77.30645
101,137.57321
102,172.4661
103,180.32663
104,163.07129
105,147.92874
106,141.18552
107,119.49654
108,111.944046
109,102.4039
110,87.47894
111,101.9709
112,112.10802
113,103.900246
114,100.432785
115,139.53078
116,154.76602
117,157.53171
118,166.58499
119,164.88144
120,123.68158
121,53.10163
122,82.72322
123,109.280975
124,127.90408
125,135.18503
126,148.69542
127,160.94043
128,165.26123
129,162.5902
130,141.22568
131,155.28616
132,169.40347
133,164.12898
134,165.04485
135,160.23247
136,145.97227
137,105.59221
138,55.21108
139,0.10126843
140,-38.124977
141,-7.9121
142,48.177593
143,89.735565
144,104.236885
145,128.70312
146,163.07654
147,175.14351
148,173.0053
149,165.75598
150,165.7774
151,166.82376
152,155.43167
153,133.27481
154,107.52313
155,95.07285
156,98.672714
157,91.45517
158,74.52774
159,36.283863
160,16.797636
161,20.213425
162,22.87642
163,28.26174
164,35.970783
165,14.453926
166,-35.960453
167,-76.164825
168,-114.293365
169,-134.37491
170,-140.28705
171,-118.228546
172,-91.36944
173,-81.75305
174,-76.19948
175,-67.137344
176,-71.45288
177,-94.93948
178,-100.82742
179,-64.86533
180,-12.323894
181,48.806557
182,50.93797
183,30.156677
184,17.900845
185,-29.417595
186,-72.76814
187,-79.9801
188,-60.399704
189,-60.786797
190,-71.30005
191,-67.4173
192,-55.29441
193,-26.549713
194,55.395836
195,-15.035412
196,-71.9854
197,-103.05032
198,-119.61636
199,-100.1801
200,-56.234177
201,-3.633113
202,20.372026
203,-13.58975
204,-49.340477
205,-72.61323
206,-82.52244
207,-70.533035
208,-38.227394
209,-43.259743
210,-53.39307
211,-93.27526
212,-115.47289
213,-136.58194
214,-148.00568
215,-131.25352
216,-101.21269
217,-74.11245
218,-52.038902
219,-34.140026
220,-49.577225
221,-99.26471
222,-93.73335
223,-63.89635
224,-42.84274
225,-33.30557
226,-51.17044
227,-89.28675
228,-100.29506
229,-93.638794
230,-78.94876
231,-56.959705
232,-36.111477
233,5.0727334
234,54.402077
235,68.53543
236,-40.471413
237,-54.63974
238,-41.664616
239,-17.414648
240,15.170965
241,11.892827
242,11.019927
243,24.49133
244,43.71108
245,33.65557
246,42.343864
247,79.53351
248,77.97525
249,55.266666
250,47.74566
251,48.19787
252,62.158432
253,67.97988
254,62.43647
255,49.078396
256,44.385555
257,37.114586
258,19.6689
259,3.4726474
260,2.119563
261,4.4387875
262,22.717457
263,12.468703
264,15.779678
265,16.632133
266,26.264153
267,49.507576
268,57.024765
269,66.87901
270,70.58897
271,75.181046
272,90.38119
273,92.110916
274,81.96194
275,59.780014
276,57.887383
277,47.575714
278,30.4816
279,12.809674
280,23.28137
281,34.126152
282,35.40191
283,61.520546
284,75.59039
285,90.230286
286,85.98898
287,81.20897
288,74.329926
289,49.718685
290,37.84389
291,23.187786
292,4.739328
293,7.5752687
294,0.80677867
295,8.438221
296,22.960804
297,38.634666
298,52.148384
299,72.25728
300,96.10808
301,104.06784
302,85.04564
303,79.32718
304,72.74286
305,49.159126
306,36.315254
307,39.656418
308,21.674294
309,15.445784
310,5.7710085
311,-3.8594358
312,8.680118
313,13.855497
314,19.243126
315,32.407314
316,40.502167
317,29.895948
318,42.343117
319,38.3573
320,7.7986712
321,8.518631
322,8.45867
323,5.5427217
324,19.388954
325,18.983448
326,23.844042
327,13.577816
328,22.68613
329,3.7345269
330,-24.917034
331,-39.991165
332,-45.57837
333,-40.486443
334,-27.174892
335,-19.606739
336,-42.01615
337,-49.97491
338,-50.237915
339,-67.65472
340,-74.28376
341,-58.322433
342,-26.36625
343,10.203751
344,3.6313624
345,8.017391
346,10.890543
347,23.214752
348,26.026867
349,16.636606
350,1.4180138
351,11.064119
352,10.926298
353,16.285685
354,19.228506
355,34.308533
356,43.035187
357,1.7459731
358,-29.122427
359,-47.269154
360,-69.85254
361,-75.28727
362,-68.846375
363,-62.552307
364,-23.447794
365,-8.002304
366,-4.651925
367,-3.219508
368,1.7084005
369,14.760202
370,6.999234
371,-41.771473
372,-53.975998
373,-55.05644
374,-42.362125
375,-39.472214
376,-45.36557
377,-42.055824
378,-31.144638
379,-16.419083
380,-20.79874
381,-36.875366
382,-45.034966
383,-49.194313
384,-33.53308
385,-14.709523
386,3.7993808
387,3.1185308
388,-4.9560328
389,-30.431198
390,-47.220932
391,-50.952377
392,-41.927795
393,-28.992449
394,-10.583915
395,5.0087233
396,8.964393
397,17.159605
398,18.626268
399,8.501221
400,10.814187
401,18.23022
402,14.223757
403,8.2736435
404,6.76523
405,9.987061
406,15.006422
407,14.266634
408,11.553033
409,-8.482229
410,-27.070972
411,-35.80846
412,-31.19889
413,-28.376953
414,-32.43863
415,-24.70486
416,-4.2896967
417,-7.9285593
418,4.9735413
419,23.11465
420,14.916174
421,-3.3567996
422,-12.323378
423,-19.222538
424,7.972428
425,9.564658
426,-3.269683
427,-15.2529545
428,-16.260983
429,-16.556452
430,-18.281944
431,-3.7962825
432,-1.7093719
433,-12.884121
434,-21.312788
435,-30.687408
436,-34.710274
437,0.042968184
438,9.008303
439,-6.656992
440,-12.998762
441,-21.08105
442,-26.852703
443,-26.964355
444,6.38217
445,41.440155
446,20.371046
447,1.181926
448,-23.107956
449,-28.298523
450,-25.223408
451,-20.453949
452,-24.100876
453,-30.58904
454,-20.713116
455,-11.548069
456,-16.735065
457,-24.938095
458,-36.621426
459,-43.732845
460,-39.176758
461,5.070018
462,39.131874
463,43.6746
464,26.27797
465,37.56658
466,42.92915
467,31.425762
468,24.834393
469,2.1250105
470,-21.301579
471,-28.13836
472,-21.148247
473,-4.656439
474,-11.022124
475,-23.18689
476,-30.711422
477,-22.383442
478,-5.7730217
479,-0.14989594
480,-0.33744228
481,-0.30049604
482,5.6933403
483,16.04232
484,9.863302
485,10.5135
486,5.0553603
487,2.5881233
