,0
0,-519.127
1,-494.9573
2,-499.0092
3,-509.72568
4,-472.99063
5,-420.47415
6,-353.09186
7,-305.31735
8,-303.71454
9,-295.64392
10,-270.70682
11,-271.2347
12,-280.9186
13,-276.3815
14,-238.29416
15,-234.68613
16,-244.34872
17,-262.93896
18,-318.12253
19,-341.68307
20,-264.76883
21,-229.15283
22,-221.77892
23,-222.16827
24,-259.52866
25,-344.357
26,-319.32565
27,-220.17447
28,-198.46014
29,-203.7342
30,-190.06876
31,-190.75342
32,-165.51842
33,-153.07777
34,-214.70578
35,-252.82333
36,-250.27452
37,-291.42847
38,-331.33896
39,-347.6879
40,-294.0253
41,-268.96948
42,-240.13232
43,-194.18207
44,-172.12439
45,-184.50331
46,-199.63358
47,-243.80103
48,-318.6602
49,-204.50238
50,-134.5411
51,-125.0098
52,-184.87169
53,-285.70483
54,-187.98111
55,-160.11977
56,-147.7668
57,-137.61487
58,-127.459915
59,-127.06006
60,-133.73262
61,-137.99268
62,-137.84372
63,-129.11444
64,-155.41464
65,-231.81216
66,-295.72995
67,-233.9895
68,-169.39594
69,-168.69203
70,-231.16461
71,-279.7311
72,-180.1984
73,-131.82556
74,-128.15334
75,-150.41385
76,-223.65402
77,-269.13797
78,-280.7636
79,-214.19518
80,-177.25116
81,-199.64162
82,-194.5124
83,-191.58064
84,-229.76373
85,-222.11963
86,-182.55354
87,-177.129
88,-216.14996
89,-198.49352
90,-202.65242
91,-199.50682
92,-143.17162
93,-82.62635
94,-75.67637
95,-95.74879
96,-104.54078
97,-121.62699
98,-139.20807
99,-158.20168
100,-163.94304
101,-151.36455
102,-183.66747
103,-232.10844
104,-278.1379
105,-312.53864
106,-163.56798
107,-113.70695
108,-131.48149
109,-149.84683
110,-158.48413
111,-183.48535
112,-249.389
113,-331.37842
114,-361.21658
115,-430.5161
116,-486.7184
117,-521.9488
118,-537.9127
119,-541.2041
120,21.671255
121,40.451694
122,42.065575
123,29.269583
124,-15.405908
125,-36.588684
126,-8.888409
127,27.766844
128,65.23892
129,101.09674
130,116.3607
131,116.1363
132,117.32939
133,127.800896
134,145.12756
135,134.40094
136,136.31801
137,150.13614
138,139.73749
139,125.23761
140,135.93207
141,127.15636
142,100.03776
143,48.91582
144,-9.60583
145,-63.00714
146,40.93064
147,111.96948
148,138.7847
149,159.15851
150,155.88974
151,146.1481
152,149.7236
153,159.27782
154,152.59259
155,145.14035
156,165.67902
157,177.91373
158,176.84518
159,161.97832
160,161.38737
161,163.75494
162,159.4568
163,158.60823
164,146.14792
165,132.84041
166,134.09846
167,116.59029
168,83.65018
169,98.20169
170,98.52189
171,95.72243
172,101.15802
173,62.00986
174,87.35283
175,116.78096
176,133.58392
177,131.74411
178,112.86229
179,108.99982
180,114.28319
181,95.72487
182,82.75142
183,82.34562
184,90.87831
185,100.131836
186,116.7384
187,107.123184
188,130.80495
189,138.45682
190,129.66684
191,110.23491
192,91.35051
193,88.00656
194,89.9458
195,97.28409
196,37.005714
197,-20.17994
198,0.5952648
199,61.571865
200,65.597
201,53.06776
202,56.005543
203,72.21876
204,96.075714
205,70.19901
206,48.25576
207,62.220825
208,89.48386
209,85.676895
210,57.86734
211,79.85634
212,125.001595
213,129.37732
214,110.629135
215,96.535965
216,101.259964
217,97.29616
218,97.41011
219,96.54538
220,102.51414
221,112.91466
222,117.347336
223,130.6336
224,137.40274
225,77.76933
226,120.31242
227,146.75952
228,149.8754
229,141.10349
230,145.95184
231,145.90424
232,139.66463
233,125.69681
234,98.63643
235,64.69006
236,50.92634
237,25.58978
238,11.616848
239,7.503076
240,-5.9701586
241,-7.72466
242,-0.17982629
243,4.4862204
244,18.569197
245,15.012428
246,19.864494
247,13.6326885
248,1.8354181
249,2.0272179
250,-5.7805033
251,-23.124378
252,-34.97084
253,-38.376923
254,-53.812984
255,-68.90321
256,-53.67668
257,-30.881794
258,-15.190868
259,-10.312947
260,-31.242281
261,-44.97986
262,-32.13431
263,-10.120203
264,-18.432394
265,-38.776672
266,-41.566624
267,-45.537033
268,-44.98461
269,-57.514736
270,-77.67906
271,-82.40724
272,-85.42374
273,-69.58884
274,-39.030136
275,-16.263405
276,-4.696208
277,31.73453
278,64.78537
279,84.851395
280,73.787994
281,67.48157
282,35.797142
283,-0.56563544
284,-13.749504
285,2.8867378
286,13.63761
287,2.8732946
288,-41.213554
289,-63.46965
290,-80.23056
291,-86.81654
292,-61.943604
293,2.3865066
294,-24.017706
295,-37.605484
296,-67.86521
297,-103.80275
298,-137.42722
299,-160.9885
300,-165.54121
301,-171.16998
302,-166.69803
303,-155.45679
304,-126.53518
305,-91.35623
306,-36.508446
307,-33.918747
308,-35.987587
309,-35.601254
310,-25.588673
311,-5.493107
312,-54.580406
313,-86.545654
314,-89.35469
315,-68.302155
316,-18.4113
317,-24.573095
318,-24.766323
319,-65.80278
320,-76.74161
321,-86.87846
322,-80.98515
323,-68.2824
324,-50.648247
325,-36.08862
326,-65.82648
327,-80.3441
328,-82.39229
329,-97.53885
330,-93.76976
331,-74.342285
332,-86.99692
333,-115.72877
334,-133.17839
335,-134.48824
336,-117.4732
337,-99.82692
338,-79.843475
339,-76.886505
340,-67.4541
341,-61.656685
342,-48.120384
343,-35.806362
344,-15.687203
345,13.053296
346,-34.628212
347,-61.35473
348,-79.58073
349,-88.365616
350,-87.91307
351,-80.44389
352,-54.26467
353,-18.443106
354,-34.637276
355,-26.858387
356,-1.9050002
357,8.218505
358,10.310734
359,7.4816284
360,-11.782283
361,-14.469217
362,-13.2736225
363,-1.1604867
364,45.1689
365,69.41992
366,105.97882
367,130.48114
368,124.25716
369,91.081566
370,64.94684
371,33.89755
372,9.406584
373,-4.4532547
374,-26.012215
375,-28.04409
376,-8.956146
377,3.262402
378,16.950603
379,26.684425
380,37.97659
381,43.982246
382,52.58461
383,77.308014
384,99.114975
385,84.32431
386,46.182316
387,49.85681
388,41.55896
389,3.991266
390,-17.550156
391,-22.577185
392,-5.551063
393,16.89611
394,32.64675
395,48.96576
396,31.824627
397,11.22526
398,14.573822
399,40.408157
400,61.37732
401,59.35309
402,38.42543
403,30.373861
404,34.802444
405,46.696774
406,35.367126
407,22.872566
408,22.579681
409,61.42403
410,68.37791
411,67.8913
412,68.815704
413,76.4032
414,63.049866
415,45.986786
416,24.843678
417,0.20176959
418,-19.439487
419,-43.692665
420,-56.829437
421,-42.971344
422,-31.608315
423,-12.807526
424,1.7544001
425,5.186811
426,18.572918
427,40.459038
428,35.136234
429,37.00356
430,52.299454
431,73.12799
432,91.68669
433,77.45848
434,75.82112
435,74.74052
436,78.83988
437,66.39436
438,60.2403
439,90.05144
440,96.52238
441,94.912506
442,86.26136
443,82.220856
444,56.215744
445,51.805477
446,76.27455
447,75.36287
448,55.325584
449,75.76698
450,104.20497
451,100.739075
452,55.832962
453,25.291801
454,-3.3698206
455,-17.22322
456,-5.1419277
457,4.716532
458,16.41693
459,19.8568
460,32.114
461,55.39205
462,64.18918
463,51.90372
464,36.485443
465,65.54009
466,52.64933
467,38.052612
468,19.745626
469,7.780257
470,3.5053046
471,-1.4441736
472,-6.401725
473,-21.045261
474,-20.310284
475,-16.898668
476,-15.472308
477,0.3253652
478,8.924694
479,7.4460106
480,1.2926146
481,4.37625
482,0.18429613
483,0.7887378
484,-33.41678
485,-56.08988
486,-30.694757
487,-5.1181154
488,14.177183
489,9.692551
490,-10.87405
491,-24.738148
492,-21.571762
493,-16.07893
494,-24.005444
495,-26.556858
496,-25.027046
497,-21.1571
498,-12.768375
499,-3.0509725
500,-14.917389
501,-24.440548
502,-45.12851
503,-60.635086
504,-55.282684
505,-52.09568
506,-17.658085
507,-15.118397
508,-23.21835
509,-30.164421
510,-36.34481
511,-37.04297
512,-34.668167
513,-25.110535
514,-10.944956
515,-4.385213
516,-8.422788
517,-34.14421
518,-54.795624
519,-53.970314
520,-60.31015
521,-71.31532
522,-90.68921
523,-96.55541
524,-103.963326
525,-100.34116
526,-90.124306
527,-71.18198
528,-24.023218
529,-20.744629
530,-31.24588
531,-34.308914
532,-20.77915
533,-27.169498
534,-52.500633
535,-50.04495
536,-39.906616
537,-45.972412
538,-56.223377
539,-60.267696
540,-52.295937
541,-47.990536
542,-51.441086
543,-59.66615
544,-59.31967
545,-42.55096
546,-53.755894
547,-64.99596
548,-66.64845
549,-49.73404
550,-25.314146
551,-19.434143
552,-21.833342
553,-39.41909
554,-39.708176
