,0
0,-570.8206
1,-561.14703
2,-561.64996
3,-555.2126
4,-498.55792
5,-415.9541
6,-302.8498
7,-252.84665
8,-254.30968
9,-266.69553
10,-237.084
11,-229.20525
12,-225.43452
13,-170.16623
14,-138.01334
15,-123.55936
16,-121.59682
17,-168.02034
18,-218.99792
19,-215.17339
20,-163.17508
21,-132.27934
22,-131.4473
23,-169.70435
24,-250.96454
25,-241.54182
26,-181.31128
27,-142.08038
28,-125.21582
29,-113.80005
30,-91.48973
31,-60.196533
32,-86.70577
33,-135.91228
34,-126.11856
35,-169.34392
36,-263.5758
37,-304.56897
38,-261.12433
39,-217.47646
40,-192.89215
41,-191.94005
42,-202.47226
43,-208.8329
44,-250.06885
45,-307.67197
46,-211.08449
47,-159.85439
48,-166.71303
49,-231.36711
50,-297.18436
51,-196.1116
52,-179.48654
53,-198.18823
54,-194.38873
55,-205.94765
56,-210.93042
57,-178.1621
58,-162.24866
59,-151.09041
60,-185.9016
61,-308.04898
62,-359.58658
63,-342.38254
64,-341.79483
65,-244.05011
66,-205.23386
67,-242.76454
68,-364.36716
69,-406.44873
70,-278.22183
71,-178.788
72,-134.7574
73,-121.428116
74,-126.51695
75,-164.38849
76,-248.15623
77,-300.50275
78,-269.69437
79,-289.29065
80,-308.5399
81,-201.31213
82,-180.38416
83,-185.43365
84,-194.33495
85,-223.50748
86,-251.88193
87,-252.69598
88,-196.49529
89,-189.5298
90,-207.35202
91,-250.87599
92,-221.30779
93,-210.49147
94,-185.82538
95,-138.49399
96,-117.87617
97,-139.20891
98,-155.06084
99,-188.88283
100,-207.7455
101,-188.91063
102,-189.98997
103,-159.58447
104,-167.01628
105,-227.74475
106,-322.6316
107,-322.45044
108,-157.74115
109,-101.515076
110,-122.780975
111,-164.50537
112,-197.28305
113,-221.2331
114,-283.6802
115,-386.01736
116,-468.7839
117,-554.9642
118,-574.52
119,-575.0485
120,-574.20825
121,9.103651
122,17.785593
123,17.01344
124,22.865635
125,-18.430386
126,-43.371284
127,2.7017298
128,24.052654
129,49.291782
130,97.441376
131,130.39877
132,127.14752
133,120.212524
134,118.04579
135,98.36008
136,95.70633
137,112.860466
138,136.50412
139,151.62863
140,125.64741
141,109.96677
142,115.61122
143,85.69648
144,32.302536
145,-30.623667
146,13.203089
147,81.0581
148,99.64758
149,110.25301
150,104.42174
151,107.53463
152,135.65244
153,145.7942
154,156.22897
155,169.82915
156,180.33618
157,176.70392
158,167.94762
159,164.91815
160,157.53906
161,147.03363
162,136.23401
163,139.71419
164,143.00305
165,120.931755
166,88.07669
167,91.0684
168,92.85067
169,92.76405
170,99.97018
171,76.83154
172,94.81906
173,109.63464
174,120.80629
175,120.70378
176,92.3084
177,65.29224
178,86.02134
179,102.99012
180,118.234436
181,127.50676
182,140.75601
183,127.92825
184,124.58063
185,119.84758
186,131.54169
187,153.81506
188,166.73563
189,152.56398
190,58.08063
191,68.50458
192,95.42555
193,100.67764
194,76.13484
195,65.43291
196,76.20506
197,59.497276
198,-28.02864
199,-27.124151
200,-7.6863217
201,23.474491
202,53.519623
203,56.481476
204,50.721794
205,58.451653
206,72.62947
207,103.03375
208,65.79832
209,40.98342
210,31.963812
211,53.741676
212,79.09424
213,55.097725
214,45.432365
215,82.59252
216,108.79303
217,93.702866
218,81.44727
219,111.3602
220,128.87852
221,139.5761
222,121.94882
223,91.18484
224,99.58348
225,116.96788
226,128.16164
227,125.04448
228,79.93382
229,119.78125
230,143.28378
231,150.77448
232,150.69603
233,147.02048
234,153.96408
235,146.7141
236,126.37473
237,94.79309
238,25.90014
239,6.354477
240,5.6176734
241,6.7865644
242,4.1394434
243,3.575357
244,3.375121
245,6.703229
246,26.858694
247,9.44017
248,-4.1672826
249,-24.014347
250,-32.906902
251,-14.872489
252,-29.160019
253,-58.53068
254,-78.695625
255,-111.85775
