,0
0,-415.9412
1,-411.94235
2,-422.82504
3,-405.62936
4,-334.56885
5,-229.88327
6,-161.52083
7,-122.93796
8,-114.30096
9,-122.903435
10,-116.58253
11,-129.65833
12,-163.6029
13,-75.00395
14,-56.984104
15,-101.28864
16,-104.91336
17,-101.86226
18,-105.783806
19,-114.37353
20,-125.35289
21,-133.199
22,-133.8575
23,-136.67186
24,-170.15462
25,-228.50154
26,-235.86679
27,-232.49954
28,-240.15308
29,-250.40727
30,-246.2663
31,-248.73262
32,-305.65997
33,-390.08832
34,-325.35165
35,-150.01677
36,-120.62753
37,-180.03328
38,-278.33304
39,-332.20126
40,-348.29333
41,-365.01874
42,-382.0896
43,-397.15024
44,-409.2866
45,-408.89926
46,-403.15753
47,-404.68988
48,-406.2431
49,-415.9653
50,-424.7341
51,-417.49088
52,-412.86316
53,-423.9771
54,-425.03482
55,-420.62494
56,-423.11838
57,-423.63135
58,-423.77576
59,-420.77643
60,-419.63678
61,-424.3512
62,-422.77206
63,-289.51645
64,-138.52823
65,-105.0237
66,-144.23833
67,-187.51485
68,-178.77216
69,-174.16826
70,-185.90106
71,-227.11188
72,-268.68848
73,-231.68687
74,-141.3649
75,-63.270016
76,-70.438
77,-140.19333
78,-187.11946
79,-180.93718
80,-179.77182
81,-162.09825
82,-139.4418
83,-136.7799
84,-143.21494
85,-146.75916
86,-149.95178
87,-176.91985
88,-155.828
89,-118.983826
90,-120.70881
91,-141.70766
92,-153.39246
93,-146.03676
94,-159.49603
95,-193.85144
96,-195.69995
97,-221.17255
98,-257.7023
99,-262.05606
100,-248.1186
101,-200.88393
102,-159.39192
103,-144.8779
104,-150.87949
105,-139.29315
106,-116.79217
107,-117.23758
108,-118.23405
109,-124.81591
110,-137.41469
111,-135.61229
112,-135.76419
113,-166.07063
114,-216.91447
115,-241.73785
116,-237.99896
117,-247.26918
118,-269.39728
119,-291.35016
120,-320.2901
121,-348.59186
122,-376.53848
123,83.35402
124,72.56291
125,71.494835
126,82.13044
127,107.05135
128,112.71525
129,112.91059
130,124.92189
131,131.29764
132,132.62206
133,121.40485
134,97.17236
135,98.78905
136,109.0379
137,119.17665
138,137.751
139,167.7026
140,174.58926
141,174.87619
142,162.4407
143,134.13715
144,127.25214
145,134.85088
146,146.51349
147,155.99722
148,148.85266
149,133.8756
150,134.87341
151,140.43845
152,148.70483
153,142.854
154,138.64767
155,127.79997
156,83.07793
157,82.33403
158,94.31057
159,94.704025
160,90.5905
161,98.59019
162,111.33052
163,111.130646
164,105.10814
165,95.765945
166,84.759445
167,76.778824
168,80.48422
169,85.59889
170,83.006714
171,85.27582
172,76.95264
173,67.40503
174,72.14208
175,75.288765
176,68.83868
177,70.98703
178,71.29144
179,66.973816
180,70.938545
181,72.10524
182,71.23421
183,72.26485
184,70.86807
185,73.21595
186,136.06512
187,164.5662
188,165.0589
189,139.53818
190,119.14882
191,135.05237
192,136.61084
193,136.89505
194,133.75174
195,139.5867
196,141.08775
197,114.82367
198,101.21738
199,100.42766
200,119.03287
201,143.18831
202,141.75717
203,137.58633
204,118.52539
205,81.92508
206,48.77288
207,32.00995
208,46.350143
209,98.9592
210,141.31215
211,115.024895
212,70.469475
213,29.771862
214,9.8284
215,11.763985
216,46.86045
217,102.703865
218,161.71329
219,155.7154
220,146.5489
221,139.85352
222,136.79803
223,133.11505
224,109.38574
225,104.508965
226,117.56508
227,132.95123
228,151.41592
229,156.81985
230,159.62169
231,151.78996
232,134.48041
233,126.7919
234,142.9169
235,165.51933
236,166.11626
237,160.75403
238,171.55135
239,170.84973
240,166.72044
241,152.62059
242,134.4972
243,113.35422
244,99.94952
245,95.00059
246,15.283045
247,16.24305
248,24.767004
249,21.735798
250,-3.4331474
251,-36.091724
252,-51.381927
253,-51.169098
254,-57.242363
255,-57.833687
256,-38.87416
257,-16.253565
258,-21.17681
259,-60.227062
260,-46.85521
261,-35.406986
262,-45.036285
263,-48.743305
264,-47.469498
265,-46.485233
266,-58.307198
267,-66.16533
268,-64.12167
269,-57.963425
270,-37.51347
271,-8.912511
272,-11.0381
273,-12.247835
274,1.400912
275,9.527312
276,9.266724
277,11.89694
278,24.856571
279,37.27586
280,-4.7482686
281,-34.823647
282,-37.72133
283,-29.37589
284,-19.504492
285,-5.065796
286,7.86995
287,11.838168
288,11.613266
289,13.434763
290,12.520924
291,16.238567
292,17.743395
293,18.29086
294,24.977264
295,28.203228
296,23.87579
297,20.859455
298,18.515263
299,22.249153
300,24.033615
301,22.417217
302,23.104395
303,29.221031
304,29.556904
305,23.212273
306,21.89592
307,20.819206
308,24.362309
309,-32.74273
310,-63.764713
311,-61.69048
312,-56.377304
313,-56.57422
314,-52.21689
315,-53.971504
316,-46.180557
317,-24.144928
318,3.5611494
319,1.5266317
320,-24.041758
321,-37.621674
322,-30.580273
323,-9.69187
324,-9.6590185
