,0
0,-491.09775
1,-485.04987
2,-481.85382
3,-480.99396
4,-421.4472
5,-333.50018
6,-231.65881
7,-184.01505
8,-164.59093
9,-140.13274
10,-108.54831
11,-84.46047
12,-80.59903
13,-86.91109
14,-90.759186
15,-115.19906
16,-139.83226
17,-116.502464
18,-92.413994
19,-84.71072
20,-89.54803
21,-115.318985
22,-193.05193
23,-246.64807
24,-159.23106
25,-143.5685
26,-203.85844
27,-331.97412
28,-268.44672
29,-194.35669
30,-138.50142
31,-121.657234
32,-130.93387
33,-152.28534
34,-246.2663
35,-339.85498
36,-168.55626
37,-118.278625
38,-122.72769
39,-148.39186
40,-234.00694
41,-433.3161
42,-301.1814
43,-172.44148
44,-149.628
45,-174.65703
46,-177.09659
47,-171.21762
48,-227.69446
49,-219.85085
50,-180.23216
51,-174.01918
52,-188.8556
53,-206.58708
54,-188.74554
55,-146.33942
56,-154.22893
57,-208.62541
58,-187.56848
59,-147.96332
60,-158.14879
61,-182.27446
62,-253.54651
63,-202.62323
64,-157.61934
65,-144.03944
66,-141.00075
67,-142.34193
68,-193.42676
69,-155.33214
70,-96.25828
71,-97.8511
72,-120.98516
73,-161.17876
74,-205.8259
75,-231.869
76,-225.64937
77,-203.3531
78,-212.09245
79,-239.28879
80,-252.812
81,-278.737
82,-298.5196
83,-293.00766
84,-206.43068
85,-182.24171
86,-202.36526
87,-210.0816
88,-255.15765
89,-283.2139
90,-268.34045
91,-241.65709
92,-175.12279
93,-150.90218
94,-192.47787
95,-261.09344
96,-234.1421
97,-169.4428
98,-156.86708
99,-157.06322
100,-143.54669
101,-141.37639
102,-157.78085
103,-171.17549
104,-181.89392
105,-152.45737
106,-103.93846
107,-103.034294
108,-131.90001
109,-162.02432
110,-127.00285
111,-128.60562
112,-193.49095
113,-249.38802
114,-341.393
115,-401.27576
116,-197.74307
117,-157.1261
118,-223.02853
119,-372.14505
120,-461.84042
121,34.94567
122,41.78015
123,45.016098
124,46.378574
125,55.284607
126,69.3533
127,106.85549
128,110.13746
129,128.68008
130,134.39117
131,101.812195
132,53.6437
133,16.972908
134,-0.74477184
135,7.884895
136,24.88689
137,67.189926
138,114.83816
139,123.77464
140,116.6045
141,123.255615
142,125.43602
143,97.689125
144,24.728172
145,52.885906
146,64.39854
147,71.96501
148,81.164856
149,130.67078
150,144.72139
151,146.4975
152,140.47464
153,134.30005
154,134.8901
155,114.4131
156,117.970795
157,146.49863
158,154.31555
159,141.99905
160,139.15677
161,137.40869
162,81.18319
163,80.44362
164,82.14019
165,80.99948
166,92.54542
167,109.10986
168,136.66333
169,156.07835
170,152.48013
171,145.38843
172,131.34924
173,122.037
174,80.169846
175,57.222584
176,100.55231
177,127.87817
178,130.54044
179,132.74637
180,137.25026
181,134.00592
182,141.93015
183,125.93439
184,66.35425
185,66.929886
186,82.712036
187,72.83148
188,38.334557
189,15.956601
190,81.59546
191,117.696075
192,154.24144
193,178.3576
194,194.5438
195,190.55595
196,198.60454
197,196.68956
198,166.31076
199,149.06712
200,148.0935
201,155.4977
202,153.32806
203,143.40958
204,137.8729
205,134.8508
206,127.30228
207,110.569885
208,127.514404
209,152.9411
210,147.35132
211,140.01144
212,137.03372
213,137.73132
214,142.56363
215,153.27487
216,151.49855
217,140.66745
218,158.93402
219,155.83014
220,147.20358
221,154.3465
222,145.91103
223,130.32323
224,119.180214
225,95.628365
226,43.925682
227,15.738157
228,-0.6098516
229,-9.871382
230,-21.528341
231,34.13673
232,86.2173
233,140.92114
234,142.39767
235,115.13141
236,78.99315
237,123.88057
238,127.15533
239,108.99691
240,82.06652
241,46.1561
242,31.515715
243,34.61534
244,35.454994
245,37.67514
246,-0.66440195
247,-25.59924
248,-17.813465
249,-25.773125
250,-39.2937
251,-57.96038
252,-56.821854
253,-65.751526
254,-91.91461
255,-114.23233
256,-115.10463
257,-97.05204
258,-69.99892
259,-65.208755
260,-76.14419
261,-86.112206
