,0
0,-401.19046
1,-332.56287
2,-357.36087
3,-341.56137
4,-211.2664
5,-176.27197
6,-182.87436
7,-186.98347
8,-208.72269
9,-197.36893
10,-120.29169
11,-92.21409
12,-98.41225
13,-122.228516
14,-103.67575
15,-83.23497
16,-71.62703
17,-89.15402
18,-139.50237
19,-184.74191
20,-212.40283
21,-164.25662
22,-109.73643
23,-135.56747
24,-212.82426
25,-255.90567
26,-256.4375
27,-182.26466
28,-155.49483
29,-143.80458
30,-107.15474
31,-96.09954
32,-99.9351
33,-132.11548
34,-230.38599
35,-325.74646
36,-278.43808
37,-224.66617
38,-131.71577
39,-89.43993
40,-102.02637
41,-128.15347
42,-144.87062
43,-178.7385
44,-233.28026
45,-253.79149
46,-285.48212
47,-283.46704
48,-252.029
49,-255.65128
50,-251.13084
51,-218.49487
52,-221.61723
53,-230.27501
54,-196.8781
55,-186.03792
56,-184.01358
57,-179.20456
58,-180.62714
59,-209.31427
60,-223.26527
61,-200.70984
62,-194.1161
63,-173.66447
64,-169.69882
65,-188.71443
66,-159.65338
67,-151.55725
68,-199.00334
69,-273.9102
70,-242.65376
71,-179.26611
72,-157.44998
73,-160.11292
74,-167.88454
75,-196.1458
76,-223.58682
77,-242.6904
78,-273.69272
79,-321.68457
80,-305.90067
81,-287.4583
82,-294.87814
83,-303.7425
84,-274.6524
85,-247.7246
86,-266.1141
87,-286.19095
88,-285.21075
89,-299.22937
90,-325.61627
91,-352.67288
92,-350.9512
93,-340.21927
94,-338.0563
95,-359.1995
96,-396.3745
97,-427.05093
98,-443.19095
99,-405.86462
100,-409.08493
101,-465.74417
102,19.727375
103,29.885612
104,45.019173
105,58.875145
106,70.21735
107,94.30669
108,111.14181
109,117.812515
110,133.56007
111,139.19327
112,147.39975
113,129.61234
114,123.794876
115,113.58279
116,113.72276
117,147.4165
118,168.17328
119,174.46982
120,134.87543
121,53.037624
122,39.892937
123,92.08145
124,117.891716
125,135.33815
126,153.15213
127,157.9325
128,155.59363
129,122.23519
130,95.76456
131,109.23607
132,132.33536
133,129.34613
134,136.3342
135,146.77597
136,142.25699
137,50.5491
138,7.926082
139,21.355515
140,100.403435
141,138.75432
142,143.05737
143,124.7821
144,133.60474
145,148.22316
146,158.17838
147,175.22458
148,162.79974
149,134.77985
150,159.07626
151,167.87906
152,154.49768
153,142.26819
154,128.65594
155,133.21457
156,139.99503
157,124.632095
158,111.18501
159,115.21828
160,105.24452
161,75.662476
162,56.591095
163,76.67669
164,93.82735
165,134.88223
166,144.62047
167,144.18051
168,159.30228
169,172.46347
170,176.83586
171,143.43686
172,155.78864
173,173.80798
174,170.17279
175,154.82272
176,148.95128
177,134.54234
178,114.82942
179,118.022095
180,130.77136
181,145.83447
182,136.27556
183,125.47424
184,124.983826
185,128.6629
186,124.54951
187,126.678185
188,120.116455
189,105.40005
190,106.63794
191,115.35654
192,129.8555
193,146.92148
194,145.7956
195,144.08838
196,148.44789
197,138.48874
198,106.45597
199,81.24257
200,80.873276
201,97.20986
202,95.80498
203,63.674526
204,1.545247
205,-17.175787
206,-1.1723417
