,0
0,-539.9768
1,-530.66693
2,-529.89453
3,-525.8113
4,-340.1042
5,-234.29259
6,-208.09302
7,-183.27242
8,-160.29112
9,-148.22527
10,-146.35164
11,-145.618
12,-154.41692
13,-165.21689
14,-202.6506
15,-203.0288
16,-142.1457
17,-107.390656
18,-97.87039
19,-102.62284
20,-100.074554
21,-136.31674
22,-269.52615
23,-348.69467
24,-250.49117
25,-232.91827
26,-255.28963
27,-265.12463
28,-264.25613
29,-265.55997
30,-265.0575
31,-235.84134
32,-204.48643
33,-191.2055
34,-155.35641
35,-143.5987
36,-185.38078
37,-191.20786
38,-188.02057
39,-197.02652
40,-217.75522
41,-319.67517
42,-490.39313
43,-239.49478
44,-163.6588
45,-173.46352
46,-280.3417
47,-352.88174
48,-188.8566
49,-162.22401
50,-208.76572
51,-210.63344
52,-166.07005
53,-117.024506
54,-106.6345
55,-141.52937
56,-177.83641
57,-194.3708
58,-168.36827
59,-184.96904
60,-255.46632
61,-149.25957
62,-127.764275
63,-160.03888
64,-154.39339
65,-150.82018
66,-180.6345
67,-219.6715
68,-223.46559
69,-259.2474
70,-300.26392
71,-376.23328
72,-463.51495
73,-241.3214
74,-118.3804
75,-66.9518
76,-72.54261
77,-106.68767
78,-107.877655
79,-88.26952
80,-91.46983
81,-148.95076
82,-191.72856
83,-214.28857
84,-245.57521
85,-239.9299
86,-209.56734
87,-198.24768
88,-186.8932
89,-179.45178
90,-173.36557
91,-154.44797
92,-132.40927
93,-118.67242
94,-141.15938
95,-150.60715
96,-151.24919
97,-155.47522
98,-159.1964
99,-134.3091
100,-121.39653
101,-155.15417
102,-196.55272
103,-205.71788
104,-210.24416
105,-253.17282
106,-312.3715
107,-328.83148
108,-320.77094
109,-338.56033
110,-385.29697
111,-447.68802
112,-520.3252
113,-533.50964
114,-535.9847
115,-423.0767
116,-190.12303
117,-138.11684
118,-154.36635
119,-172.2538
120,-182.50664
121,-205.87381
122,-222.0323
123,-237.32411
124,-260.34387
125,-278.1156
126,-298.90823
127,-330.55377
128,-366.60037
129,-400.22696
130,-424.3718
131,-437.48752
132,-450.09598
133,-465.08585
134,-475.03763
135,-491.77527
136,25.93327
137,35.369453
138,33.383663
139,39.127926
140,113.379776
141,131.13753
142,128.9695
143,100.74668
144,88.61726
145,94.25043
146,96.299255
147,96.08742
148,111.89413
149,138.09712
150,138.02464
151,125.29401
152,149.81964
153,143.28238
154,129.10533
155,132.95999
156,163.82318
157,176.28214
