,0
0,-553.27094
1,-448.10876
2,-384.86682
3,-404.3001
4,-399.42896
5,-276.63138
6,-205.14941
7,-165.7992
8,-151.00342
9,-141.56256
10,-159.327
11,-209.99908
12,-215.93677
13,-192.63255
14,-207.21214
15,-174.75734
16,-158.37881
17,-176.62865
18,-178.37955
19,-201.87561
20,-168.60716
21,-129.25223
22,-105.56149
23,-115.10635
24,-126.399475
25,-170.13538
26,-257.39346
27,-199.40324
28,-144.32146
29,-147.808
30,-206.9695
31,-267.56494
32,-249.45428
33,-207.71295
34,-190.99664
35,-185.16545
36,-169.78477
37,-160.54599
38,-140.62328
39,-105.59302
40,-76.796455
41,-89.43431
42,-189.23514
43,-486.2848
44,-298.87582
45,-254.72348
46,-225.56227
47,-190.07353
48,-163.06975
49,-150.15552
50,-172.07579
51,-215.65482
52,-268.59564
53,-327.29083
54,-360.86725
55,-358.90308
56,-352.7277
57,-335.76248
58,-298.67932
59,29.15775
60,107.993576
61,146.30937
62,151.10089
63,91.84131
64,86.47739
65,95.61257
66,94.05121
67,82.59035
68,80.31302
69,67.96132
70,33.314568
71,19.971716
72,42.8347
73,68.3734
74,99.45192
75,81.284004
76,81.11897
77,94.4413
78,76.548615
79,74.32125
80,83.36437
81,124.19124
82,144.09712
83,154.28116
84,167.54877
85,150.33887
86,152.49933
87,142.04797
88,127.725784
89,120.70471
90,69.36795
91,60.440193
92,112.52164
93,127.85518
94,130.60338
95,142.24097
96,126.02702
97,120.911606
98,104.05525
99,109.854065
100,133.66345
101,144.31259
102,98.493935
103,91.91739
104,99.29728
105,91.24708
106,92.07448
107,94.95978
108,94.515884
109,102.8342
110,129.90317
111,132.40857
112,116.67543
113,114.22841
114,103.92231
115,100.30402
116,99.09405
117,107.45907
118,22.329737
119,37.71949
120,40.424896
121,48.972412
122,29.833645
123,1.3305075
124,-41.098457
125,-92.45499
126,-104.26665
127,-76.5735
128,-41.72177
129,-31.351753
130,-38.214283
131,-27.306591
132,-33.47487
133,-86.73683
134,-95.56725
135,-80.27321
136,-56.329334
137,-16.302042
138,-16.561825
139,-52.77009
140,-83.87154
141,-98.03275
142,-92.96771
143,-68.641075
144,-35.048065
145,-52.520424
146,-75.80365
147,-72.42321
148,-31.12751
149,-9.893066
150,-27.129295
151,-27.999386
152,-45.191257
153,-56.11732
154,-41.65337
155,-46.290253
156,-71.97011
157,-112.89226
158,-114.43727
159,-92.66681
160,-59.06661
161,40.98162
162,-42.983685
163,-57.2013
164,-57.31162
165,-54.435516
166,-71.59996
167,-90.35556
168,-75.2919
169,-36.607567
170,-2.6609178
171,6.045344
172,-4.1390815
173,-1.0957215
174,-3.9902878
