,0
0,-572.99023
1,-569.20496
2,-568.011
3,-309.2095
4,-226.92107
5,-209.05728
6,-223.5232
7,-200.89728
8,-135.46864
9,-89.15181
10,-98.589516
11,-74.85889
12,-76.090324
13,-146.98334
14,-266.52933
15,-325.7071
16,-287.5352
17,-219.601
18,-207.47208
19,-230.00279
20,-286.0732
21,-357.5988
22,-258.83856
23,-178.02753
24,-146.54732
25,-157.36569
26,-201.47252
27,-279.1159
28,-232.28506
29,-176.45026
30,-179.66159
31,-168.02516
32,-178.40747
33,-256.27588
34,-304.16074
35,-275.1436
36,-271.8228
37,-267.66483
38,-228.66406
39,-207.31448
40,-204.02475
41,-274.77
42,-381.5961
43,-249.16856
44,-229.07239
45,-241.98114
46,-229.46931
47,-232.90114
48,-300.4332
49,-449.14465
50,-418.5579
51,-342.52676
52,-333.16025
53,-343.835
54,-337.24622
55,-293.83835
56,-264.98883
57,-260.12152
58,-265.94098
59,-254.94772
60,-189.67036
61,-150.0783
62,-139.6082
63,-164.9423
64,-205.17494
65,-249.99034
66,-335.60495
67,-321.81778
68,-263.0581
69,-243.19481
70,-253.31552
71,-287.7789
72,-264.61926
73,-238.99783
74,-248.11946
75,-280.82074
76,-362.96796
77,-390.90927
78,-425.80774
79,-485.4465
80,-389.6391
81,-317.41162
82,-289.27725
83,-251.98723
84,-258.30713
85,-268.76813
86,-287.26706
87,-307.1535
88,-316.11935
89,-327.0184
90,-348.8065
91,-359.451
92,-375.04565
93,-430.46213
94,-303.63556
95,-213.88828
96,-192.12459
97,-211.31155
98,-253.53435
99,-292.0789
100,-324.52148
101,-383.19742
102,-430.65573
103,-455.20593
104,-486.32425
105,-531.53595
106,-559.0542
107,-568.9978
108,-567.7895
109,-567.79865
110,-570.92303
111,11.415319
112,16.62724
113,18.126781
114,150.23041
115,165.52313
116,141.97159
117,98.83052
118,121.84497
119,154.8954
120,136.0279
121,89.504974
122,91.31465
123,110.488525
124,96.59515
125,34.36814
126,-34.0458
127,22.115967
128,66.1349
129,67.090614
130,67.58368
131,83.889175
132,99.40721
133,110.84923
134,119.49678
135,93.489624
136,71.322525
137,79.0215
138,105.72947
139,143.03522
140,140.30595
141,112.02054
142,106.99759
143,101.21
144,60.58281
145,-3.5954902
146,-2.6374846
147,26.726656
148,82.815956
149,92.146576
150,76.64162
151,96.55098
152,111.515434
153,70.855484
154,65.05664
155,70.40265
156,90.98729
157,92.39496
158,80.64647
159,78.930435
160,80.23056
161,120.50632
162,146.52788
163,138.15704
164,120.70172
165,131.8924
166,119.47868
167,94.707634
168,89.720474
169,113.49477
170,124.16403
171,143.34688
172,142.78639
173,126.206764
174,127.83476
175,150.24353
176,155.92725
177,132.66948
178,112.3111
179,118.724075
180,131.55222
181,135.61247
182,136.1103
183,110.07818
184,91.65426
185,86.011284
186,103.42332
187,120.15612
188,133.06192
189,126.81029
190,94.79802
191,55.333862
192,64.5314
193,85.00606
194,90.413605
195,69.63135
196,45.429832
197,6.2302904
198,-40.294846
199,-62.783787
200,-63.2527
201,-64.81302
202,-57.731617
203,-45.55932
204,-33.683914
205,85.06908
206,100.202545
207,101.4031
208,89.93263
209,82.64322
210,104.33433
211,131.96304
212,128.86003
213,108.01039
214,115.49936
215,105.046196
216,66.0904
217,30.72404
218,16.908913
219,18.455925
220,18.5038
221,14.24605
222,11.245604
223,16.050545
224,17.084795
225,-31.83741
226,-40.85665
227,-50.472366
228,-83.92997
229,-78.32534
230,-83.7386
231,-106.17749
232,-130.91077
233,-143.96515
234,-116.41186
235,-51.749897
236,5.7149696
237,-23.696692
238,-6.256095
239,-39.55034
240,-63.09325
241,-59.395676
242,-39.72563
243,2.5771494
244,-15.284382
245,-59.81356
246,-102.25537
247,-102.20659
248,-79.118416
249,-52.24669
250,-42.037445
251,-70.74039
252,-98.042786
253,-104.549225
254,-63.265438
255,-6.2667356
256,-14.077577
257,-25.250608
258,-28.97044
259,-33.112404
260,-64.75371
261,-84.18073
262,-59.9217
263,-27.460304
264,8.407892
265,-18.475273
266,-16.631603
267,-44.373993
268,-82.84758
269,-72.65455
270,-27.515766
271,22.892319
272,2.3811707
273,-6.305138
274,-2.3665683
275,-6.238906
276,7.8158307
277,6.84105
278,-17.408253
279,-25.529736
280,-15.030682
281,-10.109384
282,-47.14956
283,-97.22441
284,-122.75351
285,-107.22041
286,-62.656307
287,-31.228256
288,10.683384
289,-0.18843019
290,-18.044529
291,-29.773472
292,-29.941582
293,-2.4957988
294,-21.136602
295,-50.254307
296,-70.79533
297,-56.426018
298,-4.7693515
299,33.462086
300,53.53878
301,44.70977
302,-6.7755713
303,-11.932927
304,-16.258606
305,-54.002937
306,-74.29268
307,-56.943558
308,-21.491968
309,-38.165787
310,-61.11033
311,-56.768513
312,-50.168045
313,-42.92887
314,-19.6046
315,1.435417
316,-24.246384
317,-54.24839
318,-69.83699
319,-78.4843
320,-77.40919
321,-55.19325
322,-29.29264
323,1.1911716
324,13.276333
325,40.897102
326,56.846336
327,56.03778
328,29.386644
329,16.297531
330,17.398394
331,17.614529
332,13.807298
333,10.9714775
334,15.151794
335,15.654675
336,29.873226
337,39.166374
338,44.03148
339,43.509636
340,39.200012
341,26.82126
342,33.286156
343,40.48349
344,49.56818
345,54.68979
346,44.73677
347,42.93064
348,37.000374
349,41.018497
350,43.735054
351,60.942432
352,75.04559
353,61.3475
354,32.65619
355,62.725883
356,56.100334
357,55.55645
358,68.80638
359,72.68351
360,47.84368
361,36.14026
362,41.032524
363,34.878666
364,27.146788
365,25.331703
366,34.30413
367,41.975224
368,51.040924
369,51.791325
370,55.00923
371,66.32752
372,77.5774
373,81.962036
374,67.64276
375,73.678154
376,90.37615
377,97.1143
378,68.308945
379,56.074615
380,73.31091
381,82.41295
382,48.984997
383,12.124414
384,14.55377
385,17.396294
386,19.93632
387,25.505665
388,49.72303
389,68.72626
390,85.04579
391,84.30511
392,63.42755
393,48.8449
394,29.045488
395,12.804602
396,13.589073
397,28.737892
