,0
0,-575.56024
1,-572.8086
2,-573.47375
3,-355.12643
4,-221.38089
5,-186.68375
6,-206.8697
7,-228.99837
8,-247.3277
9,-306.7579
10,-379.69037
11,-311.5799
12,-246.00249
13,-228.95346
14,-231.04884
15,-232.98253
16,-257.53702
17,-289.3053
18,-223.47527
19,-181.64502
20,-175.53363
21,-160.66737
22,-152.63629
23,-148.64322
24,-152.48042
25,-168.97488
26,-203.09657
27,-195.76096
28,-108.39853
29,-86.85969
30,-119.53204
31,-164.49022
32,-226.19582
33,-280.49048
34,-298.96274
35,-268.42148
36,-232.03508
37,-223.9017
38,-228.37766
39,-246.69174
40,-244.95294
41,-227.13582
42,-202.85924
43,-196.8789
44,-189.83284
45,-183.32973
46,-183.3851
47,-193.925
48,-265.8068
49,-379.27698
50,-326.41696
51,-201.85388
52,-146.66953
53,-161.11317
54,-252.96532
55,-223.34311
56,-178.31548
57,-191.57315
58,-212.61263
59,-209.26767
60,-144.7244
61,-126.48688
62,-142.54623
63,-157.85954
64,-165.98016
65,-168.39653
66,-162.58902
67,-163.97714
68,-171.01811
69,-158.77818
70,-155.50937
71,-194.9781
72,-229.16295
73,-195.32327
74,-184.56221
75,-207.32594
76,-200.87003
77,-202.0722
78,-224.57811
79,-269.03888
80,-286.56787
81,-236.53557
82,-188.28453
83,-164.56062
84,-166.59544
85,-177.80016
86,-193.62991
87,-255.36417
88,-328.9921
89,-363.10657
90,-467.21518
91,-588.98975
92,-585.1586
93,-489.89703
94,-339.16382
95,-273.01938
96,-288.46796
97,-347.4602
98,-306.44257
99,-234.23477
100,-180.3214
101,-151.86694
102,-131.25151
103,-129.65077
104,-154.30559
105,-197.36005
106,-230.66782
107,-181.22427
108,-104.76599
109,-59.876324
110,-86.2724
111,-97.09253
112,-62.471138
113,-93.74061
114,-169.93085
115,-240.19865
116,-269.57846
117,-273.87012
118,-245.55707
119,-232.05449
120,-194.09045
121,-186.92616
122,-225.36513
123,-282.25583
124,-354.3149
125,-456.18933
126,-329.83862
127,-277.3655
128,-235.96095
129,-227.90237
130,-259.99863
131,-269.56735
132,-241.93031
133,-255.84552
134,-293.0912
135,-301.17746
136,-302.1728
137,-255.4851
138,-209.3815
139,-168.90523
140,-175.90277
141,-270.06638
142,-308.3386
143,-231.15698
144,-240.70462
145,-302.34982
146,-352.38495
147,-425.67163
148,-512.5206
149,-460.21292
150,-429.71475
151,18.846924
152,22.627003
153,21.723803
154,109.62103
155,133.79823
156,130.66043
157,109.6745
158,100.731026
159,118.65634
160,129.22029
161,112.29825
162,111.44524
163,113.597534
164,110.51043
165,104.41678
166,116.50847
167,123.8301
168,121.079346
169,116.57358
170,124.93565
171,131.8851
172,115.24571
173,98.93826
174,89.92398
175,83.04286
176,79.72963
177,102.02792
178,121.98562
179,118.46889
180,105.09095
181,95.79644
182,126.19295
183,136.31145
184,124.797745
185,112.16727
186,134.67833
187,140.67241
188,129.55125
189,128.1748
190,117.9559
191,94.33357
192,96.42156
193,94.44221
194,72.88624
195,76.02454
196,93.246796
197,111.222244
198,118.27399
199,107.65857
200,31.217289
201,41.48207
202,77.02748
203,82.95519
204,99.84165
205,129.38882
206,168.33324
207,173.4295
208,152.65906
209,158.78397
210,154.77206
211,146.21518
212,132.87576
213,126.48711
214,126.87416
215,103.26175
216,95.12508
217,103.97749
218,122.8431
219,135.07745
220,128.60896
221,107.630356
222,86.81781
223,61.373158
224,70.143684
225,100.20169
226,123.16513
227,114.93761
228,116.63394
229,108.65198
230,68.84001
231,40.213436
232,69.57291
233,106.668
234,106.927635
235,98.352615
236,106.8298
237,133.20815
238,139.8082
239,134.28958
240,134.28076
241,79.66086
242,0.0
243,4.8426156
244,95.83272
245,147.93684
246,154.39197
247,143.14975
248,111.14201
249,112.62737
250,109.01321
251,96.39639
252,68.927666
253,77.03996
254,104.34923
255,131.95853
256,158.30887
257,151.82455
258,137.66495
259,135.92291
260,137.3836
261,128.80801
262,109.586334
263,135.42018
264,157.96677
265,169.30304
266,156.63132
267,127.36543
268,100.22474
269,110.53256
270,104.03943
271,81.49688
272,66.01741
273,39.60544
274,28.253408
275,26.539562
276,60.039215
277,99.63278
278,112.684555
279,88.71878
280,64.23831
281,28.888973
282,19.025085
283,54.021362
284,98.36223
285,131.95137
286,137.19165
287,137.54549
288,145.73215
289,140.81064
290,137.65027
291,120.940186
292,91.54979
293,61.37378
294,68.547455
295,66.18701
296,65.61972
297,70.46417
298,73.76396
299,55.25444
300,55.626686
301,66.48917
302,18.41812
303,21.883202
304,21.088844
305,-56.888412
306,-75.63541
307,-77.92334
308,-72.257225
309,-67.58606
310,-38.607765
311,-1.4071994
312,15.250116
313,-0.32754606
314,-24.007164
315,-49.05124
316,-63.85482
317,-49.441124
318,-30.558092
319,-10.879744
320,-15.07539
321,-31.976124
322,-46.007927
323,-62.37082
324,-62.666786
325,-63.242527
326,-73.31089
327,-83.70823
328,-58.774254
329,-60.175026
330,-99.55226
331,-116.37413
332,-103.75959
333,-77.936195
334,-39.03038
335,-17.391102
336,-23.604393
337,-16.25644
338,-29.482267
339,-38.512062
340,-22.708248
341,-22.546124
342,-34.749817
343,-12.232477
344,-8.924225
345,-30.069908
346,-46.476105
347,-65.36575
348,-62.26799
349,-30.11078
350,3.600813
351,7.0983233
352,-10.326493
353,-44.04572
354,-75.35193
355,-77.29047
356,-49.24466
357,-38.898308
358,-56.829273
359,-74.66111
360,-54.860123
361,-57.022774
362,-95.73767
363,-112.675385
364,-107.77046
365,-69.01636
366,-58.157845
367,-61.076775
368,-65.36621
369,-65.21978
370,-66.42777
371,-73.14254
372,-47.7118
373,-8.417505
374,-2.4291098
375,-30.362793
376,-44.823177
377,-58.126114
378,-69.534515
379,-55.47435
380,-32.4691
381,-27.423578
382,-50.94014
383,-48.61906
384,-55.891605
385,-76.36133
386,-89.54897
387,-82.07597
388,-52.437607
389,-23.803356
390,13.1812525
391,21.526665
392,12.918486
393,0.0
394,3.2426863
395,27.511532
396,-9.624775
397,-21.72127
398,-17.891891
399,-7.9075603
400,2.6837723
401,-24.249405
402,-77.23744
403,-119.37048
404,-116.29912
405,-102.800446
406,-79.42934
407,-43.018658
408,-40.86337
409,-79.163376
410,-121.59466
411,-140.03326
412,-139.80292
413,-144.13322
414,-136.6079
415,-117.79133
416,-71.847664
417,-23.886412
418,-23.417858
419,-44.025764
420,-43.019073
421,-53.59711
422,-25.956959
423,-5.2148075
424,-8.090014
425,1.7822196
426,15.8682165
427,13.227181
428,-11.577072
429,-27.20285
430,-16.053839
431,7.245667
432,16.686432
433,7.946554
434,-6.5999517
435,-26.12304
436,-36.09162
437,-24.751707
438,-16.480803
439,-34.433216
440,-61.832214
441,-68.920044
442,-56.30161
443,-22.37899
444,-11.248912
445,-37.058697
446,-61.445755
447,-83.44508
448,-70.20169
449,-33.61811
450,-0.25585398
451,-34.882313
452,-39.22444
453,17.726845
454,20.726982
455,20.102526
456,-17.515793
457,4.3754163
458,17.09122
459,26.435225
460,42.176945
461,60.54146
462,62.70706
463,51.49997
464,76.39514
465,90.331985
466,83.52497
467,70.76808
468,71.185425
469,62.99542
470,58.913605
471,63.995697
472,51.390022
473,33.013584
474,35.104534
475,52.333908
476,56.545033
477,56.52009
478,60.416656
479,69.925934
480,61.07302
481,64.39135
482,65.90138
483,79.33728
484,78.04666
485,68.1908
