,0
0,-540.2055
1,-537.4298
2,-556.4431
3,-514.6616
4,-338.3649
5,-195.3621
6,-100.95942
7,-66.386955
8,-91.36504
9,-196.00887
10,-157.89693
11,-84.01854
12,-80.55119
13,-122.08914
14,-122.219955
15,-92.85876
16,-101.42727
17,-108.93845
18,-79.02983
19,-56.112335
20,-53.781666
21,-97.45193
22,-159.88998
23,-194.35266
24,-254.67937
25,-289.1111
26,-202.33676
27,-153.62741
28,-146.21178
29,-142.65463
30,-133.43634
31,-168.26465
32,-245.24376
33,-200.58058
34,-185.55122
35,-225.42683
36,-236.65054
37,-224.00856
38,-197.15674
39,-159.88303
40,-155.9386
41,-148.82153
42,-161.8527
43,-199.7431
44,-194.11957
45,-177.75055
46,-182.85622
47,-205.44588
48,-262.182
49,-244.71475
50,-249.10011
51,-199.10097
52,-144.02832
53,-117.603134
54,-115.52989
55,-128.47087
56,-142.93445
57,-138.53241
58,-123.58989
59,-129.08742
60,-175.76247
61,-263.6651
62,-262.88885
63,-250.44485
64,-247.89981
65,-267.77142
66,-307.2045
67,-339.14648
68,-379.0491
69,-416.0127
70,-444.3113
71,-466.7633
72,-495.36823
73,-532.1352
74,-540.3644
75,-533.6834
76,-541.8992
77,-557.526
78,49.68516
79,53.500587
80,36.72433
81,66.97287
82,130.00252
83,178.16898
84,174.16788
85,157.23547
86,148.31647
87,126.43169
88,111.02843
89,146.80682
90,161.8316
91,149.81436
92,135.22516
93,139.37073
94,137.84674
95,121.186905
96,143.3104
97,157.86983
98,175.54944
99,182.48932
100,147.21913
101,114.30703
102,115.123985
103,103.73325
104,77.8215
105,95.94983
106,117.92894
107,135.57289
108,132.01453
109,139.57343
110,111.34654
111,78.15964
112,70.267914
113,47.90812
114,31.745419
115,7.947999
116,12.755739
117,49.104397
118,59.58995
119,65.48721
120,72.39404
121,41.230133
122,44.455048
123,66.54489
124,80.01742
125,86.13121
126,70.32094
127,54.339996
128,39.465057
129,69.81975
130,98.102455
131,105.188614
132,103.89972
133,92.9034
134,62.834206
135,58.302727
136,79.913284
137,110.91435
138,136.7735
139,159.00262
140,174.8156
141,168.76108
142,155.58383
143,146.2999
144,136.39859
145,127.27807
146,116.783676
147,98.511696
148,85.52478
149,67.99286
150,49.30818
151,45.487175
152,37.204403
153,44.497402
154,41.353756
155,31.671509
156,19.177708
157,22.369465
158,22.876823
159,22.237436
160,-18.344257
161,-47.679066
162,-88.336426
163,-107.074455
164,-90.17575
165,-45.4934
166,-40.880043
167,-66.89992
168,-88.15091
169,-91.765076
170,-102.02803
171,-111.52065
172,-106.30234
173,-116.750626
174,-116.598526
175,-116.38432
176,-106.49158
177,-82.99655
178,-50.0253
179,-51.781532
180,-22.782436
181,-32.295864
182,-92.07205
183,-84.742035
184,-74.45062
185,-91.58812
186,-99.308685
187,-76.638016
188,-32.971725
189,-31.576324
190,-46.20726
191,-53.303017
192,-47.331505
193,-60.46135
194,-63.69827
195,-64.92217
196,-82.14926
197,-84.25743
198,-56.01138
199,-45.274918
200,-38.64573
201,-45.214504
202,-63.39409
203,-57.811905
204,-34.382942
205,-25.152306
206,-14.639013
207,-34.085228
208,-83.158585
209,-115.46829
210,-127.51907
211,-122.1387
212,-124.62954
213,-130.6406
214,-136.01355
215,-116.10231
216,-72.21471
217,-23.472727
218,-16.791935
219,-28.954308
220,-34.037983
221,-29.717274
222,-25.196692
223,-18.373192
224,-4.326535
225,10.883991
226,12.359397
227,17.070042
228,18.928326
229,21.499382
230,14.968096
231,17.580687
232,22.13515
233,22.440228
234,7.0204926
235,7.725477
236,13.472019
237,1.8229787
238,26.785194
239,34.97007
240,42.342323
241,49.683907
242,70.561676
243,81.10269
244,78.932755
245,64.135735
246,39.45043
247,4.836033
248,-0.8544766
249,-2.3069835
250,-4.819042
251,6.7981634
252,12.273603
253,9.510799
254,13.82346
255,18.677246
256,48.120174
257,51.979515
258,52.997616
259,69.1826
260,66.92211
261,72.035934
262,69.69893
263,43.71779
264,49.620705
265,57.894825
266,67.188965
267,98.56936
268,100.08638
269,106.29901
270,111.940994
271,115.403656
272,115.2417
273,114.38374
274,104.24727
275,75.89313
276,58.067318
277,64.157364
278,64.56907
279,59.992943
280,67.87058
281,64.776474
282,59.85128
283,62.196182
284,50.12921
285,29.203682
286,13.107096
287,0.26680982
288,-8.008596
289,-2.4422941
290,10.116482
291,16.330755
292,13.7293415
293,18.137371
294,33.687126
295,42.52094
296,37.857822
297,45.915237
298,59.26548
299,61.90213
300,56.92332
301,59.49861
302,55.84914
303,61.961357
304,59.17414
305,52.748116
306,47.220757
307,31.213844
308,25.31392
309,23.773619
310,20.334114
311,19.951462
312,16.749071
313,13.732702
314,13.173295
315,-15.053147
316,-24.723505
317,-25.058458
318,-28.653067
319,-35.582893
320,-22.89667
321,-8.371208
322,-19.291971
323,-34.54178
324,-40.919716
325,-51.974346
326,-61.136894
327,-66.600845
328,-66.99815
329,-61.85981
330,-66.61947
331,-67.36371
332,-61.45291
333,-47.248627
334,-34.688293
335,-25.062107
336,-12.758593
337,5.9689627
338,-14.82753
339,-19.272697
340,-14.987383
341,-9.837374
342,-12.41502
343,-5.6426516
344,-14.235884
345,-39.92951
346,-34.563095
347,-20.761303
348,-26.460438
349,-36.80308
350,-47.30459
351,-36.666004
352,-18.07585
353,-19.346207
354,-26.952927
355,-32.57743
356,-41.271065
357,-39.64831
358,-30.01721
359,-23.582321
360,-19.209192
361,-32.144455
362,-39.468063
363,-55.75878
364,-66.35072
365,-79.5616
366,-80.020584
367,-78.46359
368,-76.10068
369,-69.32618
370,-62.51525
371,-45.869217
372,-16.997324
373,10.6301985
374,12.293777
375,13.625036
376,12.679265
377,17.971626
378,27.10588
379,30.663202
380,32.072212
381,33.65426
382,42.414505
383,32.898796
384,22.614716
385,24.37883
386,18.517204
387,15.333197
388,13.321671
389,15.896419
390,24.542469
391,21.40055
392,16.621042
393,-4.5260854
394,-3.3550024
395,2.292922
396,6.658798
397,7.217169
398,14.076015
399,18.358768
400,43.278732
401,22.307491
402,1.7216938
403,7.138883
404,40.022797
405,41.875603
406,40.995316
407,45.292618
408,36.42147
409,32.810257
410,23.636333
411,15.719547
412,18.114567
413,26.852074
414,27.738777
415,16.859642
416,22.554678
417,36.12192
418,34.60916
419,25.389664
420,7.1285686
421,0.23035717
422,15.019014
423,31.654953
424,34.58105
425,28.348625
426,35.43538
427,42.77249
428,39.593143
429,35.25345
430,25.869019
431,31.11382
432,46.870495
433,57.809044
434,57.144592
435,46.56828
436,22.808155
437,12.954975
438,23.279915
439,40.64296
440,64.17117
441,45.294334
442,21.31297
443,15.676451
444,21.008635
445,30.394958
446,36.27829
447,30.845592
448,19.883907
449,16.723812
450,20.921638
451,5.534602
452,-0.8224198
453,3.5009227
454,4.0712986
455,6.842357
456,10.971653
457,11.650376
458,16.553444
459,21.772163
460,29.465012
461,35.14904
462,24.409687
463,16.607391
464,6.007949
465,2.4449692
466,9.723267
467,14.413515
468,16.104721
469,17.632607
470,16.761013
471,16.947132
472,28.289062
473,4.7290993
474,-18.090904
475,-36.103592
476,-38.294785
477,-31.676916
478,-52.856087
479,-68.26448
480,-69.59353
481,-56.17437
482,-17.657194
483,-12.633401
484,-4.9976826
485,2.984539
486,-5.2743864
487,-17.734596
488,-28.07795
489,-25.660463
490,-17.256865
491,-21.432652
492,-16.816776
493,-0.7278588
