,0
0,-501.50153
1,-500.19482
2,-501.90588
3,-499.5515
4,-376.86063
5,-251.21849
6,-192.91736
7,-169.94229
8,-167.05635
9,-198.30342
10,-222.1591
11,-192.70807
12,-177.51326
13,-166.89825
14,-164.9195
15,-183.85713
16,-201.80121
17,-219.2756
18,-194.65419
19,-144.4175
20,-134.74399
21,-173.61739
22,-133.5341
23,-71.76433
24,-61.927624
25,-127.77165
26,-287.02112
27,-296.21774
28,-221.16756
29,-161.2368
30,-158.13078
31,-223.01683
32,-325.70187
33,-191.1372
34,-95.81661
35,-61.504803
36,-54.482124
37,-90.67322
38,-222.51335
39,-450.61133
40,-406.50162
41,-218.54385
42,-147.76231
43,-118.37901
44,-93.98556
45,-93.55178
46,-149.58139
47,-294.76013
48,-441.56445
49,-333.452
50,-190.06337
51,-160.30847
52,-183.47491
53,-197.87721
54,-202.12943
55,-202.34505
56,-224.03476
57,-250.6823
58,-222.54308
59,-152.94518
60,-108.256424
61,-128.16653
62,-228.69716
63,-201.05177
64,-155.5281
65,-130.91116
66,-121.57669
67,-132.57513
68,-151.31036
69,-173.55347
70,-178.44241
71,-137.95189
72,-114.61088
73,-111.24968
74,-134.67836
75,-199.42294
76,-189.8292
77,-140.87596
78,-133.27661
79,-146.417
80,-220.04008
81,-296.41525
82,-246.16638
83,-190.05426
84,-154.62122
85,-152.91327
86,-148.87556
87,-153.23042
88,-172.39355
89,-215.92516
90,-293.96048
91,-299.6393
92,-136.01697
93,-61.98046
94,-42.52066
95,-41.644024
96,-58.527435
97,-81.37077
98,-118.88732
99,-167.63855
100,-204.67284
101,-228.24608
102,-252.48697
103,-257.05518
104,-244.37373
105,-241.51479
106,-236.16417
107,-236.40074
108,-225.88315
109,-269.0057
110,-320.6751
111,-290.7453
112,-277.5074
113,-286.85117
114,-305.40256
115,-333.10025
116,-358.12378
117,-396.37354
118,-439.9453
119,-473.93066
120,-478.27158
121,-466.01306
122,-459.27475
123,-436.1965
124,-375.2037
125,-288.84457
126,-212.87871
127,-197.55559
128,-220.42935
129,-224.54446
130,-207.10516
131,-216.75476
132,-251.92116
133,-268.39294
134,-265.5636
135,-216.57376
136,-165.06319
137,-157.61116
138,-187.76186
139,-243.32701
140,-236.51993
141,-202.43799
142,-184.68112
143,-177.22272
144,-155.05342
145,-119.18644
146,-104.358635
147,-120.463936
148,-151.60277
149,-171.28142
150,-177.51598
151,-165.87163
152,-138.37968
153,-131.01372
154,-143.09554
155,-163.84412
156,-202.87617
157,-314.83994
158,-262.95914
159,-162.04768
160,-140.69139
161,-176.78606
162,-218.98508
163,-279.285
164,-371.90915
165,-460.07288
166,-303.21185
167,-253.22467
168,-306.61157
169,-461.47556
170,-498.912
171,-497.13586
172,14.351369
173,16.17849
174,13.771912
175,17.031631
176,33.637077
177,63.397587
178,107.88867
179,110.61316
180,61.24087
181,6.6948442
182,-40.66031
183,-50.352196
184,-62.015785
185,-56.86493
186,-35.464554
187,-11.736713
188,26.626076
189,79.45059
190,134.72476
191,134.77715
192,105.97236
193,69.43884
194,123.29727
195,138.32553
196,145.71458
197,148.70657
198,93.3204
199,-7.147215
200,7.899353
201,61.557686
202,104.00964
203,141.94217
204,151.04494
205,144.40988
206,158.19084
207,149.37419
208,152.40567
209,168.41306
210,159.12067
211,76.09287
212,90.87071
213,103.14435
214,114.3748
215,142.30615
216,160.34564
217,171.3739
218,178.56342
219,157.99286
220,87.97229
221,87.102325
222,71.69501
223,32.616005
224,-23.129507
225,-40.066986
226,-22.66686
227,17.461338
228,45.45278
229,44.28854
230,51.89289
231,77.29936
232,112.18022
233,137.79788
234,149.93927
235,136.36853
236,135.09723
237,128.65758
238,102.43666
239,50.28089
240,8.745657
241,-14.221989
242,-13.345993
243,33.93461
244,74.18596
245,109.13278
246,121.9149
247,120.42966
248,104.535706
249,98.15786
250,97.71217
251,106.50932
252,107.67849
253,47.358925
254,15.636414
255,39.177433
256,58.903973
257,59.93528
258,63.40444
259,31.701132
260,-16.314465
261,-53.17413
262,-59.171257
263,13.08774
264,74.37337
265,115.3116
266,145.88968
267,148.14224
268,153.87509
269,168.50302
270,177.4564
271,179.84784
272,178.70123
273,172.77782
274,157.06598
275,155.54396
276,167.83473
277,172.60674
278,160.53384
279,149.5838
280,176.30753
281,183.79576
282,167.74377
283,159.79318
284,153.60583
285,150.07532
286,151.66669
287,142.85353
288,134.1323
289,117.32118
290,83.564026
291,46.40255
292,41.4468
293,54.75171
294,61.01619
295,79.328735
296,117.368
297,101.48189
298,90.63281
299,90.55036
300,89.13152
301,89.76748
302,112.690155
303,134.85458
304,148.04922
305,133.4791
306,109.51311
307,113.59616
308,121.135376
309,121.02356
310,133.60515
311,141.57372
312,145.87466
313,141.77602
314,143.4336
315,161.6282
316,173.6521
317,172.179
318,169.57495
319,170.87828
320,162.57372
321,130.32973
322,92.02872
323,17.09812
324,-24.690487
325,-35.91618
326,-41.64425
327,-55.76931
328,-64.252396
329,-71.069336
330,31.516987
331,57.927193
332,92.85858
333,157.10864
334,171.30359
335,149.3482
336,118.737
337,62.348274
338,77.106995
339,91.273026
340,91.21088
341,39.214558
342,17.881157
343,20.358225
344,14.178916
345,15.946337
346,13.579966
347,16.635551
348,-1.6913774
349,0.62315774
350,6.3834105
351,-6.8317738
352,-10.196587
353,-16.503387
354,-38.17936
355,-54.881172
356,-77.295296
357,-92.375755
358,-89.14517
359,-77.02429
360,-46.89091
361,-18.562454
362,-15.238996
363,-54.924164
364,-81.928154
365,-103.12843
366,-105.55875
367,-110.9942
368,-91.20947
369,-51.902832
370,10.20614
371,-10.452002
372,-12.0926285
373,10.253771
374,15.181459
375,9.064301
376,24.420326
377,-44.726494
378,-76.22034
379,-95.66525
380,-89.61791
381,-62.370956
382,-14.564
383,52.183548
384,26.672
385,-16.425314
386,-37.96103
387,-42.007996
388,-63.950943
389,-75.94893
390,-61.996323
391,-6.294307
392,63.132355
393,-1.0255527
394,-31.656755
395,-51.41352
396,-71.62308
397,-65.78908
398,-34.511326
399,5.6434245
400,12.299496
401,-2.6783714
402,-29.844929
403,-64.020096
404,-72.910416
405,-59.32969
406,-13.481607
407,-20.360975
408,-45.31938
409,-47.285263
410,-38.18026
411,-48.6425
412,-76.16368
413,-90.012375
414,-81.67738
415,-51.09138
416,-50.64483
417,-64.87947
418,-54.714996
419,-23.134182
420,-20.730545
421,-41.4572
422,-48.212357
423,-26.678616
424,7.144555
425,34.15289
426,-9.810369
427,4.3454986
428,0.54235667
429,-16.510277
430,-7.5683746
431,4.331391
432,-19.120716
433,-34.473656
434,-15.093345
435,-7.414776
436,-18.681278
437,-47.39364
438,-79.09446
439,-83.46402
440,-75.40102
441,-58.674862
442,-38.91606
443,-9.414992
444,18.650639
445,23.518732
446,25.427382
447,33.826218
448,42.791706
449,44.99673
450,31.901546
451,15.156448
452,19.33028
453,36.711094
454,50.638954
455,31.685944
456,25.37409
457,31.048145
458,33.61611
459,33.03701
460,39.282608
461,54.567627
462,55.190205
463,36.289314
464,32.034313
465,37.487335
466,40.380558
467,41.050316
468,38.881546
469,0.44995746
470,-29.808777
471,-43.239807
472,-46.69018
473,-53.752434
474,-62.504284
475,-56.065575
476,-26.590298
477,-15.498586
478,-20.26677
479,-38.58107
480,-66.6567
481,-81.97298
482,-70.00284
483,-31.123634
484,-19.05685
485,-31.78442
486,-42.495014
487,-27.178326
488,-37.947426
489,-74.08095
490,-99.09148
491,-96.165565
492,-69.806526
493,-63.18566
494,-30.007717
495,-0.49350366
496,-37.79528
497,-59.084213
498,-71.434494
499,-81.55667
500,-73.80999
501,-46.613846
502,-52.563637
503,-49.91436
504,-49.5016
505,-55.52594
506,-48.52854
507,-19.950493
508,22.998259
509,45.76007
510,-66.55313
511,-68.77486
512,-47.117783
513,8.49734
514,17.326664
515,19.702164
516,13.89571
517,15.572908
518,13.2756195
519,16.00857
520,20.877186
521,48.099503
522,50.913685
523,49.41681
524,56.169262
525,67.09978
526,72.3356
527,96.98709
528,103.71799
529,94.822334
530,86.73988
531,84.405396
532,80.85062
533,56.98295
534,27.041857
535,29.154589
536,40.504265
537,36.049408
538,15.277211
