,0
0,-481.1601
1,-333.02145
2,-217.58997
3,-172.89323
4,-200.03902
5,-282.6138
6,-310.0464
7,-253.85844
8,-215.4132
9,-220.95956
10,-239.10234
11,-241.2108
12,-243.7206
13,-234.26105
14,-204.65714
15,-195.96132
16,-208.10876
17,-220.15384
18,-215.89954
19,-149.96346
20,-122.79816
21,-135.99516
22,-164.45058
23,-225.82559
24,-260.02344
25,-186.73756
26,-167.0611
27,-179.14098
28,-141.03975
29,-152.19905
30,-212.166
31,-221.04053
32,-259.4719
33,-287.29813
34,-252.33636
35,-258.48734
36,-269.6409
37,-284.80698
38,-223.17444
39,-166.13768
40,-147.98325
41,-153.25362
42,-236.1434
43,-225.96654
44,-163.06998
45,-147.80878
46,-147.06158
47,-180.15883
48,-204.77055
49,-142.87773
50,-106.65094
51,-135.90361
52,-161.36961
53,-147.06598
54,-122.212036
55,-90.53936
56,-113.639275
57,-219.00708
58,-314.96
59,-272.66714
60,-204.83057
61,-131.62207
62,-89.71519
63,-56.3929
64,-45.48036
65,-70.96648
66,-128.72943
67,-163.88847
68,-176.65163
69,-186.90074
70,-224.43808
71,-288.14725
72,-329.17538
73,-365.2223
74,-376.1979
75,-385.606
76,-410.6511
77,-462.78696
78,76.42053
79,111.16809
80,110.80786
81,110.275375
82,107.308754
83,100.82463
84,102.36937
85,84.665054
86,55.513313
87,32.251076
88,27.75619
89,41.827194
90,47.513027
91,53.410004
92,67.40588
93,90.03572
94,125.39227
95,129.50906
96,117.34091
97,78.54724
98,35.208054
99,-8.926535
100,-43.831448
101,-69.1205
102,11.285403
103,95.39409
104,128.63327
105,164.82028
106,149.57693
107,134.12167
108,119.02667
109,122.63824
110,130.8556
111,141.64502
112,142.01419
113,141.69952
114,145.61066
115,131.57373
116,122.239395
117,137.92114
118,141.75323
119,154.4798
120,145.38374
121,72.05264
122,90.4668
123,103.77258
124,79.2835
125,29.222649
126,-2.8624969
127,63.366684
128,104.95586
129,131.00467
130,151.07574
131,157.39958
132,135.29099
133,139.37268
134,140.87906
135,134.82318
136,33.635624
137,1.7903523
138,55.432575
139,117.23085
140,143.79262
141,139.65663
142,147.55664
143,142.91486
144,122.34556
145,106.37605
146,100.17644
147,114.513504
148,132.82764
149,131.87991
150,111.81903
151,83.76741
152,59.225143
153,45.806885
154,38.225864
155,26.42237
156,38.933807
157,-13.535812
158,-28.51387
159,-31.139778
160,-13.090971
161,11.899185
162,10.560148
163,20.245483
164,7.283153
165,-2.992505
166,5.8387394
167,6.813103
168,-2.351239
169,-19.532686
170,-37.622772
171,-49.35898
172,-38.772156
173,-23.332966
174,-18.48479
175,-26.211018
176,-49.63418
177,-75.28487
178,-97.79653
179,-91.23444
180,-27.38099
181,-39.123444
182,-43.876106
183,-49.904152
184,-64.19179
185,-65.38786
186,-52.61481
187,-35.957817
188,-13.776701
189,-3.7335923
190,-9.097868
191,-1.4297577
192,6.4250793
193,8.6732855
194,-12.978022
195,-42.5611
196,-60.213932
197,-54.404106
198,-33.092167
199,-17.860252
200,-32.129963
201,-32.146057
202,-17.681566
203,-18.713432
204,-37.51471
205,-29.349678
206,-67.80147
207,-92.63922
208,-72.08095
209,-74.71275
210,-107.91713
211,-117.14662
212,-90.13493
213,-33.309425
214,12.537031
215,-21.598518
216,-11.368456
217,-45.844307
218,-94.22044
219,-125.03606
220,-136.0964
221,-132.70709
222,-116.82033
223,-100.98765
224,-75.24783
225,-35.078377
226,-0.5208041
227,22.714909
228,20.58542
229,13.589035
230,-3.04049
231,-17.919807
232,-20.148111
233,-10.6940365
234,46.92658
235,77.628746
236,100.6066
237,107.104
238,101.56761
239,79.18005
240,68.332245
241,64.77217
242,62.838474
243,65.378555
244,88.462524
245,112.998764
246,125.189285
247,129.35768
248,138.3459
249,130.96246
250,83.84805
251,57.358734
252,67.148865
253,98.61763
254,111.92088
255,106.298485
256,93.26323
257,94.87964
258,96.82695
259,71.7641
260,52.02381
261,28.896004
262,34.627346
263,47.23445
264,51.495296
265,57.74106
266,54.775665
267,48.61173
268,50.40035
269,44.017044
270,44.785614
271,48.647346
272,49.26348
273,38.636482
274,46.291496
275,60.24299
276,59.326916
277,88.789505
278,80.730194
279,63.84484
280,68.8232
281,88.88664
282,82.753075
283,72.717316
284,64.83121
285,37.72071
286,13.020645
287,-1.5204185
288,9.928684
289,33.690765
290,54.43486
291,53.60067
292,72.28343
293,55.501446
294,57.271606
295,34.159416
296,28.273993
297,13.484467
298,0.32745528
299,-7.156978
300,7.247002
301,42.14019
302,67.262115
303,81.28677
304,73.07373
305,65.805305
306,70.21807
307,72.75687
308,65.480934
309,48.502968
310,36.092575
311,28.821121
312,35.236694
313,29.071556
314,3.913176
315,-5.867063
316,-5.9503884
317,9.977679
318,13.885372
319,-16.021673
320,-35.86834
321,-41.05627
322,-30.225174
323,-21.472252
324,-18.386368
325,-11.037953
326,0.552671
327,11.631951
328,7.1057453
329,-6.1462817
330,-9.5326
331,-28.982155
332,-35.481018
333,-43.624043
334,-59.18293
335,-55.969185
336,-29.105387
337,-21.610912
338,-33.94652
339,-34.755478
340,-38.162186
341,-23.365845
342,-2.3621898
343,7.101367
344,16.390392
345,26.72668
346,14.74535
347,2.0096445
348,1.1314456
349,-2.257266
350,-26.164383
351,-31.905735
352,-21.977962
353,-9.859842
354,1.6605728
355,-13.358154
356,-24.716202
357,-41.40519
358,-59.096577
359,-49.506943
360,-49.801037
361,-61.063354
362,-53.83606
363,-43.119377
364,-54.241196
365,-47.85137
366,-25.117838
367,-14.790483
368,-5.4937954
369,8.699539
370,-8.2306595
371,-40.197124
372,-38.477158
373,-49.329742
374,-63.004494
375,-80.10772
376,-79.59718
377,-61.562653
378,-26.12373
379,-9.802181
380,-1.8535682
381,-9.5059395
382,-7.5981617
383,18.264923
384,30.823624
385,29.30715
386,22.496685
387,10.693958
388,6.820783
389,10.272413
390,1.1975918
391,-14.365516
392,-1.9255244
393,11.012914
394,18.730747
395,31.056793
396,28.430534
397,51.557198
398,70.5249
399,74.04416
400,72.063705
401,53.431
402,33.608597
403,14.379013
404,-2.4436834
405,-4.280816
406,4.673459
407,19.565674
408,23.060467
409,41.308113
410,60.229053
411,64.630806
412,52.880127
413,49.09693
414,47.70598
415,44.781578
416,29.080292
417,-12.779604
418,0.051961534
419,6.5215206
420,8.518244
