,0
0,-497.63217
1,-479.61615
2,-482.66476
3,-447.48654
4,-353.9324
5,-212.03925
6,-144.12263
7,-157.10332
8,-197.59059
9,-203.31451
10,-179.25829
11,-169.21722
12,-162.91217
13,-171.30719
14,-176.45384
15,-159.59683
16,-174.23988
17,-185.39728
18,-172.55301
19,-136.86119
20,-127.02781
21,-148.86955
22,-225.58623
23,-196.25769
24,-104.367775
25,-97.64542
26,-132.45413
27,-123.842445
28,-136.7232
29,-170.3382
30,-177.53386
31,-194.0005
32,-213.7146
33,-214.78943
34,-179.8446
35,-136.73021
36,-134.51785
37,-132.80486
38,-153.31885
39,-172.77365
40,-166.59401
41,-182.07954
42,-189.16092
43,-179.81326
44,-183.3377
45,-176.10631
46,-184.07524
47,-174.70532
48,-193.86859
49,-236.0009
50,-262.4169
51,-201.82779
52,-170.14165
53,-171.39664
54,-181.37572
55,-224.83548
56,-340.8704
57,-303.94397
58,-259.7754
59,-251.21953
60,-230.83192
61,-208.37112
62,-188.28903
63,-189.50664
64,-194.6003
65,-194.3513
66,-188.00758
67,-193.40091
68,-209.54381
69,-236.52765
70,-263.78378
71,-281.01108
72,-294.57526
73,-309.31738
74,-323.2915
75,-337.10675
76,-341.36237
77,-350.86432
78,44.19359
79,49.278305
80,46.409473
81,58.101646
82,122.330696
83,167.96481
84,156.26878
85,130.35974
86,121.387344
87,98.276634
88,65.86574
89,51.368546
90,68.17979
91,84.83484
92,100.226135
93,136.44366
94,159.58807
95,169.65587
96,162.90646
97,100.2753
98,46.186657
99,5.6508613
100,-23.182281
101,72.27602
102,122.62085
103,153.56967
104,170.15427
105,180.59937
106,180.99947
107,170.15352
108,167.72516
109,166.46811
110,165.32274
111,148.7549
112,107.17952
113,128.57127
114,154.63785
115,172.29178
116,172.46608
117,102.98422
118,57.89318
119,66.5526
120,58.633705
121,31.254417
122,13.946026
123,23.118793
124,31.527351
125,100.509476
126,162.63948
127,169.09709
128,160.19946
129,170.92819
130,169.21451
131,162.84303
132,153.78638
133,133.73279
134,94.79018
135,26.48428
136,13.521351
137,18.571714
138,79.02623
139,143.46643
140,153.4133
141,149.49585
142,155.9761
143,150.66672
144,147.24902
145,145.95947
146,141.64557
147,137.35359
148,136.3197
149,132.9135
150,124.64757
151,99.83632
152,73.06604
153,54.38378
154,54.866177
155,58.288338
156,26.641018
157,17.620522
158,17.07017
159,4.534767
160,27.633005
161,-15.889368
162,-41.33439
163,-42.041306
164,-16.431635
165,10.51482
166,3.9504163
167,-8.035445
168,-16.49888
169,-37.81414
170,-48.266563
171,-47.07813
172,-33.239517
173,-26.32029
174,-15.214823
175,-10.732345
176,-30.960539
177,-59.013996
178,-60.90603
179,-41.770092
180,-39.922684
181,-45.727104
182,-54.834866
183,-47.525948
184,-41.41958
185,-31.640009
186,-28.77349
187,-24.856274
188,-12.796959
189,2.5457306
190,-18.87787
191,-30.783037
192,-40.586197
193,-46.088146
194,-42.300995
195,-21.588528
196,-26.551594
197,-4.741267
198,-4.7948112
199,-14.385532
200,-24.176498
201,-24.622505
202,-23.791103
203,-3.245637
204,0.7284775
205,8.028051
206,4.1653285
207,-15.422506
208,-27.65023
209,-36.43016
210,-28.877388
211,-8.590046
212,18.931967
213,14.005037
214,-5.400444
215,-17.449097
216,-1.6702807
217,-15.129341
218,-31.09557
219,-37.54454
220,-35.679718
221,-45.097393
222,-49.136078
223,-43.20524
224,-32.68777
225,-15.993983
226,-5.4000874
227,-7.45473
228,-6.1058154
229,-5.712014
230,-11.853875
231,-20.548967
232,-16.446804
233,-10.149194
234,26.810934
235,26.350983
236,26.259785
237,27.360876
238,48.653336
239,52.45158
240,57.789585
241,60.917915
242,56.301155
243,56.58455
244,72.90076
245,87.04707
246,95.840744
247,103.517944
248,99.27294
249,82.05603
250,61.789383
251,39.384384
252,56.165592
253,101.14824
254,118.65659
255,104.87932
256,93.70589
257,82.51557
258,88.97136
259,78.52408
260,60.584442
261,53.625687
262,51.147385
263,51.72383
264,64.71092
265,68.34535
266,58.30011
267,66.03078
268,80.46445
269,70.83229
270,58.000282
271,64.36203
272,73.45004
273,102.805016
274,107.663345
275,101.354324
276,95.066666
277,88.4899
278,75.21811
279,70.58913
280,76.10339
281,75.59443
282,54.301895
283,41.98844
284,30.637983
285,23.434778
286,23.245998
287,28.743782
288,46.476543
289,60.256725
290,53.405323
291,55.839855
292,60.40681
293,58.50831
294,56.506104
295,40.707054
296,34.841087
297,29.846342
298,30.354422
299,36.72431
300,44.818794
301,55.20111
302,62.282043
303,65.057755
304,66.8909
