,0
0,-452.16348
1,-345.5627
2,-272.15744
3,-248.02008
4,-248.46356
5,-232.49622
6,-178.30457
7,-156.55632
8,-202.51826
9,-157.01883
10,-87.73137
11,-88.0195
12,-115.59621
13,-161.02724
14,-226.40805
15,-190.70442
16,-135.60307
17,-123.824005
18,-154.3163
19,-216.18456
20,-234.93188
21,-217.49355
22,-226.19551
23,-159.77463
24,-81.57354
25,-42.61121
26,-59.370773
27,-159.89124
28,-380.9516
29,-337.9814
30,-277.81552
31,-243.2159
32,-196.45807
33,-137.90382
34,-98.88772
35,-98.92432
36,-138.38419
37,-176.48743
38,-200.98318
39,-245.00255
40,-241.40549
41,-212.9507
42,-222.42914
43,-243.75436
44,-272.93008
45,-196.19125
46,-158.3017
47,-170.37685
48,-162.59532
49,-193.86266
50,-239.34886
51,-196.24727
52,-156.39511
53,-153.7559
54,-155.65833
55,-110.1652
56,-104.38901
57,-164.32663
58,-209.33412
59,-120.76552
60,-91.19943
61,-80.238464
62,-94.80444
63,-149.27003
64,-208.1832
65,-214.10515
66,-209.49986
67,-236.13455
68,-250.59467
69,-270.17245
70,-311.6511
71,-240.74734
72,-173.49295
73,-155.07805
74,-176.34958
75,-217.45049
76,-215.649
77,-228.90683
78,-292.86722
79,-327.191
80,-355.46887
81,-401.9132
82,-422.78165
83,-434.00983
84,-452.52554
85,-481.65433
86,-527.32196
87,-572.6478
88,45.776917
89,32.617256
90,56.81866
91,80.483055
92,82.202034
93,86.61098
94,120.269104
95,134.09128
96,136.59366
97,133.2187
98,150.05125
99,147.9188
100,148.46167
101,107.71594
102,8.89452
103,46.2444
104,78.23711
105,110.275986
106,135.27182
107,152.1853
108,135.48663
109,89.66043
110,53.96508
111,108.21301
112,127.164795
113,121.897064
114,120.390366
115,109.81047
116,68.76164
117,20.259533
118,18.232433
119,31.461073
120,77.63545
121,122.44199
122,141.7561
123,138.21237
124,121.10086
125,112.77789
126,127.39754
127,141.19852
128,136.38208
129,146.69016
130,140.5936
131,131.81073
132,101.409134
133,116.5699
134,114.47844
135,88.85994
136,89.96753
137,83.23578
138,48.82705
139,56.516888
140,71.73211
141,85.43149
142,99.35828
143,121.05389
144,133.93304
145,145.01196
146,134.79945
147,144.59818
148,135.01706
149,154.46465
150,162.53458
151,130.27786
152,92.77565
153,92.031525
154,108.78322
155,129.27232
156,133.16281
157,118.25816
158,92.266556
159,92.706604
160,92.93503
161,87.84852
162,81.14885
163,62.399033
164,73.02818
165,91.44419
166,112.317
167,143.05429
168,137.41519
169,104.612564
170,80.83852
171,73.73369
172,57.96557
173,44.143017
174,40.275818
175,22.377197
176,-6.835137
177,3.2412596
178,-7.8135195
179,-30.534227
180,-27.272099
181,-33.356995
182,-58.108185
183,-67.13952
184,-46.19902
185,-46.13552
186,-68.45984
187,-85.98372
188,-70.85789
189,-38.38775
190,-45.820602
191,-31.016607
192,-69.22033
193,-88.409164
194,-65.36206
195,-24.866467
196,-17.98901
197,-48.32296
198,-53.552094
199,-66.22775
200,-112.540245
201,-125.70935
202,-108.949905
203,-69.693115
204,4.000073
205,-7.4327383
206,-19.280945
207,-23.184101
208,-25.893467
209,-56.32404
210,-86.53034
211,-99.835815
212,-98.37258
213,-87.51884
214,-72.28313
215,-43.744633
216,-19.706142
217,-20.937553
218,-17.75864
219,-5.981015
220,-1.40639
221,-44.814667
222,-82.124405
223,-95.9514
224,-77.797424
225,-26.357185
226,-3.0989795
227,-33.84491
228,-63.326523
229,-83.590576
230,-87.457565
231,-93.96409
232,-91.57683
233,-73.736694
234,-62.41957
235,-80.81604
236,-103.58455
237,-110.00696
238,-89.64478
239,-74.730545
240,-56.935974
241,-40.34542
242,-36.56915
243,-27.570833
244,-31.380789
245,-31.702599
246,-14.899326
247,-53.33303
248,-81.285614
249,-89.55208
250,-86.65433
251,-83.78964
252,-73.6958
253,-54.0278
254,-20.955915
255,2.5828445
256,2.293335
257,12.838697
258,11.831192
259,15.105992
260,13.0682335
261,9.463537
262,19.83298
263,20.70325
264,47.95407
265,84.83545
266,116.46533
267,118.716
268,98.25201
269,67.82159
270,58.318123
271,61.960228
272,66.09651
273,57.517918
274,44.20406
275,24.26793
276,20.919647
277,39.133236
278,92.664734
279,98.94423
280,91.84433
281,77.0975
282,66.99588
283,47.651222
284,61.61635
285,82.51669
286,97.12104
287,56.434975
288,23.939138
289,7.2515554
290,12.759514
291,23.409515
292,30.60834
293,56.763184
294,54.315147
295,54.898636
296,39.261635
297,22.231411
298,17.817156
299,21.647343
300,33.745644
301,55.669205
302,58.49404
303,41.600235
304,35.027077
305,31.941994
306,31.497688
307,34.70433
308,48.1108
309,58.64721
310,74.45096
311,88.56934
312,81.64348
313,72.483505
314,78.46987
315,80.83154
316,84.372734
317,80.43439
318,78.54181
319,68.21704
320,61.996876
321,50.00917
322,34.515137
323,30.809422
324,27.799427
325,14.790869
326,27.13021
327,61.403435
328,94.43884
329,104.90977
330,91.40694
331,58.787262
332,53.068443
333,71.991135
334,88.06274
335,98.43591
336,107.50773
337,102.632
338,101.952354
339,114.488976
340,117.87881
341,113.84547
342,91.34105
343,53.852814
344,40.860966
345,51.017616
346,60.7914
347,61.992893
348,57.162247
349,44.167984
350,33.35088
351,19.310755
352,5.791193
353,-24.595402
354,-4.2112727
355,12.626
356,8.607324
357,-10.470034
358,-14.608654
359,-16.94097
360,-14.057885
361,-41.256706
362,-63.897247
363,-76.99553
364,-70.83548
365,-74.10545
366,-36.955795
367,-32.65702
368,-29.128353
369,-26.058186
370,-19.410772
371,-8.780396
372,-6.8243313
373,-11.067452
374,-16.97906
375,-50.037342
376,-69.361084
377,-86.72604
378,-79.72628
379,-54.922874
380,-23.956429
381,-25.733261
382,-41.54423
383,-48.932266
384,-62.911606
385,-73.18861
386,-70.942276
387,-56.241253
388,-36.853394
389,-10.518562
390,11.549723
391,17.977085
392,-22.972904
393,-36.90016
394,-39.79419
395,-44.351097
396,-34.839066
397,-8.905217
398,-6.4468126
399,-2.72402
400,-11.452688
401,-21.149902
402,-33.86277
403,-21.275887
404,-16.903461
405,-22.991802
406,-26.719591
407,-28.647675
408,-21.631409
409,-6.367112
410,-15.69626
411,-46.112236
412,-52.666904
413,-51.99255
414,-48.608368
415,-29.177294
416,-8.199691
417,-13.913433
418,-9.871487
419,-2.0022655
