,0
0,-406.88046
1,-368.20474
2,-355.7562
3,-289.68625
4,-222.29002
5,-193.60518
6,-181.85167
7,-184.23615
8,-177.89255
9,-165.3652
10,-141.68129
11,-116.201584
12,-126.312126
13,-144.8669
14,-150.07042
15,-167.343
16,-209.04738
17,-243.89006
18,-253.23665
19,-229.65186
20,-157.33508
21,-134.04388
22,-145.93945
23,-143.03001
24,-157.54745
25,-177.80841
26,-189.48192
27,-182.52885
28,-152.40785
29,-125.78356
30,-118.81107
31,-150.70595
32,-249.57822
33,-361.1783
34,-206.48997
35,-113.67442
36,-118.903595
37,-158.41362
38,-169.1552
39,-199.13324
40,-208.18651
41,-194.67453
42,-191.35623
43,-213.68823
44,-232.7555
45,-228.52928
46,-271.66876
47,-287.58075
48,-216.37439
49,-161.7444
50,-162.21121
51,-166.71118
52,-162.82121
53,-134.9256
54,-137.1362
55,-141.56676
56,-160.44435
57,-159.35638
58,-158.66133
59,-157.5387
60,-196.91084
61,-230.40625
62,-150.61781
63,-135.35359
64,-180.493
65,-203.66841
66,-206.30237
67,-218.96245
68,-254.70276
69,-288.44534
70,-265.2187
71,-251.01591
72,-251.40279
73,-158.9628
74,-123.3875
75,-162.16046
76,-169.4176
77,-163.17223
78,-181.05351
79,-193.12619
80,-191.01286
81,-188.8312
82,-184.32681
83,-175.66594
84,-192.72995
85,-250.82028
86,-370.57953
87,-233.6293
88,-133.37183
89,-118.51814
90,-146.69348
91,-167.94821
92,-183.0134
93,-200.24727
94,-209.97345
95,-226.21538
96,-276.90176
97,-309.29343
98,-320.1463
99,-333.958
100,-343.5814
101,-360.60092
102,-385.72693
103,-404.78998
104,-420.14978
105,-435.81998
106,-467.26697
107,23.708488
108,36.788757
109,71.06458
110,121.6073
111,133.20593
112,112.05017
113,80.35298
114,49.605972
115,26.874119
116,25.152578
117,60.07493
118,94.104904
119,102.09413
120,89.31536
121,91.60831
122,106.20946
123,108.63071
124,101.76397
125,100.95502
126,118.040955
127,127.025734
128,108.11034
129,66.707306
130,31.640993
131,-0.6673775
132,-7.090577
133,8.584114
134,20.822094
135,79.952286
136,118.35974
137,123.51499
138,116.82764
139,108.55008
140,57.48258
141,61.45497
142,61.823166
143,53.476234
144,63.471886
145,93.58308
146,88.246735
147,80.08754
148,79.24849
149,85.14794
150,81.36301
151,73.72061
152,96.916824
153,111.979195
154,122.42322
155,123.3154
156,111.82167
157,99.853
158,104.4014
159,111.88733
160,113.462036
161,124.31496
162,134.6099
163,130.50345
164,139.26317
165,133.89838
166,128.91437
167,123.78273
168,117.73189
169,115.73169
170,122.53056
171,115.70019
172,104.07025
173,105.0004
174,109.94931
175,110.8891
176,104.70883
177,102.73538
178,104.75035
179,104.67333
180,86.41807
181,69.38565
182,45.162613
183,84.54256
184,115.51217
185,101.70154
186,75.77019
187,56.94831
188,33.306206
189,14.296995
190,-8.142385
191,-36.00434
192,-55.680717
193,-47.99774
194,74.28718
195,97.31147
196,108.011444
197,110.57492
198,97.09996
199,92.33478
200,87.60597
201,97.7408
202,105.087814
203,106.31308
204,104.85604
205,107.67767
206,102.14867
207,91.96187
208,84.87374
209,74.41565
210,67.6044
211,65.642525
212,60.58432
213,49.976547
214,-7.086749
215,-8.068203
216,0.50585085
217,-10.77769
218,-40.612083
219,-36.33616
220,-10.8230095
221,-0.53831035
