,0
0,-531.57166
1,-529.67194
2,-535.26105
3,-508.212
4,-327.29117
5,-208.18779
6,-162.04309
7,-149.33891
8,-155.90598
9,-213.58069
10,-287.10275
11,-203.45184
12,-149.53227
13,-157.4292
14,-160.20715
15,-157.54567
16,-209.06421
17,-299.5637
18,-297.06516
19,-288.0115
20,-281.8121
21,-214.6145
22,-156.16573
23,-118.01017
24,-91.90128
25,-95.35271
26,-134.8101
27,-173.42725
28,-181.45139
29,-176.7782
30,-160.87593
31,-179.16493
32,-226.33746
33,-267.62463
34,-240.52023
35,-216.48346
36,-239.49567
37,-212.79633
38,-161.49426
39,-143.99567
40,-147.26077
41,-174.27547
42,-240.55843
43,-315.92953
44,-322.5117
45,-296.66394
46,-299.3303
47,-343.25357
48,-328.1892
49,-301.70502
50,-295.5777
51,-302.3641
52,-335.02924
53,-351.18597
54,-360.15955
55,-366.74362
56,-384.8163
57,-441.66833
58,-502.449
59,-390.2453
60,-310.51843
61,-337.24197
62,-411.15936
63,-402.89786
64,-397.9424
65,-388.08426
66,-378.55853
67,-381.07825
68,-380.93417
69,-394.74384
70,-413.36917
71,-436.4239
72,-477.71475
73,-522.622
74,-530.36005
75,-538.19727
76,-540.4696
77,-540.2039
78,-380.28723
79,-195.42892
80,-154.91434
81,-173.55347
82,-178.75517
83,-229.92085
84,-293.45267
85,-272.24637
86,-204.0158
87,-186.5544
88,-191.2704
89,-188.50464
90,-212.16696
91,-228.69432
92,-241.47256
93,-219.9347
94,-151.66682
95,-114.79465
96,-115.68877
97,-131.37448
98,-171.60579
99,-281.6367
100,-353.17566
101,-269.73218
102,-225.79942
103,-235.72856
104,-276.2951
105,-341.70526
106,-299.80588
107,-249.35402
108,-224.64038
109,-196.6396
110,-196.49744
111,-236.08339
112,-282.81827
113,-217.829
114,-148.54927
115,-134.75674
116,-136.93225
117,-117.844925
118,-123.822426
119,-172.527
120,-149.46922
121,-126.457245
122,-140.40381
123,-140.99547
124,-143.71655
125,-146.04585
126,-148.57697
127,-152.43796
128,-155.14235
129,-153.15074
130,-151.35753
131,-132.26176
132,-125.71666
133,-126.275604
134,-132.83952
135,-136.4443
136,-132.07803
137,-148.87814
138,-164.32333
139,-194.32547
140,-216.50095
141,-190.40482
142,-166.92566
143,-164.65305
144,-220.92099
145,-333.59454
146,-319.4117
147,-246.81287
148,-210.69476
149,-183.6226
150,-174.24927
151,-188.66478
152,-219.25856
153,-238.29431
154,-235.30186
155,-187.67142
156,-151.97726
157,-138.03415
158,-131.71329
159,-146.67104
160,-180.7879
161,-197.01628
162,-191.13715
163,-187.54881
164,-198.81992
165,-202.73877
166,-207.91496
167,-211.6599
168,-210.67041
169,-211.33266
170,-254.48073
171,-283.63144
172,-275.1579
173,-279.6881
174,-317.7755
175,-306.8578
176,-176.1682
177,-140.60454
178,-138.84142
179,-134.26508
180,-145.78342
181,-154.50967
182,-168.38507
183,-174.06015
184,-193.012
185,-237.60637
186,-246.26202
187,-241.1673
188,-237.39767
189,-243.06256
190,-308.5312
191,-442.11298
192,-537.574
193,-534.49805
194,-514.5278
195,-523.9664
196,-541.252
197,-541.8575
198,-291.63455
199,-191.49689
200,-165.08266
201,-170.94078
202,-167.20584
203,-159.77725
204,-159.85101
205,-178.47098
206,-253.12526
207,-329.75992
208,-319.531
209,-309.728
210,-283.29312
211,-271.25943
212,-255.07306
213,-186.99702
214,-172.67354
215,-201.45683
216,-217.98453
217,-216.79742
218,-225.30626
219,-245.89555
220,-262.0228
221,-349.34625
222,-523.48395
223,-542.268
224,-337.30508
225,-225.52216
226,-212.02159
227,-231.92252
228,-242.07173
229,-249.0101
230,-257.61398
231,-266.5445
232,-271.5768
233,-271.70996
234,-269.7931
235,-280.4173
236,-325.47174
237,-387.44498
238,-423.41135
239,-429.5961
240,-400.69388
241,-345.60025
242,-309.9126
243,-277.90704
244,-263.45416
245,-285.22827
246,-398.9195
247,-492.62872
248,-287.9405
249,-231.46512
250,-269.77927
251,-366.27847
252,-448.96326
253,-518.0177
254,-537.5533
255,-543.28864
256,-540.70825
257,19.847082
258,19.971718
259,21.585918
260,38.9858
261,136.70612
262,149.38593
263,139.52037
264,136.28531
265,147.70291
266,143.0343
267,115.94745
268,114.1143
269,103.02052
270,82.15753
271,78.40445
272,100.39725
273,114.93623
274,110.19774
275,117.95004
276,101.69397
277,85.5435
278,118.28212
279,144.6945
280,166.30157
281,177.58238
282,174.43655
283,158.81403
284,126.2451
